strategy,period_start,n_holdings,max_weight,top3_weight,top5_weight,effective_n,herfindahl
FINAL_OPTIMIZER,2014-01-31,8,0.507863682604273,0.9995896914208207,1.0,2.212806609303147,0.45191477456537343
FINAL_OPTIMIZER,2014-02-28,8,0.6181248721068532,0.9981062608594105,1.0,1.9861819360943143,0.5034785493852738
FINAL_OPTIMIZER,2014-03-31,8,0.2512063579817158,0.6350392905023915,0.8048509284367088,6.0003549404679175,0.1666568077924434
FINAL_OPTIMIZER,2014-04-30,8,0.26469752324285095,0.6293548230978444,0.8100039094874353,5.984581600866812,0.16709605895509205
FINAL_OPTIMIZER,2014-05-30,8,0.26469752295991644,0.624210345925944,0.8047763728639638,6.050104457851673,0.1652864024028916
FINAL_OPTIMIZER,2014-06-30,8,0.2588589156204281,0.6680388240432436,0.8486048444283772,5.684443604025434,0.17591871248258156
FINAL_OPTIMIZER,2014-07-31,8,0.23568566949095837,0.6698133613364604,0.8398658800684962,5.760173435886259,0.1736058837690432
FINAL_OPTIMIZER,2014-08-29,8,0.24097977623154782,0.6751073142886534,0.8451609734950155,5.695197555196312,0.17558653414710743
FINAL_OPTIMIZER,2014-09-30,8,0.2528196201799957,0.6007008858406744,0.8320560583833907,6.091012176990057,0.16417632586217573
FINAL_OPTIMIZER,2014-10-31,8,0.26113904433917,0.6002241624358076,0.8025616952441119,6.131751858415632,0.16308552972957185
FINAL_OPTIMIZER,2014-11-28,8,0.2611412520167379,0.6271784369947652,0.8270523221546127,5.954461270925215,0.16794130560271797
FINAL_OPTIMIZER,2014-12-31,8,0.26842689010416826,0.6344640652165143,0.8610551391276098,5.795536868227029,0.17254656863323864
FINAL_OPTIMIZER,2015-01-30,8,0.2517537134698385,0.6654137919401591,0.9262754287277232,5.332613381931102,0.1875253142086722
FINAL_OPTIMIZER,2015-02-27,8,0.23384594156563332,0.6650992570500827,0.9259608753261249,5.342966437129943,0.18716194678871417
FINAL_OPTIMIZER,2015-03-31,8,0.23545027944434002,0.6594704908491292,0.9203320957428034,5.402642871721394,0.1850945960604239
FINAL_OPTIMIZER,2015-04-30,8,0.250931545856547,0.6235616306207905,0.8257998163773134,6.033775102926927,0.16573372108531348
FINAL_OPTIMIZER,2015-05-29,8,0.2614421305515521,0.5826266805222249,0.7683351922637205,6.256345578401838,0.15983771795666163
FINAL_OPTIMIZER,2015-06-30,8,0.2510363431571502,0.6642397049712626,0.8462136482752864,5.739908625249204,0.17421880125427675
FINAL_OPTIMIZER,2015-07-31,8,0.2523100434652524,0.5984525598210595,0.8024212640705728,6.1866785535484965,0.16163762046864863
FINAL_OPTIMIZER,2015-08-31,8,0.252310034731196,0.6636177722334766,0.8675864816283072,5.642224845286989,0.17723504954527125
FINAL_OPTIMIZER,2015-09-30,8,0.2523100406799105,0.6622718544468936,0.8562538136328524,5.711224049915863,0.1750938137359069
FINAL_OPTIMIZER,2015-10-30,8,0.2623009706601637,0.5743054935329901,0.7705255418338668,6.223446730666455,0.1606826640087449
FINAL_OPTIMIZER,2015-11-30,8,0.26796907916672563,0.5705194198746552,0.7651907209718437,6.162634164420775,0.16226827251459763
FINAL_OPTIMIZER,2015-12-31,8,0.26796929739611897,0.601077679646432,0.7937294489701661,6.116508848702942,0.16349195672496386
FINAL_OPTIMIZER,2016-01-29,8,0.24465732439732668,0.6612191222695019,0.8547549452757603,5.721352872564634,0.17478383561958893
FINAL_OPTIMIZER,2016-02-29,8,0.24962425725340162,0.6821213172169722,0.8624789463308418,5.550641475568433,0.1801593571484621
FINAL_OPTIMIZER,2016-03-31,8,0.2537185245985325,0.6659467363281993,0.9649615538905496,4.985394098670005,0.2005859477120933
FINAL_OPTIMIZER,2016-04-29,8,0.2537185394031295,0.6627056282856746,0.858163427460122,5.634496515753009,0.17747814684136998
FINAL_OPTIMIZER,2016-05-31,8,0.28563459545348713,0.6585443791574387,0.8571480078372544,5.574136083956443,0.17939999758495564
FINAL_OPTIMIZER,2016-06-30,8,0.2313808221145542,0.6481756201163473,0.922834443451689,5.343675237279674,0.18713712110039718
FINAL_OPTIMIZER,2016-07-29,8,0.24790911542592173,0.6692612597103219,0.866829305329398,5.5640567983422455,0.17972498057495384
FINAL_OPTIMIZER,2016-08-31,8,0.2606255611903753,0.6155866487237245,0.8536457349614425,5.759364721918686,0.17363026102414608
FINAL_OPTIMIZER,2016-09-30,8,0.26817594606508016,0.6201452206530699,0.858204297116931,5.690218857778363,0.17574016483268112
FINAL_OPTIMIZER,2016-10-31,8,0.25852461437494784,0.6921324661613439,0.8837850706621542,5.36622995899229,0.18635056783660225
FINAL_OPTIMIZER,2016-11-30,8,0.2585246143457745,0.6921324509206958,0.8728400586806374,5.374029627609426,0.18608010548777684
FINAL_OPTIMIZER,2016-12-30,8,0.23378152399113736,0.6720786353052515,0.844096180329848,5.633257885358888,0.17751717041022547
FINAL_OPTIMIZER,2017-01-31,8,0.2465216254498019,0.6237571162478466,0.8232708949329972,5.933973562562948,0.1685211417706568
FINAL_OPTIMIZER,2017-02-28,8,0.26681446908637146,0.5971001553603349,0.8103713369703355,5.888333203983694,0.16982734593270976
FINAL_OPTIMIZER,2017-03-31,8,0.2668144763224601,0.6085846481364277,0.8320304757815501,5.843648111045495,0.17112597832676282
FINAL_OPTIMIZER,2017-04-28,8,0.25842612299320894,0.6486009894058647,0.9034292298386368,5.495857745698282,0.18195521905251644
FINAL_OPTIMIZER,2017-05-31,8,0.2584250655413443,0.648600226351296,0.877687731753047,5.6146153996300265,0.1781065894675341
FINAL_OPTIMIZER,2017-06-30,8,0.25842499668510727,0.6486006452842662,0.8776881520051364,5.607669761329148,0.1783271916074774
FINAL_OPTIMIZER,2017-07-31,8,0.25842499579693606,0.6486006312407648,0.878289495224937,5.606135556789509,0.17837599356457134
FINAL_OPTIMIZER,2017-08-31,8,0.2584249801402774,0.650777945255222,0.8862939955957408,5.543696135453772,0.18038506721258923
FINAL_OPTIMIZER,2017-09-29,8,0.22926087219576352,0.6297259549067796,0.874565984658651,5.833265031517878,0.17143057868909983
FINAL_OPTIMIZER,2017-10-31,8,0.23034926037672485,0.6508780760893502,0.8423354050455012,5.865344765937217,0.17049296160857666
FINAL_OPTIMIZER,2017-11-30,8,0.2581169462188869,0.6303177150317656,0.8578322767083012,5.7325151403908015,0.17444349914648935
FINAL_OPTIMIZER,2017-12-29,8,0.21728645113792205,0.5812663725146883,0.8578322875086914,6.084739068397154,0.164345584709423
FINAL_OPTIMIZER,2018-01-31,8,0.21728644735435632,0.6271801532628688,0.9037460564785279,5.570999687125391,0.17950099733643948
FINAL_OPTIMIZER,2018-02-28,8,0.22318143714738806,0.6350473227400202,0.9128775891016714,5.609435702234792,0.17827105132903143
FINAL_OPTIMIZER,2018-03-29,8,0.225220856950007,0.6350474066485383,0.9128775404705809,5.6055058653435506,0.17839603133457999
FINAL_OPTIMIZER,2018-04-30,8,0.23022877080145368,0.6400552814951734,0.8805054528801379,5.753779401340154,0.1737988077483615
FINAL_OPTIMIZER,2018-05-31,8,0.2598807098139173,0.6105571784245625,0.8539766480938636,5.959284929565699,0.16780536789551997
FINAL_OPTIMIZER,2018-06-29,8,0.25988070595389745,0.6600108075307014,0.8972989532878465,5.449180384658358,0.18351383683597694
FINAL_OPTIMIZER,2018-07-31,8,0.2739614078284526,0.6389656780811694,0.8436900112679194,5.704729036758564,0.17529316354141888
FINAL_OPTIMIZER,2018-08-31,8,0.25565133677820845,0.6704181344724534,0.9330489014816896,5.272640373853844,0.18965829813822227
FINAL_OPTIMIZER,2018-09-28,8,0.2536461388517515,0.6780473554881158,0.9406781291681914,5.212914488063244,0.1918312687249797
FINAL_OPTIMIZER,2018-10-31,8,0.21530298195348554,0.6279391553763876,0.939113395409389,5.498574393746139,0.18186532151631163
