strategy,cagr,ann_return,ann_vol,max_drawdown,information_ratio,avg_turnover,delta_cagr_vs_conviction,delta_vol_vs_conviction,delta_mdd_vs_conviction,delta_ir_vs_conviction,delta_turnover_vs_conviction
FULL_ALPHA_CONVICTION,0.3451366687626658,0.3404938616285122,0.2875518902728576,-0.2312877424422086,0.6800419192359978,0.3776763512225659,0.0,0.0,0.0,0.0,0.0
FULL_ALPHA_RISK,0.3237920555128757,0.3168598419803821,0.2607277290540652,-0.2123048950765826,0.6394363110090688,0.3950806931547805,-0.02134461324979009,-0.026824161218792386,0.018982847365626,-0.040605608226928935,0.01740434193221463
FINAL_OPTIMIZER,0.2522581888157111,0.2451566769587784,0.1921204270150077,-0.2046878647613403,0.5755528741807809,0.1532257511141408,-0.0928784799469547,-0.0954314632578499,0.0265998776808683,-0.10448904505521683,-0.22445060010842507
