strategy,total_contribution_sum,top1_positive_contribution,top5_positive_contribution,top1_share_of_positive,top5_share_of_positive,unique_contributors
FINAL_OPTIMIZER,3.1288538801316603,0.380319012758728,1.4467835054417155,0.11631162433739269,0.4424647044643737,122
FULL_ALPHA_CONVICTION,4.347075183937236,0.729709601039029,2.58046303537813,0.15589318420841247,0.5512831388601751,122
FULL_ALPHA_RISK,4.046007719855141,0.7197010890661641,2.2414838627170512,0.1648889961493866,0.5135410097656334,122
