canonical_ticker,asset_class,motor,sector,benchmark,market_symbol,fundamentals_symbol,sec_ticker,country,active,note
USB,Acción USA/ADR,Fundamental,Financiero,XLF,USB,USB,USB,Exterior,SI,Universo ampliado V6.1
SPGI,Acción USA/ADR,Fundamental,Financiero,XLF,SPGI,SPGI,SPGI,Exterior,SI,Universo ampliado V6.1
MCO,Acción USA/ADR,Fundamental,Financiero,XLF,MCO,MCO,MCO,Exterior,SI,Universo ampliado V6.1
UNH,Acción USA/ADR,Fundamental,Salud,XLV,UNH,UNH,UNH,Exterior,SI,Universo ampliado V6.1
JNJ,Acción USA/ADR,Fundamental,Salud,XLV,JNJ,JNJ,JNJ,Exterior,SI,Universo ampliado V6.1
MRK,Acción USA/ADR,Fundamental,Salud,XLV,MRK,MRK,MRK,Exterior,SI,Universo ampliado V6.1
AMGN,Acción USA/ADR,Fundamental,Salud,XLV,AMGN,AMGN,AMGN,Exterior,SI,Universo ampliado V6.1
GILD,Acción USA/ADR,Fundamental,Salud,XLV,GILD,GILD,GILD,Exterior,SI,Universo ampliado V6.1
REGN,Acción USA/ADR,Fundamental,Salud,XLV,REGN,REGN,REGN,Exterior,SI,Universo ampliado V6.1
VRTX,Acción USA/ADR,Fundamental,Salud,XLV,VRTX,VRTX,VRTX,Exterior,SI,Universo ampliado V6.1
TMO,Acción USA/ADR,Fundamental,Salud,XLV,TMO,TMO,TMO,Exterior,SI,Universo ampliado V6.1
DHR,Acción USA/ADR,Fundamental,Salud,XLV,DHR,DHR,DHR,Exterior,SI,Universo ampliado V6.1
ISRG,Acción USA/ADR,Fundamental,Salud,XLV,ISRG,ISRG,ISRG,Exterior,SI,Universo ampliado V6.1
MDT,Acción USA/ADR,Fundamental,Salud,XLV,MDT,MDT,MDT,Exterior,SI,Universo ampliado V6.1
BSX,Acción USA/ADR,Fundamental,Salud,XLV,BSX,BSX,BSX,Exterior,SI,Universo ampliado V6.1
SYK,Acción USA/ADR,Fundamental,Salud,XLV,SYK,SYK,SYK,Exterior,SI,Universo ampliado V6.1
ZTS,Acción USA/ADR,Fundamental,Salud,XLV,ZTS,ZTS,ZTS,Exterior,SI,Universo ampliado V6.1
BMY,Acción USA/ADR,Fundamental,Salud,XLV,BMY,BMY,BMY,Exterior,SI,Universo ampliado V6.1
HD,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,HD,HD,HD,Exterior,SI,Universo ampliado V6.1
LOW,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,LOW,LOW,LOW,Exterior,SI,Universo ampliado V6.1
MCD,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,MCD,MCD,MCD,Exterior,SI,Universo ampliado V6.1
SBUX,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,SBUX,SBUX,SBUX,Exterior,SI,Universo ampliado V6.1
BKNG,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,BKNG,BKNG,BKNG,Exterior,SI,Universo ampliado V6.1
ABNB,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,ABNB,ABNB,ABNB,Exterior,SI,Universo ampliado V6.1
TJX,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,TJX,TJX,TJX,Exterior,SI,Universo ampliado V6.1
ORLY,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,ORLY,ORLY,ORLY,Exterior,SI,Universo ampliado V6.1
AZO,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,AZO,AZO,AZO,Exterior,SI,Universo ampliado V6.1
MAR,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,MAR,MAR,MAR,Exterior,SI,Universo ampliado V6.1
CMG,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,CMG,CMG,CMG,Exterior,SI,Universo ampliado V6.1
RCL,Acción USA/ADR,Fundamental,Consumo Discrecional,XLY,RCL,RCL,RCL,Exterior,SI,Universo ampliado V6.1
KO,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,KO,KO,KO,Exterior,SI,Universo ampliado V6.1
PEP,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,PEP,PEP,PEP,Exterior,SI,Universo ampliado V6.1
PM,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,PM,PM,PM,Exterior,SI,Universo ampliado V6.1
MO,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,MO,MO,MO,Exterior,SI,Universo ampliado V6.1
MDLZ,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,MDLZ,MDLZ,MDLZ,Exterior,SI,Universo ampliado V6.1
CL,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,CL,CL,CL,Exterior,SI,Universo ampliado V6.1
KMB,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,KMB,KMB,KMB,Exterior,SI,Universo ampliado V6.1
TGT,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,TGT,TGT,TGT,Exterior,SI,Universo ampliado V6.1
KR,Acción USA/ADR,Fundamental,Consumo Masivo,XLP,KR,KR,KR,Exterior,SI,Universo ampliado V6.1
TMUS,Acción USA/ADR,Fundamental,Comunicacion,XLC,TMUS,TMUS,TMUS,Exterior,SI,Universo ampliado V6.1
