ticker,currently_held,phase3z_target_weight,raw_model_target_weight,expected_active_total,effective_horizon_sessions,resize_band,entry_ok,reason
FDX,False,0.08934579808489145,0.08934579808489145,0.014031448798957142,40.967715516631195,0.01273507808994491,True,No current position; sealed Phase3Z entry gate is open.
NKE,False,0.06344129289079982,0.06344129289079982,0.013281983449656339,37.14125031408989,0.009552984782922812,True,No current position; sealed Phase3Z entry gate is open.
CEPU,False,0.06143078214313742,0.06143078214313742,0.017422083966546063,35.69090166256359,0.007052059014420661,True,No current position; sealed Phase3Z entry gate is open.
CAAP,False,0.057499552780832824,0.057499552780832824,0.010397472488243503,39.557211665856485,0.011060294287067937,True,No current position; sealed Phase3Z entry gate is open.
TTWO,False,0.05640757295772763,0.05640757295772763,0.014318211977733248,40.201782626088026,0.007879136451597312,True,No current position; sealed Phase3Z entry gate is open.
ZTS,False,0.052242152427021446,0.052242152427021446,0.01084231880711082,35.49788375843546,0.009636712101245167,True,No current position; sealed Phase3Z entry gate is open.
NUE,False,0.04973543723614926,0.04973543723614926,0.015241817743156265,42.639798620701114,0.00652618186022871,True,No current position; sealed Phase3Z entry gate is open.
MPWR,False,0.046097224872026096,0.046097224872026096,0.029238668560963178,36.08826521839135,0.003153168536105706,True,No current position; sealed Phase3Z entry gate is open.
VIST,False,0.044342205540363375,0.044342205540363375,0.016603964805756714,36.81572090522146,0.0053411587002388265,True,No current position; sealed Phase3Z entry gate is open.
STLD,False,0.04354105257132993,0.04354105257132993,0.015149836224792716,38.58295101976738,0.005748055876680037,True,No current position; sealed Phase3Z entry gate is open.
OXY,False,0.042238860394308714,0.042238860394308714,0.009536070003945844,41.21042582775872,0.008858756359135593,True,No current position; sealed Phase3Z entry gate is open.
YPF,False,0.04052718458703472,0.04052718458703472,0.00998961705472941,37.32464658871329,0.008113861495390923,True,No current position; sealed Phase3Z entry gate is open.
DOW,False,0.03746677179830524,0.03746677179830524,0.011189754675825569,40.45357204548402,0.006696620772079791,True,No current position; sealed Phase3Z entry gate is open.
HON,False,0.03173325318911694,0.03173325318911694,0.005694164647883147,34.317791298207716,0.011145885358588653,True,No current position; sealed Phase3Z entry gate is open.
MDB,False,0.02835130548933022,0.02835130548933022,0.02642586128372224,37.5415693653307,0.0021457242346756746,True,No current position; sealed Phase3Z entry gate is open.
NXPI,False,0.026955632668679865,0.026955632668679865,0.007623689098275692,26.34362308357846,0.0070715456313077164,True,No current position; sealed Phase3Z entry gate is open.
ADSK,False,0.026486738062754752,0.026486738062754752,0.011865504607895202,39.8116417142798,0.004464494168268362,True,No current position; sealed Phase3Z entry gate is open.
MELI,False,0.025216419927355675,0.025216419927355675,0.006665625606192472,37.89195956875791,0.007566107494525111,True,No current position; sealed Phase3Z entry gate is open.
UPS,False,0.022485523158032966,0.022485523158032966,0.003176332334252904,31.756894460398364,0.014158167843807643,True,No current position; sealed Phase3Z entry gate is open.
LAR,False,0.02225535881805925,0.02225535881805925,0.01830085039397113,36.973474478183476,0.002432166630397772,True,No current position; sealed Phase3Z entry gate is open.
ON,False,0.0164049542491225,0.0164049542491225,0.01983191902737777,37.30524344336753,0.0016543990751954588,True,No current position; sealed Phase3Z entry gate is open.
AMD,False,0.0152354165673102,0.0152354165673102,0.013956878234103087,35.955483425692144,0.002183212651391205,True,No current position; sealed Phase3Z entry gate is open.
MCHP,False,0.01501335226841907,0.01501335226841907,0.010981817798291788,39.77456578703358,0.002734219879472847,True,No current position; sealed Phase3Z entry gate is open.
KMB,False,0.014446707257863362,0.014446707257863362,0.0026785420595289967,43.25625898038994,0.010786993025902844,True,No current position; sealed Phase3Z entry gate is open.
FCX,False,0.010539813438480134,0.010539813438480134,0.004504419367281422,32.48932040094935,0.004679765616424515,True,No current position; sealed Phase3Z entry gate is open.
CAT,False,0.009699581660245923,0.009699581660245923,0.002971209483763082,31.179258842234873,0.006529045974881081,True,No current position; sealed Phase3Z entry gate is open.
AMAT,False,0.007786825600607804,0.007786825600607804,0.00933921696740084,35.43836503771201,0.0016675542773635606,True,No current position; sealed Phase3Z entry gate is open.
MU,False,0.007310710203468834,0.007310710203468834,0.014620381694604207,43.23562064461519,0.001000071045500395,True,No current position; sealed Phase3Z entry gate is open.
KEEL,False,0.006998333702854289,0.006998333702854289,0.018440184941945218,36.62592544871538,0.0007590307499503906,True,No current position; sealed Phase3Z entry gate is open.
DDOG,False,0.0022620307597557374,0.0022620307597557374,0.0021122959536670587,37.53778462507675,0.002141774457152873,True,No current position; sealed Phase3Z entry gate is open.
