end_month,window_months,strategy_cagr,spy_cagr,spread
2014-07,36,0.36277636669120294,0.14812917375525436,0.21464719293594858
2014-07,36,0.44446002842221,0.13982013218218503,0.30463989624002497
2014-07,36,0.48026763289795027,0.1315712233654649,0.3486964095324854
2014-07,36,0.5184090110484367,0.12338201212272648,0.39502699892571025
2014-07,36,0.5429536646005195,0.11525206642102814,0.4277015981794914
2014-08,36,0.5356899747875998,0.12662710893532503,0.4090628658522748
2014-08,36,0.4922146243498695,0.13811817149217331,0.3540964528576962
2014-08,36,0.47328005127060613,0.1497264374410212,0.3235536138295849
2014-08,36,0.4266566005408432,0.16145310220091869,0.2652034983399245
2014-08,36,0.3709470889917139,0.1738211315524696,0.19712595743924433
2014-08,36,0.2558873797367476,0.1863208650165249,0.06956651472022268
2014-08,36,0.13811270332442827,0.19895370507789112,-0.06084100175346285
2014-08,36,0.08837317054716132,0.21172106915609157,-0.12334789860893025
2014-09,36,0.06992756401980782,0.2033409970092901,-0.13341343298948227
2014-09,36,0.05972213662337311,0.1950188801221382,-0.13529674349876508
2014-09,36,0.036697221803722035,0.18675431768518402,-0.150057095881462
2014-09,36,0.050488310679142945,0.17854691166091152,-0.12805860098176858
2014-09,36,0.03994285981874013,0.16416543214545354,-0.12422257232671341
2014-09,36,0.029279314312052884,0.1499594458165685,-0.12068013150451562
2014-09,36,0.029047461554689402,0.13592681117980931,-0.10687934962511991
2014-09,36,0.020606474211147585,0.1220654128727876,-0.10145893866164002
2014-10,36,0.02224675454689451,0.12219118032314613,-0.09994442577625162
2014-10,36,-0.006519561143749741,0.12231696187023333,-0.12883652301398307
2014-10,36,-0.024832305817385047,0.12244275751562905,-0.1472750633330141
2014-10,36,-0.02104121273532622,0.12256856726091336,-0.14360977999623958
2014-10,36,-0.022597323120642332,0.12363270656200753,-0.14623002968264986
2014-10,36,-0.027289417808863625,0.12469785461435734,-0.15198727242322096
2014-10,36,-0.01191351009918773,0.12576401237420942,-0.13767752247339715
2014-10,36,-0.0013196450526158365,0.12683118079871614,-0.12815082585133197
2014-11,36,-0.005309706999969799,0.1293379489417108,-0.1346476559416806
2014-11,36,0.005572410936565131,0.1318502936844923,-0.12627788274792717
2014-11,36,0.0053998837897484275,0.13436822743286148,-0.12896834364311305
2014-11,36,0.007237394239213879,0.1368917626202164,-0.12965436838100253
2014-11,36,-0.06336115947185206,0.15239386893394014,-0.2157550284057922
2014-11,36,-0.0788567697931315,0.16810735447307779,-0.24696412426620928
2014-11,36,-0.11625154283600159,0.18403510150253122,-0.3002866443385328
