year,strategy,spy,active_arith,active
2014,0.6708238518304039,1.5638227315863138,-0.3075696511381298,-0.8929988797559099
2015,0.047668072552940144,0.10311765982208243,0.07494544359344707,-0.055449587269142286
2016,43.77432636759362,1.475590523613468,3.1712238220050453,42.298735843980154
2017,22.58634355607143,3.8136952227560057,1.7830307067865987,18.772648333315423
2018,0.18620916370488527,-0.3121145246168189,0.6065718409874067,0.49832368832170415
2019,1.223430108114869,7.792292987457008,-1.3396172884317248,-6.56886287934214
2020,28.717687967406246,2.844208756605956,2.1647207298367297,25.87347921080029
2021,4.888648510817602,6.54058213474572,-0.1786056646658487,-1.6519336239281177
2022,2.270438539506544,-0.7990572952436819,2.9830592967457514,3.0694958347502257
2023,7.733212141846034,5.424043089190097,0.3465338398497617,2.3091690526559363
2024,7.0941066059752576,4.917287883943875,0.3618451096640778,2.176818722031382
2025,9.016889704726674,2.68786079930502,1.0611703719258174,6.329028905421654
2026,3.625752174558376,2.303859471214603,0.41348500793433945,1.321892703343773
