regime,months,strategy_ann_arith,spy_ann_arith,active_ann_arith,active_hit_rate
BEARISH_MONTH,400,0.44035127477974634,-0.4008970629552311,0.8412483377349775,0.83
BULLISH_MONTH,400,0.11766167531546098,0.646203936837616,-0.528542261522155,0.17
MID_MONTH,408,0.20241033467494035,0.18131452022398378,0.021095814450956592,0.5098039215686274
