ensemble,top_n,policy,hold_floor,score_edge
LONG_120_252,10,WEEKLY,,
LONG_120_252,10,DAILY,,
LONG_120_252,10,EVENT_LOOSE,0.7,0.03
LONG_120_252,10,EVENT_BALANCED,0.8,0.05
LONG_120_252,10,EVENT_STRICT,0.85,0.1
LONG_120_252,15,MONTHLY,,
LONG_120_252,15,WEEKLY,,
LONG_120_252,15,DAILY,,
LONG_120_252,15,EVENT_LOOSE,0.7,0.03
LONG_120_252,15,EVENT_BALANCED,0.8,0.05
LONG_120_252,15,EVENT_STRICT,0.85,0.1
LONG_120_252,20,MONTHLY,,
LONG_120_252,20,WEEKLY,,
LONG_120_252,20,DAILY,,
LONG_120_252,20,EVENT_LOOSE,0.7,0.03
LONG_120_252,20,EVENT_BALANCED,0.8,0.05
LONG_120_252,20,EVENT_STRICT,0.85,0.1
ALL_EQUAL,5,MONTHLY,,
ALL_EQUAL,5,WEEKLY,,
ALL_EQUAL,5,DAILY,,
ALL_EQUAL,5,EVENT_LOOSE,0.7,0.03
ALL_EQUAL,5,EVENT_BALANCED,0.8,0.05
ALL_EQUAL,5,EVENT_STRICT,0.85,0.1
ALL_EQUAL,10,MONTHLY,,
ALL_EQUAL,10,WEEKLY,,
ALL_EQUAL,10,DAILY,,
ALL_EQUAL,10,EVENT_LOOSE,0.7,0.03
ALL_EQUAL,10,EVENT_BALANCED,0.8,0.05
ALL_EQUAL,10,EVENT_STRICT,0.85,0.1
ALL_EQUAL,15,MONTHLY,,
ALL_EQUAL,15,WEEKLY,,
ALL_EQUAL,15,DAILY,,
ALL_EQUAL,15,EVENT_LOOSE,0.7,0.03
ALL_EQUAL,15,EVENT_BALANCED,0.8,0.05
ALL_EQUAL,15,EVENT_STRICT,0.85,0.1
ALL_EQUAL,20,MONTHLY,,
ALL_EQUAL,20,WEEKLY,,
ALL_EQUAL,20,DAILY,,
ALL_EQUAL,20,EVENT_LOOSE,0.7,0.03
ALL_EQUAL,20,EVENT_BALANCED,0.8,0.05
ALL_EQUAL,20,EVENT_STRICT,0.85,0.1
