feature,frozen_direction,phase5_development_ic,pre_oos_refit_mean_ic,pre_oos_rich_dates,sign_agrees_with_phase5,raw_refit_weight,normalized_refit_weight,feature_admitted_in_phase8,feature_dropped_in_phase8
fund_update_count_60d,1,0.0694868180455495,0.07051085613740674,2495,True,0.07051085613740674,0.16685154838840313,False,False
size_log_market_cap,-1,-0.0645123656081896,-0.06202031848145041,2495,True,-0.06202031848145041,-0.1467601832830686,False,False
size_log_shares,-1,-0.0534318603485428,-0.04965502394237829,2495,True,-0.04965502394237829,-0.1174998870231241,False,False
size_log_assets,-1,-0.0617267042899998,-0.0557185459620444,2495,True,-0.0557185459620444,-0.13184814618618004,False,False
skew_60d,-1,-0.028638030488227,-0.029150704551934407,2495,True,-0.029150704551934407,-0.06898001892963557,False,False
fund_update_count_20d,1,0.0216234217018235,0.02323263384321263,2495,True,0.02323263384321263,0.05497594473008212,False,False
fund_cash_assets,1,0.0442383811822948,0.04397724403507747,2495,True,0.04397724403507747,0.10406441877273748,False,False
mom_skip_252_20,1,0.0413055254492599,0.04570345399640204,2495,True,0.04570345399640204,0.10814919125556219,False,False
rel_mom_252d,1,0.0373628785675932,0.042627573824512516,2495,True,0.042627573824512516,0.10087066143120668,False,False
