ensemble,top_n,policy,hold_floor,score_edge,oof_total_return_20bps,oof_cagr_20bps,worst_fold_cagr_20bps,worst_fold_max_drawdown_20bps,mean_annual_turnover_20bps,total_trade_days_20bps,max_execution_skip_rate,oof_total_return_40bps,oof_cagr_40bps,worst_fold_cagr_40bps,positive_each_oof_fold,stress_oof_positive,drawdown_ok,execution_ok,qualified,return_first_rank
SHORT_20_60,20,EVENT_BALANCED,0.8,0.05,2.250707210310738,0.34274784375614975,0.029075794758780527,-0.35857683867772594,2.9953953213631666,187,0.0,2.1736502056077485,0.33471875929577255,0.02547342295362398,True,True,True,True,True,27.0
SHORT_20_60,5,MONTHLY,,,2.2488430831736568,0.34255530171987725,0.026610355539152586,-0.34533482748475663,5.014687204159692,48,0.0,2.1209029424241694,0.3291379725288659,0.016496797382860473,True,True,True,True,True,28.0
SHORT_20_60,20,EVENT_STRICT,0.85,0.1,2.2216560478654026,0.3397377448125425,0.025623445664196387,-0.37519674913873435,2.6971444617865217,166,0.0,2.1528043276458924,0.3325215904398857,0.02256290052828036,True,True,True,True,True,29.0
H20,5,MONTHLY,,,2.1217214327523597,0.32922510913809,0.07464207793109967,-0.32002428272510264,5.947167936331326,48,0.0,1.976444924092755,0.31348301960399083,0.06154931418693188,True,True,True,True,True,30.0
H20,5,DAILY,,,1.982066082181623,0.3141027247179502,0.1083451833207476,-0.3366049139087508,27.112340188412936,1006,0.0,1.4003222424355557,0.24470773207648744,0.044115161027987515,True,True,True,True,True,31.0
H20,5,EVENT_STRICT,0.85,0.1,1.89201563604332,0.30406776311589523,0.006602414422548719,-0.34924196173962285,0.7163237261263384,12,0.0,1.8754927846210236,0.30220113800134074,0.004392644487672959,True,True,True,True,True,32.0
H20,5,EVENT_BALANCED,0.8,0.05,1.8859968697943823,0.30338873739180494,0.017972357921386184,-0.37499456334052916,1.6841850515822387,31,0.0,1.8473486346313752,0.2990030224152631,0.014349355366719552,True,True,True,True,True,33.0
H60,20,EVENT_STRICT,0.85,0.1,1.660746983815499,0.2771764285080993,0.007401600172755263,-0.3994262150021862,4.637229269934674,263,0.0,1.5637596401755411,0.2653752236030933,0.0010293619576280388,True,True,True,True,True,34.0
SHORT_20_60,10,MONTHLY,,,2.5129535602973214,0.36904619377760595,-0.0009141647173448453,-0.376409849068466,4.0498191331832185,48,0.0,2.400834469861713,0.3579893795563187,-0.008898835450927622,False,True,True,True,False,35.0
SHORT_20_60,20,WEEKLY,,,2.4973695258687774,0.3675253333895985,-0.02054500042733942,-0.3609397748547909,7.507550575179641,209,0.0,2.293379132512318,0.3471328678690986,-0.03473680626872799,False,True,True,True,False,36.0
SHORT_20_60,10,EVENT_LOOSE,0.7,0.03,2.3067333899955735,0.348496411801547,-0.011526625227118337,-0.3717135623369894,4.250175373172434,149,0.0,2.1961017523337336,0.33707309322055634,-0.01825508942626186,False,True,True,True,False,37.0
SHORT_20_60,20,MONTHLY,,,2.1873494011957884,0.33615677618170525,-0.003416729823832232,-0.3549524723995039,3.045667625131749,48,0.0,2.110552230496711,0.3280345524488748,-0.0090775429472012,False,True,True,True,False,38.0
ALL_MEDIUM,20,EVENT_LOOSE,0.7,0.03,2.154186752684773,0.33266763569062197,-0.015727310889461665,-0.39926525467364127,5.11406126082602,290,0.0,2.027598340844907,0.31909041510854363,-0.02124111752148994,False,True,True,True,False,39.0
SHORT_20_60,15,MONTHLY,,,2.0982200840417455,0.3267163040469441,-0.03642263189997652,-0.37476239762459407,3.4370175946891504,48,0.0,2.0141117665330306,0.3176189677959267,-0.04303110175137603,False,True,True,True,False,40.0
ALL_EQUAL,15,MONTHLY,,,2.0960505196999657,0.32648398093261766,-0.05684855076082718,-0.4062389984328423,2.923127981131534,48,0.0,2.0244121343033235,0.31874322950895717,-0.061793392448624695,False,True,True,True,False,41.0
ALL_LONG,10,WEEKLY,,,2.088951813045126,0.3257229768974157,-0.07183226183328184,-0.4439644047215293,8.990290042139076,209,0.0,1.87438338969777,0.3020755191511162,-0.08584683360217238,False,True,True,True,False,42.0
H20,20,DAILY,,,2.077627955383352,0.32450630364028865,-0.007193960522712373,-0.35606319573600764,13.276047653305888,1006,0.0,1.767446659365011,0.28979240345383017,-0.03356023530549945,False,True,True,True,False,43.0
MEDIUM_60_120,10,WEEKLY,,,2.033179226026781,0.319697877526532,-0.10617905752934997,-0.4692937216433969,9.548296805298824,209,0.0,1.8098980822935729,0.2947104161337337,-0.1207111394046948,False,True,True,True,False,44.0
SHORT_20_60,20,DAILY,,,1.9982039387174453,0.3158769895820812,-0.022781419256391655,-0.3744607327929649,16.878125496131062,1006,0.0,1.6193876331394979,0.27218404085832204,-0.0545358262560901,False,True,True,True,False,45.0
H120,15,WEEKLY,,,1.9162663145258527,0.30679298763515916,-0.06650029867686724,-0.4602231532430695,9.083043749673259,209,0.0,1.7116698630197331,0.28324388562033254,-0.08018814724991474,False,True,True,True,False,46.0
ALL_LONG,10,MONTHLY,,,1.9065081831616069,0.3056984468372208,-0.11314177658993863,-0.46688308511350485,3.427195147989807,48,0.0,1.8278008651241833,0.2967677633641421,-0.11827716767703611,False,True,True,True,False,47.0
ALL_MEDIUM,10,EVENT_BALANCED,0.8,0.05,1.9031730047440272,0.30532371776920497,-0.056451653899774135,-0.42502130574077446,2.3180981998355583,74,0.0,1.849738266810042,0.2992754831647151,-0.058087742595263614,False,True,True,True,False,48.0
ALL_EQUAL,15,WEEKLY,,,1.896686044469528,0.30459393974188886,-0.08012170116121897,-0.4212675546867206,7.545612857347621,209,0.0,1.7268372004855288,0.28503454433785413,-0.0911169081059846,False,True,True,True,False,49.0
SHORT_20_60,15,DAILY,,,1.8928629293229764,0.3041632680004964,-0.03290309848036066,-0.3752306124605579,18.93356800805351,1006,0.0,1.4860601047061426,0.2556769035008446,-0.06624265111239236,False,True,True,True,False,50.0
SHORT_20_60,15,EVENT_LOOSE,0.7,0.03,1.885625551994138,0.3033468112556055,-0.017075696274481134,-0.3802957048753659,4.924798796432355,235,0.0,1.7740584557774168,0.2905620854169251,-0.02439631566681888,False,True,True,True,False,51.0
ALL_EQUAL,20,EVENT_STRICT,0.85,0.1,1.863326276397768,0.30082151004140023,-0.00416592679454586,-0.36709837369929366,2.513816631870697,141,0.0,1.8062497852745594,0.29428995695906024,-0.006974920400383389,False,True,True,True,False,52.0
ALL_MEDIUM,15,EVENT_BALANCED,0.8,0.05,1.8624483204977178,0.3007217837833114,-0.04582207504085911,-0.4218090235139772,2.515318762843788,112,0.0,1.8053296206167029,0.29418384502701267,-0.04754150087245668,False,True,True,True,False,53.0
MEDIUM_60_120,10,MONTHLY,,,1.8574670994796172,0.3001555364312034,-0.03487630900193783,-0.42244034523329466,3.9528304523132007,48,0.0,1.768396674589821,0.28990307990632713,-0.0414289734157155,False,True,True,True,False,54.0
MEDIUM_60_120,20,EVENT_LOOSE,0.7,0.03,1.8547308133632527,0.2998441701358501,-0.015791239497513487,-0.4044139255199497,6.677754504079235,386,0.0,1.7060900656578286,0.282583243566207,-0.024421017865220107,False,True,True,True,False,55.0
ALL_MEDIUM,10,MONTHLY,,,1.8447863316012598,0.2987106835054769,-0.0785258703192877,-0.4653335832135287,3.6876707197944265,48,0.0,1.761994956025314,0.28915673032196465,-0.08504468846232083,False,True,True,True,False,56.0
ALL_MEDIUM,15,WEEKLY,,,1.8439429191938537,0.2986144134893036,-0.05057469942102544,-0.4248945488039898,7.635033801491767,209,0.0,1.6752602917804795,0.27891449869142426,-0.06161913792568985,False,True,True,True,False,57.0
ALL_EQUAL,15,DAILY,,,1.839664751730429,0.2981257585747974,-0.06784700763509732,-0.41657456723675657,18.905801412970035,1006,0.0,1.4407952717843582,0.24992178744806015,-0.09568410134105065,False,True,True,True,False,58.0
H252,5,EVENT_STRICT,0.85,0.1,1.8174112413871009,0.2955750050601882,-0.1572906674749034,-0.5329716727974106,0.6702772150929943,8,0.0,1.8023202727803116,0.2938366294079806,-0.15815754358889478,False,True,False,True,False,59.0
SHORT_20_60,5,EVENT_STRICT,0.85,0.1,1.8148233654634423,0.2952773964970641,-0.11062073551949048,-0.42192985543694084,1.348624261319277,25,0.0,1.7845630354362272,0.2917821033005641,-0.11179325065651369,False,True,True,True,False,60.0
ALL_LONG,15,EVENT_STRICT,0.85,0.1,1.8134765183275325,0.29512242640321684,-0.05015028360231588,-0.40990929120616215,1.9833302317784365,86,0.0,1.7691165090736187,0.28998692141313565,-0.051640046412907536,False,True,True,True,False,61.0
ALL_EQUAL,15,EVENT_LOOSE,0.7,0.03,1.80949441834419,0.2946639147961594,-0.04432017467653937,-0.3935115905671861,3.652700687092122,175,0.0,1.7284753281245684,0.28522749466756614,-0.04769998250734897,False,True,True,True,False,62.0
ALL_MEDIUM,15,DAILY,,,1.806510408961223,0.29432000692775784,-0.07582257119026092,-0.4389822707996581,19.16843579590536,1006,0.0,1.4071814485238758,0.2455960058317077,-0.1015869787267023,False,True,True,True,False,63.0
LONG_120_252,5,EVENT_STRICT,0.85,0.1,1.8014527878914373,0.2937364879242583,-0.17155781785966928,-0.542262162576093,1.007848400662244,15,0.0,1.7789019652241622,0.2911250476948215,-0.17197338172618248,False,True,False,True,False,64.0
ALL_MEDIUM,10,WEEKLY,,,1.8011387276148478,0.2937002274236924,-0.1300952285937701,-0.4820152305586698,8.759867221111037,209,0.0,1.6113764341532981,0.27121020357250236,-0.14286870944691177,False,True,True,True,False,65.0
H120,10,EVENT_LOOSE,0.7,0.03,1.7845315522844807,0.2917784519606683,-0.13654619901383547,-0.502849153995438,4.97259306667722,160,0.0,1.6758078359071131,0.2789799323601534,-0.14197654854392916,False,True,False,True,False,66.0
ALL_LONG,10,DAILY,,,1.7763055034903283,0.2908233519114629,-0.1401948069217428,-0.4839873744380554,22.41131431365853,1006,0.0,1.3202817481334255,0.23419897371568288,-0.17180138346676677,False,True,True,True,False,67.0
SHORT_20_60,10,DAILY,,,1.7703383964044002,0.2901292012630472,-0.07026795453708345,-0.3962990817725067,23.364720122785148,1006,0.0,1.2978300985103695,0.23120247102684743,-0.1128971758255114,False,True,True,True,False,68.0
ALL_MEDIUM,15,MONTHLY,,,1.7591714142382804,0.288827133038019,-0.03448879265850868,-0.4253742025283307,3.2194563780398724,48,0.0,1.6889208652380598,0.2805439991061709,-0.03939148841049145,False,True,True,True,False,69.0
MEDIUM_60_120,15,EVENT_STRICT,0.85,0.1,1.7586332038093344,0.2887642780314017,-0.03892610199871249,-0.43008921421231794,3.1996573872830973,142,0.0,1.688826531654649,0.2805327678446867,-0.04222972953709059,False,True,True,True,False,70.0
H120,15,EVENT_STRICT,0.85,0.1,1.737818218075648,0.2863263089702064,-0.07650140406229267,-0.49000352158894256,3.0582300891372363,127,0.0,1.6715555139574523,0.27847149912423586,-0.07925892689682468,False,True,True,True,False,71.0
ALL_LONG,5,DAILY,,,1.7316187692052325,0.2855975083348494,-0.18822767715544308,-0.5794347264728608,23.555294542035554,1006,0.0,1.2618998105070336,0.22636102868521024,-0.21455241633022326,False,True,False,True,False,72.0
ALL_LONG,15,EVENT_BALANCED,0.8,0.05,1.7269471222764858,0.2850474944292001,-0.06854210097839841,-0.43583939766082935,2.2456331204243756,98,0.0,1.6783183138821562,0.27927981580582606,-0.07027517439015896,False,True,True,True,False,73.0
ALL_MEDIUM,20,WEEKLY,,,1.724722641031042,0.2847853478985358,-0.02892580480053364,-0.41635154054102974,7.424708855007384,209,0.0,1.5674618835218368,0.26583179840874993,-0.04101566405685664,False,True,True,True,False,74.0
ALL_LONG,15,MONTHLY,,,1.7175724946044593,0.28394164209254047,-0.06668220772997202,-0.4486419490972873,3.02455118946898,48,0.0,1.6525310532204456,0.276189359337921,-0.07148460498500553,False,True,True,True,False,75.0
H60,20,MONTHLY,,,1.713602551758942,0.2834724761696472,-0.010687968913450918,-0.3456580933965613,3.820572964432401,48,0.0,1.631826235603676,0.27369165376481286,-0.017894277897026023,False,True,True,True,False,76.0
