ensemble,top_n,policy,hold_floor,score_edge,oof_total_return_20bps,oof_cagr_20bps,worst_fold_cagr_20bps,worst_fold_max_drawdown_20bps,mean_annual_turnover_20bps,total_trade_days_20bps,max_execution_skip_rate,oof_total_return_40bps,oof_cagr_40bps,worst_fold_cagr_40bps,positive_each_oof_fold,stress_oof_positive,drawdown_ok,execution_ok,qualified,return_first_rank
ALL_LONG,15,WEEKLY,,,1.5461711108609744,0.2631993588510009,-0.0735227738762051,-0.43639890519942914,7.344152260527155,209,0.0,1.4007481558552506,0.24476294366907947,-0.08428704819359856,False,True,True,True,False,116.0
H60,15,MONTHLY,,,1.5388572113600265,0.26229124215934463,-0.015230591953667494,-0.37283904434105486,4.110492264526211,48,0.0,1.4566295846613442,0.25194404695037886,-0.022955206743296985,False,True,True,True,False,117.0
ALL_MEDIUM,10,DAILY,,,1.534754404867078,0.26178096551905994,-0.12760259832213428,-0.4953996589746804,22.904593917809073,1006,0.0,1.110066720625265,0.20524141591557776,-0.1606861900723705,False,True,True,True,False,118.0
MEDIUM_60_120,5,EVENT_STRICT,0.85,0.1,1.5215807932227334,0.2601383303606779,-0.20970279713573814,-0.5581735494345996,1.8575137522865761,32,0.0,1.484312192366105,0.2554561332883851,-0.21086436628786398,False,True,False,True,False,119.0
MEDIUM_60_120,20,EVENT_BALANCED,0.8,0.05,1.5157495793729243,0.25940917298154664,-0.054792301377899366,-0.4136478321739544,4.26810095161056,246,0.0,1.4311984826357382,0.24869135214026183,-0.05910486211601218,False,True,True,True,False,120.0
H60,15,EVENT_LOOSE,0.7,0.03,1.5122041768969972,0.25896522238868025,-0.06034050162736948,-0.3794552331659867,7.431513542824851,344,0.0,1.3671151447614611,0.24038025988465517,-0.07220112661799394,False,True,True,True,False,121.0
H120,15,MONTHLY,,,1.50369545885501,0.2578978516745327,-0.10005219171114454,-0.5039961431519095,3.925357010598546,48,0.0,1.4261861751192537,0.24804725934367533,-0.10602051511559496,False,True,False,True,False,122.0
ALL_LONG,20,WEEKLY,,,1.4994735014119054,0.25736722076133534,-0.0665244512517712,-0.42202435773784064,6.799642684428958,209,0.0,1.36703190886151,0.24036935573315277,-0.0770496959008381,False,True,True,True,False,123.0
H20,5,EVENT_LOOSE,0.7,0.03,1.4990167439740714,0.2573097735439003,-0.016039096724369317,-0.3876851419362276,3.8390022672995827,72,0.0,1.423379991899684,0.24768622260816242,-0.02349808397742159,False,True,True,True,False,124.0
MEDIUM_60_120,5,WEEKLY,,,1.489588107114502,0.2561221537545968,-0.10446260484922931,-0.4895762642636686,10.110431121032423,209,0.0,1.2958804713438727,0.2309412300080369,-0.11776623893991123,False,True,True,True,False,125.0
H252,5,MONTHLY,,,1.489445906982632,0.25610421659448535,-0.1404317338188229,-0.5297506112697036,3.9619695421004106,48,0.0,1.4116728246733175,0.24617661537727575,-0.14663373952794634,False,True,False,True,False,126.0
ALL_EQUAL,5,EVENT_BALANCED,0.8,0.05,1.4856096356537853,0.2556200181078858,-0.17540169783518456,-0.5369776870139213,1.486211987022847,24,0.0,1.4561763254620188,0.25188629562862386,-0.17658040738379932,False,True,False,True,False,127.0
H60,10,WEEKLY,,,1.4853729884395723,0.2555901311151383,-0.07090088572195419,-0.42616787949100143,9.63331744105382,209,0.0,1.3008643373455802,0.23160871449788956,-0.08711288764445613,False,True,True,True,False,128.0
MEDIUM_60_120,20,EVENT_STRICT,0.85,0.1,1.4787140094724518,0.25474826935807604,-0.04868759957239499,-0.4239666582975252,3.934665982252243,215,0.0,1.40181447151333,0.24490113904734123,-0.05279455886464479,False,True,True,True,False,129.0
LONG_120_252,15,WEEKLY,,,1.4727391026632137,0.2539914464370152,-0.0911127713455363,-0.43929857866920474,8.22314766688905,209,0.0,1.3151575560659903,0.2335169965287116,-0.1032631022613345,False,True,True,True,False,130.0
ALL_LONG,20,MONTHLY,,,1.4698272712250473,0.2536221166067585,-0.05162201194706639,-0.43007781663178357,2.914898342534939,48,0.0,1.4128401815025544,0.24632738922850117,-0.05657419280643361,False,True,True,True,False,131.0
H120,5,WEEKLY,,,1.4622041267344645,0.2526536659245999,-0.18436046958841978,-0.5751025283913497,10.817541340356552,209,0.0,1.2578247313916586,0.2258082966298125,-0.19864823101126783,False,True,False,True,False,132.0
LONG_120_252,15,EVENT_STRICT,0.85,0.1,1.4607107454224568,0.2524636821631112,-0.07391287850710493,-0.4278275615776628,2.258231388784636,97,0.0,1.41658736392769,0.2468109996576866,-0.07571952240252278,False,True,True,True,False,133.0
MEDIUM_60_120,15,MONTHLY,,,1.4476610982836973,0.250799852535867,-0.041243600147787385,-0.4378733115587774,3.7988980418406815,48,0.0,1.3742991374961298,0.24132030279911798,-0.047534173597020946,False,True,True,True,False,134.0
ALL_LONG,5,EVENT_STRICT,0.85,0.1,1.4421909526808,0.25010042983911096,-0.2171705687782315,-0.6175505489955231,0.8939550917268961,14,0.0,1.4247470968234595,0.24786215016174507,-0.21756325233813745,False,True,False,True,False,135.0
MEDIUM_60_120,15,DAILY,,,1.4378291614647005,0.24954188088125773,-0.06748654780677521,-0.4385425998672158,23.121314479124543,1006,0.0,1.0258800403582709,0.19303567765202012,-0.10344793429825383,False,True,True,True,False,136.0
LONG_120_252,10,WEEKLY,,,1.4361295278708894,0.24932403144494075,-0.1132424054985317,-0.5112851044152078,9.010601003330848,209,0.0,1.266509921159383,0.22698543123390258,-0.1255637756689436,False,True,False,True,False,137.0
LONG_120_252,10,EVENT_LOOSE,0.7,0.03,1.4332336588651273,0.24895259259526203,-0.12303439404211403,-0.47655299443492405,3.897967132544365,123,0.0,1.3584063980771464,0.239237825737167,-0.1258076255563524,False,True,True,True,False,138.0
ALL_LONG,20,EVENT_STRICT,0.85,0.1,1.4324664725073672,0.24885413383249477,-0.05847354281662276,-0.4109112828003979,2.459151131032803,135,0.0,1.3850061223143557,0.24271738674536847,-0.060283381018927384,False,True,True,True,False,139.0
MEDIUM_60_120,20,DAILY,,,1.4258244810853324,0.24800074225333413,-0.0579874112855413,-0.4265379008318594,21.719729527850703,1006,0.0,1.0386721974274953,0.194914551829098,-0.09227910828134256,False,True,True,True,False,140.0
ALL_EQUAL,10,EVENT_STRICT,0.85,0.1,1.4216944081915694,0.24746920873200406,-0.06562226737827148,-0.43489558543139417,1.3731903223098072,42,0.0,1.3951850484422095,0.24404121287734593,-0.0664148017033519,False,True,True,True,False,141.0
ALL_EQUAL,10,EVENT_BALANCED,0.8,0.05,1.418922215970039,0.24711205074939402,-0.06557762322917482,-0.4330281260090849,1.704658704565501,58,0.0,1.3860998850525679,0.2428598396584687,-0.0666823697658524,False,True,True,True,False,142.0
H120,10,DAILY,,,1.400799034817822,0.24476953866986606,-0.1500403579557653,-0.5052321970333409,23.615954018905065,1006,0.0,0.9872157453179038,0.1873021517860205,-0.18401074577230048,False,True,False,True,False,143.0
ALL_LONG,15,EVENT_LOOSE,0.7,0.03,1.4001040846412378,0.2446794492126323,-0.0982016671850704,-0.44285288635117426,3.666599332518839,172,0.0,1.3306297121616564,0.2355727446772682,-0.10135763753125304,False,True,True,True,False,144.0
H60,15,EVENT_BALANCED,0.8,0.05,1.3930923225134078,0.24376938724694375,-0.0503876759496934,-0.39371820332737695,4.153627813959741,193,0.0,1.3148086423067915,0.23347051854958445,-0.056034211252324106,False,True,True,True,False,145.0
LONG_120_252,15,EVENT_LOOSE,0.7,0.03,1.3875631888530364,0.24305034545412263,-0.09637365874763404,-0.4450309200410665,4.90400730592289,228,0.0,1.2955819632998202,0.23090121662532148,-0.10052148463063437,False,True,True,True,False,146.0
ALL_EQUAL,20,DAILY,,,1.3742483398202352,0.24131366329323845,-0.06963364262923233,-0.43459602622431226,17.139272707038796,1006,0.0,1.0699154297497766,0.19946657581610183,-0.09907916826089236,False,True,True,True,False,147.0
H252,5,EVENT_LOOSE,0.7,0.03,1.3641185989848013,0.2399875221265979,-0.2148060567292398,-0.61260392882431,1.4483584958009716,24,0.0,1.3368213171803482,0.2363925412316814,-0.21536873623205344,False,True,False,True,False,148.0
MEDIUM_60_120,15,EVENT_BALANCED,0.8,0.05,1.3639919157702938,0.23997091035826235,-0.056030396249015846,-0.4323083340274474,3.5055957963272446,161,0.0,1.29853243849087,0.2312965406039591,-0.05957014706176711,False,True,True,True,False,149.0
ALL_LONG,5,EVENT_LOOSE,0.7,0.03,1.3633172618968725,0.2398824328221385,-0.240172546278819,-0.6132286228887137,2.51581169034213,44,0.0,1.3161277032210905,0.23364619993851243,-0.2413537769191566,False,True,False,True,False,150.0
ALL_LONG,20,DAILY,,,1.3561896123564976,0.23894651742398154,-0.08598550077289191,-0.4467964698186856,17.946680594415582,1006,0.0,1.0408608759639053,0.19523513200875664,-0.11207898368858416,False,True,True,True,False,151.0
H60,20,EVENT_BALANCED,0.8,0.05,1.3523848418000117,0.23844605213875436,-0.030795297792024612,-0.3926337255419565,5.2832630884529665,306,0.0,1.254947274485719,0.22541755577009526,-0.03795624295993816,False,True,True,True,False,152.0
ALL_LONG,5,MONTHLY,,,1.3378583918574583,0.23652969528442003,-0.20572972957209035,-0.5909739907047302,3.268147359852038,48,0.0,1.2774267991221357,0.2284602454092537,-0.2094815110839071,False,True,False,True,False,153.0
H120,20,EVENT_LOOSE,0.7,0.03,1.3373019790925427,0.2364561148738491,-0.07456693350731924,-0.4232058967451702,7.3749839578935035,422,0.0,1.2032533355676849,0.21833328423224696,-0.0827789765913104,False,True,True,True,False,154.0
H60,15,EVENT_STRICT,0.85,0.1,1.3356802861078103,0.23624158609766432,-0.04160608564267365,-0.40717178759551964,3.2984534338421705,145,0.0,1.2747851240402848,0.22810385575926118,-0.04551652829891539,False,True,True,True,False,155.0
ALL_EQUAL,5,MONTHLY,,,1.334319396895446,0.2360614720249039,-0.18959561827482163,-0.571259560281318,4.062859627976751,48,0.0,1.2595673945910946,0.22604475796459433,-0.19577567306890242,False,True,False,True,False,156.0
ALL_LONG,15,DAILY,,,1.3298089767323327,0.2354639530205167,-0.11167548478750533,-0.452210818709578,19.05111568309958,1006,0.0,1.0002194722805489,0.1892397384099611,-0.1379198394859581,False,True,True,True,False,157.0
ALL_MEDIUM,10,EVENT_LOOSE,0.7,0.03,1.3222689891992903,0.23446315106723903,-0.1096858023418622,-0.4417805606702222,3.466338804299966,118,0.0,1.2586675648527232,0.22592267748056227,-0.11288002748419734,False,True,True,True,False,158.0
LONG_120_252,20,EVENT_BALANCED,0.8,0.05,1.3199646235345837,0.23415680050583898,-0.08265102422206472,-0.4355297618538768,3.434357386384497,201,0.0,1.2570015977254054,0.22569655832290136,-0.08530701069884994,False,True,True,True,False,159.0
H252,20,EVENT_BALANCED,0.8,0.05,1.312982121187912,0.23322712619502495,-0.08174550306445094,-0.3976737546595591,1.9788723967274557,114,0.0,1.2766250142643258,0.22835210901533132,-0.084602537882285,False,True,True,True,False,160.0
MEDIUM_60_120,5,EVENT_LOOSE,0.7,0.03,1.3121918036483726,0.2331217680593518,-0.24258425196257682,-0.5800011979651973,3.1325420180926233,55,0.0,1.2548421607874127,0.22540327490149026,-0.24403174251182969,False,True,False,True,False,161.0
H120,15,EVENT_LOOSE,0.7,0.03,1.3100680020730398,0.23283850776654313,-0.13955103255427748,-0.47441794328402465,5.981446114697358,273,0.0,1.2020079792897613,0.21816108652252808,-0.14549530514185904,False,True,True,True,False,162.0
H252,20,EVENT_LOOSE,0.7,0.03,1.3060353930034267,0.23230012387845433,-0.10822051362856033,-0.4348189951697371,4.0809770364572895,233,0.0,1.2319206590854126,0.22227713638285262,-0.11438802112848256,False,True,True,True,False,163.0
LONG_120_252,15,EVENT_BALANCED,0.8,0.05,1.305873097390576,0.2322784414074306,-0.12402154382914887,-0.4605240394138752,2.9061424341857487,129,0.0,1.252799993300537,0.22512572453268298,-0.12609294368895407,False,True,True,True,False,164.0
MEDIUM_60_120,5,MONTHLY,,,1.3019351765237586,0.2317519894324389,-0.1829256605046896,-0.5500539732486927,4.3465670632136675,48,0.0,1.2231164480576684,0.22106997641244774,-0.1880608161178079,False,True,False,True,False,165.0
LONG_120_252,20,WEEKLY,,,1.3002104985836165,0.23152120832341483,-0.0646665756500332,-0.4448966707942499,8.082655329349112,209,0.0,1.1560521618498156,0.21175498744863064,-0.07704257010313487,False,True,True,True,False,166.0
H120,20,WEEKLY,,,1.298824829565901,0.23133569634312035,-0.07924614262796059,-0.45068606939229394,8.627206026344533,209,0.0,1.14537282348746,0.21025167874186979,-0.09213092970150616,False,True,True,True,False,167.0
LONG_120_252,5,DAILY,,,1.2976237957421644,0.2311748352771117,-0.19888302889778386,-0.5539692337968798,25.280466689844268,1006,0.0,0.8764863439469681,0.17040549482583445,-0.2302313262322847,False,True,False,True,False,168.0
H60,10,DAILY,,,1.2966921886584108,0.23105001657988633,-0.09153758427152281,-0.43776256046200046,23.69081613663483,1006,0.0,0.8999154424866265,0.17404182320473383,-0.12922366481813963,False,True,True,True,False,169.0
H252,10,EVENT_STRICT,0.85,0.1,1.2954224906944205,0.2308798385890507,-0.163414487241185,-0.5007311796352879,0.9025039656669851,21,0.0,1.278883700004505,0.22865666397579054,-0.1643172233771285,False,True,False,True,False,170.0
H120,15,DAILY,,,1.2908933869757369,0.23027222581981,-0.12732441741564493,-0.500872868607817,23.754539112726818,1006,0.0,0.894107978449685,0.17314362072138612,-0.1595217892231815,False,True,False,True,False,171.0
ALL_LONG,20,EVENT_BALANCED,0.8,0.05,1.282571659733959,0.22915345205477666,-0.07834792396759982,-0.41551593897009675,2.686819032198198,151,0.0,1.2339620304221715,0.2225565220063812,-0.08050094258791551,False,True,True,True,False,172.0
LONG_120_252,10,DAILY,,,1.2819740446670451,0.22907299097150324,-0.15848184033061974,-0.5373270184403147,24.29715115095189,1006,0.0,0.8784981545386104,0.17071907132814323,-0.1886274179778612,False,True,False,True,False,173.0
ALL_EQUAL,10,DAILY,,,1.271963775394672,0.22772288330888557,-0.13431370343108928,-0.46476191884636153,21.388626065028888,1006,0.0,0.9144385253440495,0.17627903424228863,-0.16684886796398402,False,True,True,True,False,174.0
H252,15,WEEKLY,,,1.2693485792130397,0.22736943103506801,-0.05714743252223353,-0.45667566581460695,6.847912097397727,209,0.0,1.1483035212265769,0.21066478483497897,-0.06984145475978265,False,True,True,True,False,175.0
LONG_120_252,10,EVENT_BALANCED,0.8,0.05,1.2667180077706233,0.22701359242219699,-0.12356298980129776,-0.46446792472989096,2.011157034847602,61,0.0,1.2304767210474927,0.22207940077141686,-0.12490991394056639,False,True,True,True,False,176.0
MEDIUM_60_120,10,EVENT_LOOSE,0.7,0.03,1.2663056023553212,0.22695777807112338,-0.11483179464518944,-0.44767361128238115,4.331963695463328,141,0.0,1.1890016184689838,0.21635829358876157,-0.1187188798312302,False,True,True,True,False,177.0
ALL_EQUAL,5,EVENT_LOOSE,0.7,0.03,1.2597959378067611,0.22607575876422725,-0.1611450454790304,-0.508987913096403,2.8606799294357064,53,0.0,1.2085893752330046,0.21907028285802155,-0.16402588881661362,False,True,False,True,False,178.0
H60,10,MONTHLY,,,1.2581044782399182,0.225846264598613,-0.03594127576732009,-0.39971824363257935,4.287099664571476,48,0.0,1.1818615313207101,0.21536519843011792,-0.043300429105905924,False,True,True,True,False,179.0
LONG_120_252,10,MONTHLY,,,1.2544317825989184,0.22534751566590638,-0.13951364343396055,-0.5261263478024438,3.541344897005445,48,0.0,1.1913687419697574,0.2166869940598699,-0.1443204383439477,False,True,False,True,False,180.0
H60,20,DAILY,,,1.25037239467549,0.22479554474316532,-0.0696156171576997,-0.40300633819127574,21.484560321606995,1006,0.0,0.8948275983687948,0.17325503164361056,-0.10596684084230756,False,True,True,True,False,181.0
H120,20,MONTHLY,,,1.2494801741754338,0.22467412592733482,-0.07469882525731764,-0.46162158788463004,3.7096675534756622,48,0.0,1.1836140798250026,0.21560918105118843,-0.08041976787025062,False,True,True,True,False,182.0
ALL_MEDIUM,5,EVENT_LOOSE,0.7,0.03,1.248667014554119,0.22456343473471052,-0.20228005405961436,-0.565163900104988,2.8006614109968218,44,0.0,1.198731772835182,0.21770773032720858,-0.20355375769128758,False,True,False,True,False,183.0
H60,20,EVENT_LOOSE,0.7,0.03,1.2485274784997444,0.22454443739926933,-0.04939052774352837,-0.3973818859285465,8.074903513743811,457,0.0,1.1077832240278727,0.2049152079526284,-0.062015704191718646,False,True,True,True,False,184.0
H60,15,DAILY,,,1.2443228539444746,0.2239715775988902,-0.05069011881210994,-0.4043482675764226,22.50642228994755,1006,0.0,0.8743112231288979,0.17006617971302473,-0.08837055743199695,False,True,True,True,False,185.0
LONG_120_252,5,MONTHLY,,,1.2236810444837252,0.22114749665404876,-0.2096084182746336,-0.5950169811030805,3.81648810674296,48,0.0,1.1567137129754785,0.21184792880550773,-0.2147715945848676,False,True,False,True,False,186.0
H120,15,EVENT_BALANCED,0.8,0.05,1.220159363326362,0.22066372127877787,-0.1271231210364242,-0.4987428469809667,3.1751936985246627,142,0.0,1.1644009923724576,0.21292635052455955,-0.12998585435484333,False,True,True,True,False,187.0
H120,10,EVENT_BALANCED,0.8,0.05,1.2111650060499755,0.2194255438704611,-0.20006100563518248,-0.5649348581732994,2.686631675214776,82,0.0,1.1640757289652557,0.21288077870193844,-0.20214482672297096,False,True,False,True,False,188.0
H252,5,EVENT_BALANCED,0.8,0.05,1.2022431335311294,0.2181936073260411,-0.2028874643007953,-0.6124701332000919,0.573763241965557,8,0.0,1.1921394758395487,0.21679396124908656,-0.20344257850099634,False,True,False,True,False,189.0
H252,5,DAILY,,,1.1972316694077922,0.2174999793067236,-0.19544217564537625,-0.5585615584582793,27.9321701665558,1006,0.0,0.756695825049055,0.15126192646422387,-0.22542203026636964,False,True,False,True,False,190.0
H60,10,EVENT_BALANCED,0.8,0.05,1.1756296110034397,0.2144964236469309,-0.09221289968817037,-0.4280380074801897,3.218586234744122,100,0.0,1.1202618300752833,0.20669461252510324,-0.09609959515700273,False,True,True,True,False,191.0
H120,20,DAILY,,,1.1577875211019926,0.21199874266338026,-0.10812073172858472,-0.4675185256617683,23.322769897945207,1006,0.0,0.7902364752146003,0.15671828378579478,-0.1399490534434813,False,True,True,True,False,192.0
ALL_MEDIUM,10,EVENT_STRICT,0.85,0.1,1.1575269515333035,0.21196215144567043,-0.15200619647335223,-0.5105949416320585,1.895530032621592,60,0.0,1.125000140812325,0.20736822138465838,-0.15322974051443095,False,True,False,True,False,193.0
ALL_MEDIUM,5,EVENT_STRICT,0.85,0.1,1.1538750867362753,0.21144897894972514,-0.22482596184124637,-0.6096115374395719,1.2679138169956912,21,0.0,1.1320878008066693,0.20837371930812165,-0.22531436430355967,False,True,False,True,False,194.0
ALL_MEDIUM,5,MONTHLY,,,1.1529627643033256,0.21132067442491542,-0.2324855725007362,-0.6071791066528598,3.276185668461483,48,0.0,1.0971640934556492,0.20339472465811315,-0.2356535148525004,False,True,False,True,False,195.0
H252,20,WEEKLY,,,1.1509546117552225,0.21103811403403383,-0.052670449732853286,-0.4514000550644641,6.69759705538301,209,0.0,1.0386954443612795,0.19491795821055513,-0.06597535847709479,False,True,True,True,False,196.0
ALL_MEDIUM,5,DAILY,,,1.1379106762875093,0.20919791320645031,-0.21706386393706523,-0.5909066687001056,22.601834776850566,1006,0.0,0.7838857275879134,0.15569107053768505,-0.24257383697283352,False,True,False,True,False,197.0
ALL_LONG,10,EVENT_STRICT,0.85,0.1,1.1350940055841354,0.20879944048416021,-0.16115278156734025,-0.5176608573033962,1.541890050039671,43,0.0,1.1088704762570956,0.20507055995917467,-0.16207992250333048,False,True,False,True,False,198.0
MEDIUM_60_120,5,EVENT_BALANCED,0.8,0.05,1.1305308626029373,0.2081530578254973,-0.20778946927678021,-0.5562548604249418,2.3179158170842005,41,0.0,1.0913046095452987,0.20255327022770286,-0.20895251307758367,False,True,False,True,False,199.0
H252,20,EVENT_STRICT,0.85,0.1,1.1174917968041713,0.20630029529605554,-0.11112699630582823,-0.4107648426453534,1.9026902223075939,108,0.0,1.0854823772108082,0.20171541212005173,-0.11397416312970032,False,True,True,True,False,200.0
LONG_120_252,20,MONTHLY,,,1.1172494696350088,0.20626578136287832,-0.07890517756753823,-0.45106126963865434,3.331473148496544,48,0.0,1.0614985819252643,0.19824537148350818,-0.08410559880919055,False,True,True,True,False,201.0
H252,20,MONTHLY,,,1.1031287258221583,0.20424946991978965,-0.07252058348302737,-0.4300474167723314,2.743289976667232,48,0.0,1.0574385816000373,0.19765496680386008,-0.07756082416983723,False,True,True,True,False,202.0
H252,10,EVENT_BALANCED,0.8,0.05,1.0995545336538664,0.2037374987826137,-0.16636142685361588,-0.4985117168595917,1.101022168973413,28,0.0,1.0811143429658108,0.20108567028748503,-0.16739282866007332,False,True,True,True,False,203.0
H120,10,MONTHLY,,,1.0916967308407832,0.20260963619083316,-0.18013614556346447,-0.5726535042826717,4.1275986797473205,48,0.0,1.023651827891133,0.19270749507704732,-0.18571735910197107,False,True,False,True,False,204.0
LONG_120_252,20,EVENT_LOOSE,0.7,0.03,1.0885240031596815,0.2021533409421481,-0.0977938002144434,-0.4580512398134483,5.690142223179344,333,0.0,0.9954767305933121,0.18853415596799272,-0.10338543886299523,False,True,True,True,False,205.0
LONG_120_252,15,MONTHLY,,,1.0876565574868753,0.20202849617495722,-0.12578705258585154,-0.4824333324710879,3.41776012899781,48,0.0,1.0312752777612038,0.19382919606265392,-0.1306894600488252,False,True,True,True,False,206.0
SHORT_20_60,5,DAILY,,,1.0836435734076946,0.2014504314734078,-0.16561667670522406,-0.4678039188559816,29.121142534712348,1006,0.0,0.6503145502119578,0.13342211489616917,-0.2122770553129677,False,True,True,True,False,207.0
MEDIUM_60_120,10,DAILY,,,1.0750905810629732,0.20021559308801962,-0.15278304034711965,-0.5033556874832446,24.7169871298941,1006,0.0,0.7025066048195332,0.14227902284856775,-0.18622565592205687,False,True,False,True,False,208.0
H252,15,EVENT_LOOSE,0.7,0.03,1.0631821875384588,0.19848994539531284,-0.1287663965497834,-0.4412260473865529,2.9864938588787195,137,0.0,1.0144417354224307,0.19134810308548666,-0.13325071020374957,False,True,True,True,False,209.0
H252,15,EVENT_BALANCED,0.8,0.05,1.052434246992429,0.19692603365779493,-0.10627844485828875,-0.4441552919908872,1.214981348256274,50,0.0,1.032559701222866,0.19401787294729012,-0.10780432774672077,False,True,True,True,False,210.0
LONG_120_252,20,EVENT_STRICT,0.85,0.1,1.022451242975071,0.1925305543978275,-0.10284705450684051,-0.44543757642214254,2.706378013343217,161,0.0,0.9790724628808039,0.18608393605820717,-0.10501045290037969,False,True,True,True,False,211.0
H252,15,EVENT_STRICT,0.85,0.1,0.9988986543475844,0.18904336517338138,-0.12985806523994292,-0.4567899569246596,1.0663262277708867,40,0.0,0.9818958286791892,0.1865067299251617,-0.1309695949591949,False,True,True,True,False,212.0
ALL_EQUAL,5,DAILY,,,0.9795717807972986,0.18615874091587203,-0.19883241333221846,-0.5820152399368224,28.905401213394263,1006,0.0,0.5706224211065984,0.11948414774988203,-0.24343326720272496,False,True,False,True,False,213.0
H60,5,EVENT_LOOSE,0.7,0.03,0.971442038938034,0.18493902623289427,-0.10770164157971163,-0.44233378586189753,3.7183727768920285,62,0.0,0.9135642493801481,0.17614471696921208,-0.11142521163582708,False,True,True,True,False,214.0
H252,20,DAILY,,,0.9593576694457,0.18311900391824265,-0.10362748944090039,-0.4542220610237714,17.44269287104124,1006,0.0,0.704057450887094,0.14253906502876945,-0.1321222253678349,False,True,True,True,False,215.0
H252,15,DAILY,,,0.9503327924314071,0.18175427145341172,-0.10142301154563149,-0.45525957300575914,18.178368439843553,1006,0.0,0.686237002305816,0.13954020843657067,-0.13105112951470632,False,True,True,True,False,216.0
H60,10,EVENT_LOOSE,0.7,0.03,0.9450044909035167,0.18094630621553764,-0.0437656168274948,-0.3796287832478702,5.677061888661867,177,0.0,0.8585743179552432,0.16760241054269254,-0.05252451264678759,False,True,True,True,False,217.0
LONG_120_252,20,DAILY,,,0.9442440770601073,0.18083086437339024,-0.13071100891480092,-0.4781351384398538,20.861387388722946,1006,0.0,0.6451851059350922,0.13254037173722577,-0.15880768177032323,False,True,True,True,False,218.0
MEDIUM_60_120,5,DAILY,,,0.9383946332379289,0.1799416999856307,-0.1825656805003858,-0.5431696800313748,25.41460542348424,1006,0.0,0.5813217178791799,0.12138581685124361,-0.20989538532706675,False,True,False,True,False,219.0
LONG_120_252,15,DAILY,,,0.9300908245677946,0.17867598899682413,-0.14318753404731055,-0.47615378822241794,22.893174916795644,1006,0.0,0.6068357395773827,0.12588198649063176,-0.1731843955810537,False,True,True,True,False,220.0
ALL_LONG,5,EVENT_BALANCED,0.8,0.05,0.9173877137889894,0.17673178660990718,-0.2171705687782315,-0.6175505489955231,1.5461826679854576,25,0.0,0.8937581243975272,0.17308944515621927,-0.21756325233813745,False,True,False,True,False,221.0
ALL_MEDIUM,5,EVENT_BALANCED,0.8,0.05,0.888540223485951,0.17228055103986706,-0.2746429821366074,-0.6394684469360654,1.6709993805318948,28,0.0,0.8634095844590388,0.1683610793245709,-0.27547308805820137,False,True,False,True,False,222.0
H252,10,WEEKLY,,,0.8702670749181836,0.16943451372563456,-0.13929614012009817,-0.49067259096726334,7.734459906449761,209,0.0,0.757929047152444,0.1514639233080195,-0.14927980225883775,False,True,True,True,False,223.0
LONG_120_252,10,EVENT_STRICT,0.85,0.1,0.8607582747483975,0.16794526343570348,-0.16944356716695752,-0.5074542111718032,1.633281235465174,46,0.0,0.8365584285691998,0.16412921225072363,-0.17041825526981946,False,True,False,True,False,224.0
LONG_120_252,5,EVENT_LOOSE,0.7,0.03,0.8321629561933999,0.16343205275293404,-0.25725012562996696,-0.6308411833151291,1.863391305900468,31,0.0,0.8049869592691874,0.1590936247724799,-0.2577505139569265,False,True,False,True,False,225.0
H60,10,EVENT_STRICT,0.85,0.1,0.8251134964824629,0.162311324426605,-0.11736813833167292,-0.44354173062962843,2.696222421834907,82,0.0,0.7861131675711601,0.15605166370415935,-0.11994958373803566,False,True,True,True,False,226.0
H120,5,EVENT_LOOSE,0.7,0.03,0.8250919152472669,0.16230788844504263,-0.25272963807183824,-0.6098388624632206,3.1710638562365503,52,0.0,0.7793230480012476,0.15495137724474084,-0.25678418621159904,False,True,False,True,False,227.0
H252,10,MONTHLY,,,0.7942227593359878,0.15736165724090623,-0.17303468270349887,-0.5111715266650063,2.999512329074478,48,0.0,0.751626715399627,0.15043050782995548,-0.177086556942481,False,True,False,True,False,228.0
H252,15,MONTHLY,,,0.7332058554469876,0.14739390059206414,-0.11895070351210557,-0.440596237358139,2.9009408526087173,48,0.0,0.6934091794027231,0.14074999988693881,-0.12380473002023284,False,True,True,True,False,229.0
H252,10,EVENT_LOOSE,0.7,0.03,0.7298457595322232,0.1468373943421868,-0.17157023551376482,-0.4932476607712216,2.249804442595042,67,0.0,0.698949962852301,0.14168198197981718,-0.17384214695000877,False,True,True,True,False,230.0
H120,5,EVENT_STRICT,0.85,0.1,0.7263558111825759,0.1462585226605635,-0.23504525385502606,-0.5583373003007657,1.6659027947743312,26,0.0,0.7034478995531013,0.14243687809104255,-0.23577572009213077,False,True,False,True,False,231.0
H120,5,DAILY,,,0.7069422720230472,0.14302231318039516,-0.2775794809291072,-0.6291187590878424,27.339894484192854,1006,0.0,0.37127245725555635,0.0821337402162492,-0.30854267310927075,False,True,False,True,False,232.0
H60,5,MONTHLY,,,0.6538989248643756,0.13403704384855675,-0.23436707841954096,-0.5978802291668925,3.6237580544366446,48,0.0,0.6065575931533183,0.12583326023146402,-0.2384080769648097,False,True,False,True,False,233.0
H60,5,WEEKLY,,,0.6132813043709182,0.12700936595917067,-0.21716009777857892,-0.5689466388715089,8.635141831892286,209,0.0,0.5054179300285957,0.10767988985001908,-0.2254502157995696,False,True,False,True,False,234.0
