entry_floor,uncertainty_z,minimum_extra_edge_bps,max_replacements,selection_total_return_20bps,selection_cagr_20bps,selection_max_drawdown_20bps,selection_annual_turnover_20bps,selection_trade_days_20bps,selection_edge_decisions_20bps,selection_edge_trades_20bps,selection_total_return_40bps,selection_cagr_40bps,selection_max_drawdown_40bps,selection_annual_turnover_40bps,qualified,return_first_rank
0.8,0.5,50.0,1,0.2522130345633913,0.11927345933560596,-0.25145977387111595,1.2693740268967768,30,502,29,0.23837837075641888,0.11306103237435616,-0.2655093489547591,1.0532021171356645,True,1.0
0.8,0.5,50.0,2,0.2522130345633913,0.11927345933560596,-0.25145977387111595,1.2693740268967768,30,531,29,0.23837837075641888,0.11306103237435616,-0.2655093489547591,1.0532021171356645,True,2.0
0.85,0.5,50.0,1,0.2522130345633913,0.11927345933560596,-0.25145977387111595,1.2693740268967768,30,502,29,0.23837837075641888,0.11306103237435616,-0.2655093489547591,1.0532021171356645,True,3.0
0.85,0.5,50.0,2,0.2522130345633913,0.11927345933560596,-0.25145977387111595,1.2693740268967768,30,531,29,0.23837837075641888,0.11306103237435616,-0.2655093489547591,1.0532021171356645,True,4.0
0.8,0.5,100.0,1,0.24371276238869455,0.11546051200389074,-0.267406221235056,0.6331730343948835,14,502,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,5.0
0.8,0.5,100.0,2,0.24371276238869455,0.11546051200389074,-0.267406221235056,0.6331730343948835,14,515,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,6.0
0.85,0.5,100.0,1,0.24371276238869455,0.11546051200389074,-0.267406221235056,0.6331730343948835,14,502,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,7.0
0.85,0.5,100.0,2,0.24371276238869455,0.11546051200389074,-0.267406221235056,0.6331730343948835,14,515,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,8.0
0.8,1.0,0.0,1,0.24187746735724613,0.11463555266766079,-0.267406221235056,0.630461751704542,14,502,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,9.0
0.8,1.0,0.0,2,0.24187746735724613,0.11463555266766079,-0.267406221235056,0.630461751704542,14,515,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,10.0
0.85,1.0,0.0,1,0.24187746735724613,0.11463555266766079,-0.267406221235056,0.630461751704542,14,502,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,11.0
0.85,1.0,0.0,2,0.24187746735724613,0.11463555266766079,-0.267406221235056,0.630461751704542,14,515,13,0.0656039424071333,0.03234614536411029,-0.3329207401723647,0.44790963839042347,True,12.0
0.8,0.5,0.0,2,0.12021101651748878,0.058519652319770854,-0.24567071091827275,2.662027616143825,69,570,68,0.21711942864788436,0.10344685645096252,-0.2602313752342271,1.9638611204183622,True,13.0
0.85,0.5,0.0,2,0.12021101651748878,0.058519652319770854,-0.24567071091827275,2.662027616143825,69,570,68,0.21711942864788436,0.10344685645096252,-0.2602313752342271,1.9638611204183622,True,14.0
0.8,0.5,0.0,1,0.12021101651748878,0.058519652319770854,-0.24567071091827275,2.662027616143825,69,502,68,0.19923196334950544,0.09529228918066024,-0.2641211387421345,1.9662856374173232,True,15.0
0.85,0.5,0.0,1,0.12021101651748878,0.058519652319770854,-0.24567071091827275,2.662027616143825,69,502,68,0.19923196334950544,0.09529228918066024,-0.2641211387421345,1.9662856374173232,True,16.0
0.8,1.0,50.0,1,0.026349953783946223,0.013115504246962617,-0.35238234901769894,0.34368319191357405,4,502,3,0.02494115047114498,0.012418564510682017,-0.35246451186204164,0.34368319191357405,True,17.0
0.8,1.0,50.0,2,0.026349953783946223,0.013115504246962617,-0.35238234901769894,0.34368319191357405,4,505,3,0.02494115047114498,0.012418564510682017,-0.35246451186204164,0.34368319191357405,True,18.0
0.85,1.0,50.0,1,0.026349953783946223,0.013115504246962617,-0.35238234901769894,0.34368319191357405,4,502,3,0.02494115047114498,0.012418564510682017,-0.35246451186204164,0.34368319191357405,True,19.0
0.85,1.0,50.0,2,0.026349953783946223,0.013115504246962617,-0.35238234901769894,0.34368319191357405,4,505,3,0.02494115047114498,0.012418564510682017,-0.35246451186204164,0.34368319191357405,True,20.0
0.8,1.0,100.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,21.0
0.8,1.0,100.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,22.0
0.8,1.5,0.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,23.0
0.8,1.5,0.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,24.0
0.8,1.5,50.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,25.0
0.8,1.5,50.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,26.0
0.8,1.5,100.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,27.0
0.8,1.5,100.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,28.0
0.85,1.0,100.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,29.0
0.85,1.0,100.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,30.0
0.85,1.5,0.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,31.0
0.85,1.5,0.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,32.0
0.85,1.5,50.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,33.0
0.85,1.5,50.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,34.0
0.85,1.5,100.0,1,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,35.0
0.85,1.5,100.0,2,-0.058377449788693414,-0.02968564170644372,-0.399239659216151,0.2504970178926441,1,502,0,-0.05932001490402039,-0.030172371613682247,-0.3992396592161517,0.2504970178926441,False,36.0
