date,ticker,market_source,research_eligible,prev_close,close,raw_return_1d,prev_adj_close,adj_close,adj_return_1d,raw_vs_adj_gap,adjusted_pair_available,likely_corporate_action_where_adjusted
2026-07-13,SLAIY,DELISTED,True,3.4600000381469727,607.5999755859375,174.60692742400718,3.4600000381469727,607.5999755859375,174.60692742400718,0.0,True,False
2022-03-14,NORD,DELISTED,True,0.20000000298023224,14.5,71.49999891966583,0.20000000298023224,14.5,71.49999891966583,0.0,True,False
2016-04-08,MRDN,DELISTED,True,270.0,10800.0,39.0,270.0,10800.0,39.0,0.0,True,False
2016-04-12,MRDN,DELISTED,True,1350.0,45900.0,33.0,1350.0,45900.0,33.0,0.0,True,False
2020-02-28,PROP,DELISTED,True,2.058824062347412,58.82352828979492,27.571420630632236,2.058824062347412,58.82352828979492,27.571420630632236,0.0,True,False
2019-01-22,GAME,DELISTED,True,22.5,450.0,19.0,22.5,450.0,19.0,0.0,True,False
2024-12-12,MGAM,DELISTED,True,0.0003000000142492354,0.006000000052154064,18.99999922389789,0.0003000000142492354,0.006000000052154064,18.99999922389789,0.0,True,False
2026-04-27,AREB,DELISTED,True,0.06499999761581421,1.100000023841858,15.923077910609535,0.06499999761581421,1.100000023841858,15.923077910609535,0.0,True,False
2026-08-11,MSGY,DELISTED,True,0.27000001072883606,3.430000066757202,11.70370344615278,0.27000001072883606,3.430000066757202,11.70370344615278,0.0,True,False
2019-06-11,GAME,DELISTED,True,10.800000190734863,114.5999984741211,9.611110782427067,10.800000190734863,114.5999984741211,9.611110782427067,0.0,True,False
2015-10-16,MRDN,DELISTED,True,405000.0,4050000.0,9.0,405000.0,4050000.0,9.0,0.0,True,False
2024-12-04,MGAM,DELISTED,True,0.0006000000284984708,0.006000000052154064,8.999999611948946,0.0006000000284984708,0.006000000052154064,8.999999611948946,0.0,True,False
2015-10-19,MRDN,DELISTED,True,4050000.0,36450000.0,8.0,4050000.0,36450000.0,8.0,0.0,True,False
2017-09-19,HIVE,DELISTED,True,0.6000000238418579,5.150000095367432,7.583333151208038,0.6000000238418579,5.150000095367432,7.583333151208038,0.0,True,False
2026-08-06,MSGY,DELISTED,True,0.2680000066757202,2.240000009536743,7.358208782610745,0.2680000066757202,2.240000009536743,7.358208782610745,0.0,True,False
2024-06-05,ASNS,DELISTED,True,4.699999809265137,37.20000076293945,6.914894100550148,4.699999809265137,37.20000076293945,6.914894100550148,0.0,True,False
2015-11-19,MRDN,DELISTED,True,2025000.0,14175000.0,6.0,2025000.0,14175000.0,6.0,0.0,True,False
2024-12-16,MGAM,DELISTED,True,0.0005000000237487257,0.0035000001080334187,5.9999998835846835,0.0005000000237487257,0.0035000001080334187,5.9999998835846835,0.0,True,False
2019-10-21,GAME,DELISTED,True,19.020000457763672,114.5999984741211,5.025236367822648,19.020000457763672,114.5999984741211,5.025236367822648,0.0,True,False
2025-01-16,MGAM,DELISTED,True,0.0010000000474974513,0.006000000052154064,4.999999767169367,0.0010000000474974513,0.006000000052154064,4.999999767169367,0.0,True,False
2019-02-14,GAME,DELISTED,True,76.5,450.0,4.882352941176471,76.5,450.0,4.882352941176471,0.0,True,False
2020-12-28,MPU,DELISTED,True,0.5379999876022339,2.7699999809265137,4.148698967953307,0.5318456888198853,2.7383134365081787,4.148699132231822,1.642785143474157e-07,True,False
2025-01-29,GROM,DELISTED,True,0.0008999999845400453,0.0044999998062849045,3.9999998706496402,0.0008999999845400453,0.0044999998062849045,3.9999998706496402,0.0,True,False
2025-04-04,AREB,DELISTED,True,158400.0,780000.0,3.924242424242424,158400.0,780000.0,3.924242424242424,0.0,True,False
2025-04-02,AREB,DELISTED,True,56800.0,251600.0,3.429577464788732,56800.0,251600.0,3.429577464788732,0.0,True,False
2024-12-30,MGAM,DELISTED,True,0.0007999999797903001,0.0035000001080334187,3.3750002455635757,0.0007999999797903001,0.0035000001080334187,3.3750002455635757,0.0,True,False
2018-10-19,PLAG,DELISTED,True,26.700000762939453,115.0999984741211,3.310861242891198,26.700000762939453,115.0999984741211,3.310861242891198,0.0,True,False
2016-02-29,SATCQ,DELISTED,True,0.0009299999801442027,0.004000000189989805,3.3010755649366557,0.0009299999801442027,0.004000000189989805,3.3010755649366557,0.0,True,False
2017-11-07,RLOGQ,DELISTED,True,0.45879998803138733,1.899999976158142,3.1412380682716137,0.45879998803138733,1.899999976158142,3.1412380682716137,0.0,True,False
2024-06-25,RGS,DELISTED,True,5.070000171661377,20.520000457763672,3.047337231359406,5.070000171661377,20.520000457763672,3.047337231359406,0.0,True,False
2019-02-06,GAME,DELISTED,True,112.5,450.0,3.0,112.5,450.0,3.0,0.0,True,False
2020-05-14,PROP,DELISTED,True,7.352941036224365,29.41176414489746,3.0,7.352941036224365,29.41176414489746,3.0,0.0,True,False
2021-05-19,GROM,DELISTED,True,3072.001953125,11700.0,2.8085913285628457,3072.001953125,11700.0,2.8085913285628457,0.0,True,False
2015-09-18,RLJE,DELISTED,True,1.3032009601593018,4.9500041007995605,2.7983428896449536,1.3032009601593018,4.9500041007995605,2.7983428896449536,0.0,True,False
