horizon_sessions,rows,resolved_rows,label_rows,resolved_label_coverage,full_horizon_rows,terminal_delisting_rows,repaired_terminal_delisting_rows,right_censored_rows,unresolved_termination_rows,no_entry_rows,mean_return,median_return,std_return,q01,q05,q95,q99,min_return,max_return
1,795161,794637,794637,1.0,794490,147,72,193,0,331,0.0014622306680809652,0.0,0.22991345305491231,-0.08587329344598942,-0.03809523809523807,0.0380241794227887,0.09333893517979872,-0.9995,174.60692742400718
5,795161,793865,793865,1.0,792813,1052,686,965,0,331,0.005318469649285329,0.0017979451001175484,0.49464116898736105,-0.18617440773159435,-0.08613484981310182,0.08933789926533361,0.2123850046587616,-0.9995,193.743589061722
10,795161,792900,792900,1.0,790719,2181,1466,1930,0,331,0.008396364849229995,0.003875965410453208,0.47948857739082557,-0.25161298736036974,-0.1198671015039928,0.12939639876173106,0.3012348381033881,-0.9995,195.38015185434855
20,795161,790970,790970,1.0,786579,4391,2994,3860,0,331,0.014984435619171661,0.007703689463570695,0.4912184988420036,-0.3467375276831952,-0.16563833426842725,0.18857155304534715,0.4411111668725204,-0.9995,186.87883761691933
40,795161,787110,787110,1.0,778471,8639,5922,7720,0,331,0.028050346537095518,0.01554645481209771,0.42589597700258824,-0.4687499929219455,-0.23076919109158112,0.2779126320194871,0.6470588548390256,-0.9999155844186808,113.51189460045153
60,795161,783263,783263,1.0,770461,12802,8765,11567,0,331,0.04181105769821132,0.02424247372139554,0.5187355748160438,-0.5510094296673549,-0.27683878363442793,0.3484848101714859,0.8124804760170217,-0.9999626436795311,101.34643602973777
120,795161,771743,771743,1.0,746956,24787,16790,23087,0,331,0.08562686250408305,0.04594153750352237,1.0260694827039403,-0.7,-0.3726714283236353,0.536955456413277,1.2300000190734863,-0.9999996666666666,238.99997826914097
252,795161,746417,746417,1.0,696729,49688,33004,48413,0,331,0.19344219510320151,0.09711935649679515,1.4874871027025574,-0.8820276666961989,-0.5077737877047376,0.9251836222962707,2.243895984284917,-0.9999999166666698,398.99997206032407
