date,nav,net_return,gross_return,turnover,cost_fraction,execution_skipped,holdings,cash_weight
2019-01-02,1.0,0.0,0.0,0.0,0.0,0,0,1.0
2019-01-03,0.999,-0.0010000000000000009,0.0,0.5,0.001,0,15,0.0
2019-01-04,1.0437805227602617,0.04482534810837002,0.04482534810836992,0.0,0.0,0,15,0.0
2019-01-07,1.0776530684040742,0.03245178934191739,0.032451789341917406,0.0,0.0,0,15,0.0
2019-01-08,1.0918942927167055,0.0132150362024408,0.013215036202440735,0.0,0.0,0,15,0.0
2019-01-09,1.1040517467272215,0.011134277458551,0.011134277458550928,0.0,0.0,0,15,0.0
2019-01-10,1.0996941249752743,-0.003946936151194569,-0.003946936151194589,0.0,0.0,0,15,0.0
2019-01-11,1.10353705346528,0.003494543075868606,0.0034945430758686227,0.0,0.0,0,15,0.0
2019-01-14,1.093793729215119,-0.008829177252875575,-0.008829177252875567,0.0,0.0,0,15,0.0
2019-01-15,1.12051644233577,0.024431218068718286,0.024431218068718206,0.0,0.0,0,15,0.0
2019-01-16,1.1112408854905726,-0.008277930153226531,-0.008277930153226584,0.0,0.0,0,15,0.0
2019-01-17,1.122228468947718,0.009887670261785608,0.00988767026178552,0.0,0.0,0,15,0.0
2019-01-18,1.133178069319082,0.009757015326505858,0.00975701532650592,0.0,0.0,0,15,0.0
2019-01-22,1.1112496438781578,-0.019351261760740646,-0.01935126176074064,0.0,0.0,0,15,0.0
2019-01-23,1.1126572694537327,0.001266705085872788,0.0012667050858727613,0.0,0.0,0,15,0.0
2019-01-24,1.1267269384357952,0.012645105881499363,0.012645105881499277,0.0,0.0,0,15,0.0
2019-01-25,1.1453125363600758,0.016495210410148342,0.01649521041014834,0.0,0.0,0,15,0.0
2019-01-28,1.1319135987936237,-0.011698935566561874,-0.01169893556656179,0.0,0.0,0,15,0.0
2019-01-29,1.1206781779388637,-0.009926041057139456,-0.009926041057139519,0.0,0.0,0,15,0.0
2019-01-30,1.160683616695183,0.035697526322763684,0.035697526322763753,0.0,0.0,0,15,0.0
2019-01-31,1.1860258264894714,0.02183386534432641,0.021833865344326474,0.0,0.0,0,15,0.0
2019-02-01,1.1954053649142413,0.007908376205038037,0.007908376205038072,0.0,0.0,0,15,0.0
2019-02-04,1.2105700715784684,0.012685827844946207,0.012685827844946287,0.0,0.0,0,15,0.0
