horizon_sessions,architecture,cv_folds,cv_mean_ic,cv_median_ic,cv_mean_top_vs_universe_net_spread,cv_mean_winner_lift,cv_mean_positive_month_ic_share
20,BLEND_RIDGE_HGB,2,0.09250580215250015,0.09250580215250015,0.0067034771288294,1.473009015876066,0.806159420289855
20,DEV_IC_COMPOSITE,2,0.0985306766794696,0.0985306766794696,0.008121346535822858,1.3565662967444447,0.7663043478260869
20,HGB_RANK,2,0.07297319059091027,0.07297319059091027,0.004710696703322128,1.471222095577195,0.7617753623188406
20,HGB_WINNER,2,-0.039437562919782974,-0.039437562919782974,0.006350726134918444,2.2774388381942856,0.338768115942029
20,RIDGE_RANK,2,0.09723280196047202,0.09723280196047202,0.007968027749144225,1.4843329551137074,0.8269927536231885
60,BLEND_RIDGE_HGB,2,0.13021797239706817,0.13021797239706817,0.030424648161143576,1.6138901498570122,0.8409090909090909
60,DEV_IC_COMPOSITE,2,0.14559318192285411,0.14559318192285411,0.03237854171934944,1.3454482889416344,0.9545454545454546
60,HGB_RANK,2,0.11302322019349284,0.11302322019349284,0.02496213217336729,1.5822325296757693,0.8409090909090909
60,HGB_WINNER,2,-0.06836940419631324,-0.06836940419631324,0.010756491266620146,1.8186562369444235,0.22727272727272727
60,RIDGE_RANK,2,0.1326698942465366,0.1326698942465366,0.026750248653806912,1.5380000148591422,0.8636363636363636
120,BLEND_RIDGE_HGB,2,0.1607826001071874,0.1607826001071874,0.06167470396509546,1.710428662864183,0.9210526315789473
120,DEV_IC_COMPOSITE,2,0.18331304189274794,0.18331304189274794,0.07530695729313606,1.7018947319108553,0.8157894736842105
120,HGB_RANK,2,0.1153540268159822,0.1153540268159822,0.045216891511939625,1.585072915926673,0.8157894736842105
120,HGB_WINNER,2,-0.07399862997815777,-0.07399862997815777,0.027122891923025635,2.2753147986800335,0.2631578947368421
120,RIDGE_RANK,2,0.1784552717295814,0.1784552717295814,0.06662541786725767,1.6667095444976625,0.9473684210526316
252,BLEND_RIDGE_HGB,2,0.16351899100454279,0.16351899100454279,0.1665607801236357,2.0215305362508875,0.9583333333333333
252,DEV_IC_COMPOSITE,2,0.20823846940139168,0.20823846940139168,0.1669743066860431,1.932142711803202,0.9166666666666667
252,HGB_RANK,2,0.11827493807981204,0.11827493807981204,0.09449419013084459,1.7774780697451238,0.8333333333333333
252,HGB_WINNER,2,-0.10550500510188489,-0.10550500510188489,0.005423103713520935,1.9313551979037276,0.08333333333333333
252,RIDGE_RANK,2,0.18904622411934596,0.18904622411934596,0.16891929975934186,1.901701977805817,1.0
