ticker,terminal_price_date,consensus_delisting_date,evidence_count,evidence_sources,classification,lifecycle_name,av_delisted_name,historical_name_identity_match,max_allowed_gap_calendar_days,overlay_validated,validation_failures,target_only,feature_allowed,repair_semantics,resolution_type,effective_start_date,effective_end_date,security_type,evidence_source,evidence_note,evidence_url,research_eligible
JOYY,2022-06-14,2022-06-10,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Infusive Compounding Global Equities ETF,Infusive Compounding Global Equities ETF,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
JTPY,2018-12-07,2018-12-06,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Universal Business Payment Solutions Acquisition Corp,Universal Business Payment Solutions Acquisition Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
JUNO,2018-03-09,2018-03-06,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Juno Therapeutics Inc,Juno Therapeutics Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
KERX,2018-12-14,2018-12-12,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Keryx Biopharmaceuticals,Keryx Biopharmaceuticals,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
KNTK,2023-03-24,2023-03-22,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,KENTEK INFORMATION SYSTEMS INC,KENTEK INFORMATION SYSTEMS INC,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
KS,2018-12-18,2018-12-14,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,KapStone Paper and Packaging Corp,KapStone Paper and Packaging Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
LAB,2022-04-08,2022-04-05,3.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Standard BioTools Inc,Standard BioTools Inc,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
LION,2025-05-06,2025-05-02,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,Lionsgate Studios Corp,Lionsgate Studios Corp,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
LIPO,2026-06-01,2026-05-28,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,LIPOSOME CO INC,LIPOSOME CO INC,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
LTCH,2026-06-01,2026-05-28,4.0,LIFECYCLE | ALPHA_VANTAGE_DELISTED | DELISTED_CACHE_FILENAME | PANEL,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,LITCHFIELD FINANCIAL CORP,LITCHFIELD FINANCIAL CORP,True,4.0,True,,True,False,LAST_OBSERVED_VALIDATED_TOTAL_RETURN_PRICE_IS_TERMINAL_OUTCOME,TERMINAL_DELISTING_OVERLAY,,,,,,,
