policy_class,best_return_first_rank,ensemble,top_n,policy,qualified,oof_cagr_20bps,oof_cagr_40bps,worst_fold_cagr_20bps,mean_annual_turnover_20bps
DAILY,13,H20,10,DAILY,True,0.3868541708667321,0.3347656595574988,0.08037286238434804,19.133321865408007
EVENT_DRIVEN,6,H20,20,EVENT_STRICT,True,0.4054150369326164,0.40004723448455226,0.11209379937604957,1.912635928600903
MONTHLY,2,H20,10,MONTHLY,True,0.42363310099328233,0.4107059476491286,0.08696280060583472,4.554823480163348
WEEKLY,1,H20,15,WEEKLY,True,0.44412912612731703,0.4210575605328839,0.09658639602310304,8.047232072432477
