signal_date,held_ticker,candidate_ticker,held_score,candidate_score,held_expected_return,candidate_expected_return,expected_incremental_return,estimated_total_cost,uncertainty_buffer,net_edge,trade,candidate_resolved_20d,candidate_realized_20d,held_resolved_20d,held_realized_20d,realized_incremental_return_20d
2025-01-02,CMG,SNPS,0.8672985781990521,0.9620853080568721,0.020465291723,0.026079712430241712,0.0056144207072417116,0.002,0.008315584331120547,-0.004701163623878835,False,True,0.0611087763057343,True,-0.011390289723378189,0.07249906602911249
2025-01-03,VIST,SNPS,0.8720379146919431,0.9620853080568721,0.020465291723,0.026079712430241712,0.0056144207072417116,0.002,0.008261467358146347,-0.004647046650904635,False,True,0.05460421004445282,True,-0.03872271142148609,0.0933269214659389
2025-01-06,VIST,SNPS,0.8720379146919431,0.95260663507109,0.020465291723,0.024996348070052125,0.004531056347052125,0.002,0.008215160899371847,-0.005684104552319723,False,True,0.09343340719168935,True,-0.06886954929517664,0.162302956486866
2025-01-07,VIST,SNPS,0.8720379146919431,0.957345971563981,0.020465291723,0.02553803025014692,0.00507273852714692,0.002,0.008238247786453596,-0.0051655092593066755,False,True,0.04745021379326442,True,-0.0681536940064551,0.11560390779971952
2025-01-08,CMG,AZO,0.8767772511848341,0.957345971563981,0.02051419306119905,0.02553803025014692,0.005023837188947871,0.002,0.00820688730190431,-0.00518305011295644,False,True,0.0542025936430417,True,0.023008836054168924,0.031193757588872773
2025-01-10,CMG,AZO,0.8815165876777251,0.966824644549763,0.020644596629729856,0.026621394610336493,0.0059767979806066365,0.002,0.008259525756835853,-0.004282727776229216,False,True,0.06364015360356134,True,-0.0014219342115906475,0.06506208781515199
2025-01-13,PANW,AZO,0.8625592417061612,0.966824644549763,0.020465291723,0.026621394610336493,0.006156102887336493,0.002,0.008393370730220817,-0.004237267842884324,False,True,0.06356029153164533,True,0.15330046673574182,-0.0897401752040965
2025-01-14,PANW,AZO,0.8625592417061612,0.9620853080568721,0.020465291723,0.026079712430241712,0.0056144207072417116,0.002,0.008370773327706329,-0.004756352620464617,False,True,0.0822382396075656,True,0.1589643610615401,-0.0767261214539745
2025-01-15,PANW,AZO,0.8625592417061612,0.9620853080568721,0.020465291723,0.026079712430241712,0.0056144207072417116,0.002,0.008370773327706329,-0.004756352620464617,False,True,0.08284076542179375,True,0.12902862136146087,-0.04618785593966712
2025-01-16,PANW,SNPS,0.8625592417061612,0.9478672985781991,0.020465291723,0.024454665889957344,0.003989374166957344,0.002,0.008303807723507882,-0.006314433556550538,False,True,-0.0032276669216461107,True,0.175992310211327,-0.1792199771329731
2025-01-17,PANW,SNPS,0.8625592417061612,0.95260663507109,0.020465291723,0.024996348070052125,0.004531056347052125,0.002,0.008325989041980127,-0.0057949326949280015,False,True,-0.05430861541042353,True,0.11814074755346748,-0.17244936296389102
