date,nav,net_return,gross_return,turnover,cost_fraction,execution_skipped,holdings,cash_weight
2025-01-02,1.0033242447072697,0.0033242447072696635,0.0033242447072696947,0.0,0.0,0,15,0.0
2025-01-03,1.0287943220149967,0.025385689065211547,0.025385689065211436,0.0,0.0,0,15,0.0
2025-01-06,1.0323106458053244,0.0034179074622424643,0.003417907462242452,0.0,0.0,0,15,0.0
2025-01-07,1.0096969786103258,-0.021905874251017976,-0.021905874251018025,0.0,0.0,0,15,0.0
2025-01-08,1.0060092380767611,-0.0036523240256103318,-0.0036523240256103612,0.0,0.0,0,15,0.0
2025-01-10,0.9871714835570418,-0.01872523015368377,-0.01872523015368381,0.0,0.0,0,15,0.0
2025-01-13,0.9784788469797064,-0.008805599353430948,-0.00880559935343099,0.0,0.0,0,15,0.0
2025-01-14,0.9876932791087144,0.00941709895666154,0.009417098956661636,0.0,0.0,0,15,0.0
2025-01-15,1.0077555024302653,0.02031219989636357,0.02031219989636365,0.0,0.0,0,15,0.0
2025-01-16,1.0185442506943536,0.010705720026405796,0.010705720026405702,0.0,0.0,0,15,0.0
2025-01-17,1.0319364510874756,0.01314837365582533,0.013148373655825345,0.0,0.0,0,15,0.0
2025-01-21,1.043583595962954,0.011286688112629895,0.011286688112629865,0.0,0.0,0,15,0.0
2025-01-22,1.0755694035275265,0.03064997158666327,0.030649971586663348,0.0,0.0,0,15,0.0
2025-01-23,1.0841324635788332,0.007961420270251818,0.007961420270251896,0.0,0.0,0,15,0.0
2025-01-24,1.0753320405897542,-0.008117479445295728,-0.008117479445295594,0.0,0.0,0,15,0.0
2025-01-27,1.017646085279189,-0.0536447842462946,-0.053644784246294576,0.0,0.0,0,15,0.0
2025-01-28,1.0459285539858227,0.02779204786001266,0.027792047860012603,0.0,0.0,0,15,0.0
2025-01-29,1.043903240550331,-0.0019363783766812581,-0.0019363783766811703,0.0,0.0,0,15,0.0
2025-01-30,1.0580618360640166,0.013563130148174896,0.013563130148174923,0.0,0.0,0,15,0.0
2025-01-31,1.0577304901275073,-0.0003131631112808231,9.180048817922886e-05,0.20246321350822208,0.0004049264270164442,0,15,0.0
2025-02-03,1.0502775436869538,-0.00704616772430855,-0.00704616772430851,0.0,0.0,0,15,0.0
2025-02-04,1.0898859500732856,0.03771232339909725,0.03771232339909714,0.0,0.0,0,15,0.0
2025-02-05,1.0985015044682187,0.00790500546809847,0.007905005468098403,0.0,0.0,0,15,0.0
2025-02-06,1.1163497552088117,0.01624781638258499,0.01624781638258506,0.0,0.0,0,15,0.0
