ticker,classification,repair_priority,reason,return_price_last_date,calendar_days_before_sample_end,lifecycle_status,lifecycle_delisting_date,av_active_status,av_delisted_status,av_delisted_delisting_date,cache_filename_delisting_date,cache_has_parquet,target_price_source,unresolved_total_across_horizons
VS,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 1 calendar days of terminal price,2021-01-15,2058,Delisted,2021-01-14,Active,Delisted,2021-01-14,2021-01-14,True,PHASE2_EXISTING_ADJ_CLOSE,508
WES,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2019-03-04,2741,Delisted,2019-02-28,Active,Delisted,2019-02-28,2019-02-28,True,PHASE2_EXISTING_ADJ_CLOSE,508
BETR,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2023-09-01,1099,Delisted,2023-08-29,Active,Delisted,2023-08-29,2023-08-29,True,PHASE2_EXISTING_ADJ_CLOSE,501
P,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 3 calendar days of terminal price,2019-03-01,2744,Delisted,2019-02-26,Active,Delisted,2019-02-26,2019-02-26,True,PHASE2_EXISTING_ADJ_CLOSE,501
ABAX,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-08-03,2954,Delisted,2018-08-01,,Delisted,2018-08-01,2018-08-01,True,PHASE2_EXISTING_ADJ_CLOSE,500
ADT,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2020-05-05,2313,Delisted,2020-05-01,Active,Delisted,2020-05-01,2020-05-01,True,PHASE2_EXISTING_ADJ_CLOSE,500
AFSI,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-12-03,2832,Delisted,2018-11-29,,Delisted,2018-11-29,2018-11-29,True,PHASE2_EXISTING_ADJ_CLOSE,500
AHGP,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 4 calendar days of terminal price,2018-06-05,3013,Delisted,2018-06-01,,Delisted,2018-06-01,2018-06-01,True,PHASE2_EXISTING_ADJ_CLOSE,500
AMTD,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2020-10-09,2156,Delisted,2020-10-07,Active,Delisted,2020-10-07,2020-10-07,True,PHASE2_EXISTING_ADJ_CLOSE,500
BGC,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,2,delisting evidence within 2 calendar days of terminal price,2018-06-08,3010,Delisted,2018-06-06,Active,Delisted,2018-06-06,2018-06-06,True,PHASE2_EXISTING_ADJ_CLOSE,500
