ticker,unresolved_1d,unresolved_5d,unresolved_10d,unresolved_20d,unresolved_40d,unresolved_60d,unresolved_120d,unresolved_252d,unresolved_total_across_horizons,first_unresolved_signal,last_unresolved_signal,return_price_first_date,return_price_last_date,return_price_rows,target_price_source,panel_first_date,panel_last_date,panel_rows,panel_delisting_date,panel_source_state,lifecycle_status,lifecycle_delisting_date,lifecycle_name,av_active_status,av_active_delisting_date,av_active_name,av_delisted_status,av_delisted_delisting_date,av_delisted_name,cache_filename_delisting_date,cache_has_parquet,cache_files,calendar_days_before_sample_end,classification,reason,repair_priority
EGN,1,5,10,20,40,60,120,252,508,2017-11-30,2018-11-29,2013-12-23,2018-11-30,1244,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2018-11-30,1244,2018-11-29,delisted,Delisted,2018-11-29,Energen Corp,,,,Delisted,2018-11-29,Energen Corp,2018-11-29,True,EGN__1984-07-19__2018-11-29.parquet,2835,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 1 calendar days of terminal price,2
ENLK,1,5,10,20,40,60,120,252,508,2018-01-23,2019-01-24,2013-12-23,2019-01-28,1280,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2019-01-28,1280,2019-01-25,delisted,Delisted,2019-01-25,EnLink Midstream Partners LP,,,,Delisted,2019-01-25,EnLink Midstream Partners LP,2019-01-25,True,ENLK__2003-02-25__2019-01-25.parquet,2776,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
ESIO,1,5,10,20,40,60,120,252,508,2018-02-01,2019-02-01,2013-12-23,2019-02-04,1286,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2019-02-04,1286,2019-02-01,delisted,Delisted,2019-02-01,Electro Scientific Industries Inc,,,,Delisted,2019-02-01,Electro Scientific Industries Inc,2019-02-01,True,ESIO__1990-03-26__2019-02-01.parquet,2769,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
EU,1,5,10,20,40,60,120,252,508,2023-10-06,2024-10-07,2013-12-23,2024-10-08,2716,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2024-10-08,2716,,active,Delisted,2024-10-04,WISDOMTREE EURO DEBT FUND N/A,Active,,enCore Energy Corp,Delisted,2024-10-04,WISDOMTREE EURO DEBT FUND N/A,2024-10-04,True,EU__2008-05-22__2024-10-04.parquet,696,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
FLNA,1,5,10,20,40,60,120,252,508,2025-05-29,2026-05-29,2017-10-09,2026-06-01,2172,PHASE2_EXISTING_ADJ_CLOSE,2017-10-09,2026-06-01,2172,,active,Delisted,2026-05-28,Fuelnation Inc,Active,,Filana Therapeutics Inc,Delisted,2026-05-28,Fuelnation Inc,2026-05-28,True,FLNA__2017-10-13__2026-05-28.parquet,95,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
FWDI,1,5,10,20,40,60,120,252,508,2018-03-23,2019-03-25,2013-12-23,2019-03-26,1322,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2019-03-26,1322,,active,Delisted,2019-03-22,ADVISORSHARES MADRONA INTERNATIONAL ETF,Active,,Forward Industries Inc,Delisted,2019-03-22,ADVISORSHARES MADRONA INTERNATIONAL ETF,2019-03-22,True,FWDI__2011-07-08__2019-03-22.parquet,2719,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
GHI,1,5,10,20,40,60,120,252,508,2021-12-30,2022-12-29,2013-12-23,2022-12-30,2272,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2022-12-30,2272,,active,Delisted,2022-12-27,Global High Income Fund Inc,Active,,Greystone Housing Impact Investors LP,Delisted,2022-12-27,Global High Income Fund Inc,2022-12-27,True,GHI__1994-11-22__2022-12-27.parquet,1344,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 3 calendar days of terminal price,2
HOLO,1,5,10,20,40,60,120,252,508,2021-12-27,2022-12-23,2021-08-06,2022-12-27,351,PHASE2_EXISTING_ADJ_CLOSE,2021-08-06,2022-12-27,351,2022-12-23,delisted,Delisted,2022-12-23,MicroCloud Hologram Inc,Active,,HOLOPAK TECHNOLOGIES INC,Delisted,2022-12-23,MicroCloud Hologram Inc,2022-12-23,True,HOLO__2021-08-06__2022-12-23.parquet,1347,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
HR,1,5,10,20,40,60,120,252,508,2021-12-27,2022-12-23,2013-12-23,2022-12-27,2269,PHASE2_EXISTING_ADJ_CLOSE,2013-12-23,2022-12-27,2269,,active,Delisted,2022-12-23,Healthcare Realty Trust Inc - Class A,Active,,Healthcare Realty Trust Inc,Delisted,2022-12-23,Healthcare Realty Trust Inc - Class A,2022-12-23,True,HR__2012-06-06__2022-12-23.parquet,1347,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
ICCM,1,5,10,20,40,60,120,252,508,2021-12-31,2022-12-30,2021-08-26,2023-01-03,341,PHASE2_EXISTING_ADJ_CLOSE,2021-08-26,2023-01-03,341,,active,Delisted,2022-12-30,IceCure Medical Ltd,Active,,Icecure Medical Ltd,Delisted,2022-12-30,IceCure Medical Ltd,2022-12-30,True,ICCM__2021-08-26__2022-12-30.parquet,1340,CONFIRMED_OR_NEAR_DELISTING_METADATA_GAP,delisting evidence within 4 calendar days of terminal price,2
