ticker,first_date,last_date,rows,adj_close_rows,dominant_market_source,adj_close_coverage,needs_adjusted_history
LRCX,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MA,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MAR,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MCD,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MCHP,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MCO,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MDB,2017-10-31,2026-09-04,2223,0,PRIMARY,0.0,True
MDLZ,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MDT,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MELI,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
META,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MMM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MO,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MPC,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MPWR,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MRK,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MRVL,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MS,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MSFT,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
MU,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NEM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NFLX,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NKE,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NOC,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NOW,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NU,2021-12-31,2026-09-04,1174,0,PRIMARY,0.0,True
NUE,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NVDA,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
NVO,2020-09-04,2026-09-04,1507,0,PRIMARY,0.0,True
NXPI,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
ON,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
ORCL,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
ORLY,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
OXY,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PANW,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PBR,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PEP,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PFE,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PG,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PH,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PLTR,2020-09-30,2026-09-04,1490,0,PRIMARY,0.0,True
PM,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
PNC,2014-01-02,2026-09-04,3188,0,PRIMARY,0.0,True
