ticker,cache_exists,rows,first_date,last_date
TTWO,True,3191,2013-12-30,2026-09-08
TXN,True,3191,2013-12-30,2026-09-08
UBER,True,1831,2019-05-28,2026-09-08
UL,True,3191,2013-12-30,2026-09-08
UNH,True,3191,2013-12-30,2026-09-08
UNP,True,3191,2013-12-30,2026-09-08
UPS,True,3191,2013-12-30,2026-09-08
USB,True,3191,2013-12-30,2026-09-08
V,True,3191,2013-12-30,2026-09-08
VALE,True,3191,2013-12-30,2026-09-08
VIST,True,1789,2019-07-26,2026-09-08
VLO,True,3191,2013-12-30,2026-09-08
VRTX,True,3191,2013-12-30,2026-09-08
VZ,True,3191,2013-12-30,2026-09-08
WFC,True,3191,2013-12-30,2026-09-08
WM,True,3191,2013-12-30,2026-09-08
WMB,True,3191,2013-12-30,2026-09-08
WMT,True,3191,2013-12-30,2026-09-08
XOM,True,3191,2013-12-30,2026-09-08
YPF,True,3191,2013-12-30,2026-09-08
ZTS,True,3191,2013-12-30,2026-09-08
