partition,signal_date,milp_success,milp_message,spearman_alpha_milp,kendall_alpha_milp,top5_capture,top10_capture,top5_overlap,top10_overlap,zero_reference_to_positive_theoretical_mass,low_alpha_high_weight_inversions,excluded_top_alpha_names,mean_rank_displacement,amplification_vs_reference,l1_reference_theoretical,l1_theoretical_optimizer,l1_optimizer_milp,l1_reference_milp,alpha_capture,optimizer_vs_milp_localization,alpha_loss_mechanism
SELECTION_2021_2022,2022-01-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.041595751330342406,0,,0.95,1.425,0.4880013298790168,1.5005358067199381e-16,0.09186904887432878,0.4033333333333333,1.0077354260089686,CMG:0.0156;DDOG:0.0119;ADSK:0.0115,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-02-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04161001891666529,0,,0.95,1.425,0.4898392106031419,9.80118763926896e-17,0.09387011595876973,0.4033333333333333,1.0077702702702704,ZTS:0.0156;MDB:0.0119;ADSK:0.0114,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-03-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.04161001891666529,0,,0.95,1.425,0.4898392106031419,9.80118763926896e-17,0.09387011595876973,0.4033333333333333,1.0077702702702704,LRCX:0.0156;CDNS:0.0119;AZO:0.0114,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-04-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9752578220905855,0.9147907439754503,1.0,1.0,1.0,1.0,0.041595751330342406,0,,0.95,1.425,0.4880013298790168,1.5005358067199381e-16,0.09186904887432878,0.4033333333333333,1.0077354260089686,NOC:0.0156;DDOG:0.0119;NUE:0.0115,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-05-02,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9764243981298082,0.9177328766382103,1.0,1.0,1.0,1.0,0.04162889873333416,1,,0.9,1.5,0.49167011825942286,1.5005358067199381e-16,0.09585112148506245,0.41333333333333333,1.0080090497737557,ORLY:0.0157;SNPS:0.0120;AZO:0.0114,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-06-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9626287629913964,0.8837427700960543,1.0,1.0,1.0,1.0,0.04162889873333416,4,,1.1,1.5,0.49167011825942286,1.5005358067199381e-16,0.09585112148506245,0.41333333333333333,1.0079411764705881,KLAC:0.0157;AZO:0.0120;REGN:0.0114,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-07-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9615534954253501,0.8813828918693909,1.0,1.0,1.0,1.0,0.041652442394435475,5,,1.05,1.5,0.4934938947400396,0.0,0.09734080149177671,0.4133333333333334,1.0080909090909091,NUE:0.0158;SNPS:0.0121;NOW:0.0113,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-08-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9535707823231058,0.8619643009663166,1.0,1.0,1.0,1.0,0.0417191037559313,7,,1.2,1.5,0.4978714832889579,9.80118763926896e-17,0.09828120293560086,0.42333333333333334,1.008256880733945,MDB:0.0160;REGN:0.0123;TTWO:0.0111,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-09-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9673022015885584,0.8955473256792901,1.0,1.0,1.0,1.0,0.041760815346286326,4,,1.0,1.5,0.5001272956251424,0.0,0.09864814408706472,0.42333333333333334,1.0083640552995394,ADSK:0.0161;BKNG:0.0124;NOW:0.0111,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-10-03,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9627250618334076,0.8843529841082989,1.0,1.0,1.0,1.0,0.04168269941947856,5,,1.1,1.5,0.4956103940669512,2.480654570646834e-16,0.09791766308317676,0.42333333333333334,1.0082648401826486,CMG:0.0159;NOW:0.0122;NXPI:0.0112,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-11-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.979883347601846,0.9262941220283407,1.0,1.0,1.0,1.0,0.041652442394435475,1,,0.85,1.5,0.4934938947400396,0.0,0.09734080149177671,0.4133333333333334,1.0081818181818183,MA:0.0158;VIST:0.0121;NUE:0.0113,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
SELECTION_2021_2022,2022-12-01,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.9718258530836709,0.9064028411241584,1.0,1.0,1.0,1.0,0.04162889873333416,2,,1.0,1.5,0.49167011825942286,1.5005358067199381e-16,0.09585112148506245,0.41333333333333333,1.0079864253393664,TTWO:0.0157;AZO:0.0120;VIST:0.0114,ALPHA_PRESERVED;MAX_WEIGHT_CAP_OR_TIE
