cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,execution_skips,positive_month_share,total_cost_fraction_sum,execution_skip_rate,edge_decisions,edge_trades,milp_calls,milp_success_rate
20.0,420,0.2915978147987277,0.16594048059869548,-0.26644449561740735,2.529607564402994,22,0,0.5238095238095238,0.008432025214676647,0.0,420,22,22,1.0
40.0,420,0.21024435253797935,0.12130520687567126,-0.2886677977912835,2.068373810401285,18,0,0.5238095238095238,0.01378915873600857,0.0,420,18,18,1.0
