signal_date,held_ticker,candidate_ticker,held_score,candidate_score,held_expected_return,candidate_expected_return,expected_incremental_return,estimated_total_cost,uncertainty_buffer,net_edge,trade
2019-01-03,MCO,ANET,0.9382716049382716,0.9465020576131687,0.023357926660965644,0.024298625755584433,0.0009406990946187882,0.002,0.008273550569518359,-0.00933285147489957,False
2019-01-04,MCO,VRTX,0.9338842975206612,0.9421487603305785,0.022856479622925065,0.023801065903885237,0.0009445862809601725,0.002,0.008233028684103683,-0.009288442403143513,False
2019-01-07,MCO,ANET,0.9338842975206612,0.9504132231404959,0.022856479622925065,0.024745652184845427,0.0018891725619203624,0.002,0.00827201809383304,-0.008382845531912677,False
2019-01-08,MCO,ANET,0.9336099585062241,0.946058091286307,0.022825124061731365,0.024247882650895447,0.0014227585891640818,0.002,0.008250168044931077,-0.008827409455766995,False
2019-01-09,MCO,VRTX,0.9336099585062241,0.941908713692946,0.022825124061731365,0.023773629787840755,0.0009485057261093902,0.002,0.008230645749813652,-0.009282140023704262,False
2019-01-10,MCO,ANET,0.9336099585062241,0.941908713692946,0.022825124061731365,0.023773629787840755,0.0009485057261093902,0.002,0.008230645749813652,-0.009282140023704262,False
2019-01-11,MCO,VRTX,0.9291666666666667,0.9458333333333333,0.02231727828754363,0.02422219395414665,0.0019049156666030194,0.002,0.008228936573354537,-0.008324020906751517,False
2019-01-14,MCO,VRTX,0.9330543933054394,0.9414225941422594,0.022761625770443713,0.02371806878296405,0.0009564430125203367,0.002,0.00822582009193575,-0.009269377079415414,False
2019-01-15,AZO,VRTX,0.9330543933054394,0.9456066945606695,0.022761625770443713,0.02419629028922423,0.0014346645187805172,0.002,0.008245508544866706,-0.008810844026086189,False
2019-01-16,AZO,VRTX,0.9372384937238494,0.9497907949790795,0.02323984727670388,0.0246745117954844,0.0014346645187805207,0.002,0.008284302237065982,-0.008849637718285461,False
2019-01-17,NFLX,VRTX,0.8571428571428571,0.9537815126050421,0.020465291723365156,0.0251306306270855,0.004665338903720343,0.002,0.008396572859436284,-0.005731233955715941,False
2019-01-18,NFLX,VRTX,0.8491379310344828,0.9525862068965517,0.020465291723365156,0.0249940132328565,0.004528721509491344,0.002,0.008489635999518106,-0.005960914490026762,False
2019-01-22,NFLX,VRTX,0.847457627118644,0.9576271186440678,0.020465291723365156,0.0255701639385649,0.005104872215199743,0.002,0.008533156474211104,-0.005428284259011362,False
2019-01-23,NFLX,VRTX,0.8389830508474576,0.9576271186440678,0.020465291723365156,0.0255701639385649,0.005104872215199743,0.002,0.008640082392042035,-0.005535210176842291,False
2019-01-24,NFLX,VRTX,0.8008474576271186,0.9533898305084746,0.01929522168634219,0.02508586334536074,0.005790641659018551,0.002,0.008455615160705093,-0.004664973501686542,False
2019-01-25,NFLX,KLAC,0.7974137931034483,0.9525862068965517,0.019128877791181637,0.0249940132328565,0.005865135441674864,0.002,0.008404559261080417,-0.004539423819405553,False
2019-01-28,NFLX,KLAC,0.8008474576271186,0.9533898305084746,0.01929522168634219,0.02508586334536074,0.005790641659018551,0.002,0.008455615160705093,-0.004664973501686542,False
2019-01-29,NFLX,KLAC,0.8,0.9574468085106383,0.019254166597323843,0.025549555402683874,0.006295388805360031,0.002,0.008462357076694838,-0.004166968271334807,False
2019-01-30,MCO,KLAC,0.8936170212765957,0.9787234042553191,0.020977541911274412,0.02755579637070195,0.006578254459427536,0.002,0.008314644242186836,-0.0037363897827592998,False
2019-01-31,MCO,KLAC,0.759656652360515,0.9785407725321889,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008201089748673836,-0.0006883348492544104,False
2019-02-01,MCO,KLAC,0.7553648068669528,0.9785407725321889,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008194315642166888,-0.000681560742747462,False
2019-02-04,MCO,KLAC,0.75,0.9827586206896551,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008185881799178821,-0.0006731268997593942,False
2019-02-05,MCO,KLAC,0.7662337662337663,0.9826839826839827,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008211517101345819,-0.0006987622019263935,False
2019-02-06,MCO,KLAC,0.7748917748917749,0.9826839826839827,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008225328031561422,-0.0007125731321419955,False
2019-02-07,MCO,KLAC,0.7695652173913043,0.9826086956521739,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008216819991355491,-0.0007040650919360649,False
2019-02-08,MCO,KLAC,0.7565217391304347,0.9826086956521739,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.00819613934765724,-0.0006833844482378136,False
2019-02-11,MCO,TTWO,0.7608695652173914,0.9826086956521739,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008203008501662473,-0.0006902536022430463,False
2019-02-12,MCO,KLAC,0.7608695652173914,0.9826086956521739,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008203008501662473,-0.0006902536022430463,False
2019-02-13,MCO,SHOP,0.7608695652173914,0.991304347826087,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008203008501662473,-0.0006902536022430463,False
2019-02-14,MCO,SHOP,0.7510917030567685,0.9956331877729258,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008187594975428985,-0.0006748400760095584,False
2019-02-15,MCO,SHOP,0.7685589519650655,0.9912663755458515,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.00821521675576592,-0.0007024618563464926,False
2019-02-19,MCO,SHOP,0.7685589519650655,0.9912663755458515,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.00821521675576592,-0.0007024618563464926,False
2019-02-20,MCO,SHOP,0.7554585152838428,0.9912663755458515,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008194463292520293,-0.0006817083931008683,False
2019-02-21,MCO,SHOP,0.7467248908296943,0.982532751091703,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008180751678054094,-0.0006679967786346677,False
2019-02-22,MCO,SHOP,0.7268722466960352,0.9955947136563876,0.018043041471282523,0.02755579637070195,0.009512754899419426,0.002,0.008149960203398615,-0.0006372053039791891,False
2019-02-25,MCO,SHOP,0.7074235807860262,0.9956331877729258,0.018034183323179517,0.02755579637070195,0.009521613047522432,0.002,0.008142461106989213,-0.0006208480594667798,False
2019-02-26,ORLY,SHOP,0.8427947598253275,0.9912663755458515,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008669212685395136,-0.003578708038058343,False
2019-02-27,MELI,SNPS,0.8370044052863436,0.9955947136563876,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008741441859920405,-0.0036509372125836117,False
2019-02-28,MELI,CDNS,0.8333333333333334,0.9868421052631579,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.00878785692670884,-0.003697352279372047,False
2019-03-01,MELI,CDNS,0.8859649122807017,0.9868421052631579,0.020766992961858077,0.02755579637070195,0.0067888034088438715,0.002,0.008305633828667874,-0.003516830419824002,False
2019-03-04,MELI,CDNS,0.8810572687224669,0.986784140969163,0.020631958398726443,0.02755579637070195,0.006923837971975506,0.002,0.008299873182234218,-0.003376035210258713,False
2019-03-05,MELI,CDNS,0.8805309734513275,0.9867256637168141,0.020617477303843886,0.02755579637070195,0.006938319066858063,0.002,0.008299256256537131,-0.0033609371896790694,False
2019-03-06,MELI,CDNS,0.8805309734513275,0.9867256637168141,0.020617477303843886,0.02755579637070195,0.006938319066858063,0.002,0.008299256256537131,-0.0033609371896790694,False
2019-03-07,MELI,CDNS,0.8628318584070797,0.9867256637168141,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008429517936764316,-0.0033390132894275232,False
2019-03-08,ADSK,CDNS,0.8303571428571429,0.9866071428571429,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008825825991440902,-0.0037353213441041096,False
2019-03-11,ADSK,CDNS,0.8488888888888889,0.9866666666666667,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008594560929354213,-0.0035040562820174196,False
2019-03-12,ADSK,CDNS,0.8488888888888889,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008594560929354213,-0.0035040562820174196,False
2019-03-13,ADSK,CDNS,0.8488888888888889,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008594560929354213,-0.0035040562820174196,False
2019-03-14,ADSK,CDNS,0.8577777777777778,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008488370112937224,-0.003397865465600431,False
2019-03-15,ADSK,CDNS,0.8475336322869955,0.9910313901345291,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008611036980761426,-0.003520532333424634,False
2019-03-18,ADSK,CDNS,0.8533333333333334,0.9911111111111112,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008541051295997092,-0.0034505466486602987,False
2019-03-19,ADSK,CDNS,0.8577777777777778,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008488370112937224,-0.003397865465600431,False
2019-03-20,ADSK,CDNS,0.8577777777777778,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008488370112937224,-0.003397865465600431,False
2019-03-21,ADSK,CDNS,0.8577777777777778,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008488370112937224,-0.003397865465600431,False
2019-03-22,ADSK,CDNS,0.8622222222222222,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.00843655547993812,-0.0033460508326013283,False
2019-03-25,ADSK,CDNS,0.8711111111111111,1.0,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.00833568671852367,-0.0032451820711868764,False
2019-03-26,MDB,CDNS,0.8711111111111111,0.9955555555555555,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.00833568671852367,-0.0032451820711868764,False
2019-03-27,MDB,CDNS,0.8705357142857143,1.0,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.00834209990088741,-0.003251595253550617,False
2019-03-28,MDB,CDNS,0.8693693693693694,0.9954954954954955,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.008355150156819525,-0.003264645509482733,False
2019-03-29,MDB,CDNS,0.8705357142857143,0.9955357142857143,0.020465291723365156,0.02755579637070195,0.007090504647336793,0.002,0.00834209990088741,-0.003251595253550617,False
2019-04-01,MDB,CDNS,0.88,0.9866666666666667,0.02060286748811793,0.02755579637070195,0.00695292888258402,0.002,0.00829863401338295,-0.0033457051307989307,False
2019-04-02,NFLX,CDNS,0.8977777777777778,0.9866666666666667,0.02109202576279445,0.02755579637070195,0.006463770607907499,0.002,0.008319557941329127,-0.0038557873334216283,False
2019-04-03,ISRG,CDNS,0.9022222222222223,0.9866666666666667,0.021214315331463583,0.02755579637070195,0.0063414810392383655,0.002,0.008324817789034213,-0.0039833367497958475,False
2019-04-04,ISRG,CDNS,0.9070796460176991,0.995575221238938,0.02134796809014179,0.02755579637070195,0.0062078282805601605,0.002,0.008330579462247285,-0.004122751181687125,False
2019-04-05,NFLX,CDNS,0.9026548672566371,0.995575221238938,0.021226219625758803,0.02755579637070195,0.006329576744943145,0.002,0.008325330421339865,-0.003995753676396719,False
2019-04-08,NFLX,CDNS,0.9017857142857143,0.9910714285714286,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
2019-04-09,NFLX,CDNS,0.9017857142857143,0.9910714285714286,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
2019-04-10,NFLX,CDNS,0.9026548672566371,0.995575221238938,0.021226219625758803,0.02755579637070195,0.006329576744943145,0.002,0.008325330421339865,-0.003995753676396719,False
2019-04-11,NFLX,CDNS,0.9026548672566371,0.995575221238938,0.021226219625758803,0.02755579637070195,0.006329576744943145,0.002,0.008325330421339865,-0.003995753676396719,False
2019-04-12,NFLX,CDNS,0.9017857142857143,0.9910714285714286,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
2019-04-15,NFLX,ANET,0.9017857142857143,0.9955357142857143,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
2019-04-16,NFLX,ANET,0.9017857142857143,1.0,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
2019-04-17,NFLX,ANET,0.8839285714285714,0.9910714285714286,0.02071096273185225,0.02755579637070195,0.0068448336388497,0.002,0.00830324182260338,-0.003458408183753681,False
2019-04-18,NFLX,ANET,0.8973214285714286,0.9955357142857143,0.02107946924458289,0.02755579637070195,0.00647632712611906,0.002,0.008319018517298792,-0.0038426913911797323,False
2019-04-22,NFLX,CDNS,0.9017857142857143,0.9821428571428571,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
2019-04-23,AZO,CDNS,0.9017857142857143,1.0,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
2019-04-24,AZO,CDNS,0.9017857142857143,1.0,0.021202304748826433,0.02755579637070195,0.006353491621875516,0.002,0.008324300689488476,-0.00397080906761296,False
