horizon_sessions,resolved_rows,rich_dates,mean_daily_rank_ic,top_decile_mean_return,all_mean_return,top_decile_minus_all
1,85961,418,0.02485356885539071,0.0011601401594087898,0.003281414159411387,-0.002121274000002597
5,85189,414,0.03589426350032435,0.005391327912756993,0.015050597779842384,-0.009659269867085391
20,82294,399,0.045118337452242044,0.020289426609753053,0.025414616879450385,-0.005125190269697332
60,74587,359,0.08797902161687284,0.06457889747359208,0.059043244992158676,0.005535652481433402
120,63067,299,0.07547301399058846,0.10308435740244964,0.14530471630780428,-0.04222035890535464
252,37741,167,0.015370485041449188,0.14418493190433046,0.27670035927510644,-0.13251542737077598
