signal_date,ticker,requested_entry_date,entry_date,target_status_1d,target_end_date_1d,horizon_sessions,target_status_5d,target_end_date_5d,target_status_10d,target_end_date_10d,target_status_20d,target_end_date_20d,target_status_40d,target_end_date_40d,target_status_60d,target_end_date_60d,target_status_120d,target_end_date_120d,target_status_252d,target_end_date_252d
2018-03-08,ABAX,2018-03-09,2018-03-09,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-08,ABAX,2018-03-09,2018-03-09,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-09,ABAX,2018-03-12,2018-03-12,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-09,ABAX,2018-03-12,2018-03-12,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-12,ABAX,2018-03-13,2018-03-13,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-12,ABAX,2018-03-13,2018-03-13,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-13,ABAX,2018-03-14,2018-03-14,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-13,ABAX,2018-03-14,2018-03-14,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-14,ABAX,2018-03-15,2018-03-15,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-14,ABAX,2018-03-15,2018-03-15,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-15,ABAX,2018-03-16,2018-03-16,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-15,ABAX,2018-03-16,2018-03-16,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-16,ABAX,2018-03-19,2018-03-19,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-16,ABAX,2018-03-19,2018-03-19,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-19,ABAX,2018-03-20,2018-03-20,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-19,ABAX,2018-03-20,2018-03-20,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-20,ABAX,2018-03-21,2018-03-21,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-20,ABAX,2018-03-21,2018-03-21,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-21,ABAX,2018-03-22,2018-03-22,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-21,ABAX,2018-03-22,2018-03-22,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-22,ABAX,2018-03-23,2018-03-23,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-22,ABAX,2018-03-23,2018-03-23,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-23,ABAX,2018-03-26,2018-03-26,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-23,ABAX,2018-03-26,2018-03-26,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-26,ABAX,2018-03-27,2018-03-27,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-26,ABAX,2018-03-27,2018-03-27,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-27,ABAX,2018-03-28,2018-03-28,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-27,ABAX,2018-03-28,2018-03-28,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-28,ABAX,2018-03-29,2018-03-29,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-28,ABAX,2018-03-29,2018-03-29,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-03-29,ABAX,2018-04-02,2018-04-02,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-03-29,ABAX,2018-04-02,2018-04-02,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-02,ABAX,2018-04-03,2018-04-03,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-02,ABAX,2018-04-03,2018-04-03,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-03,ABAX,2018-04-04,2018-04-04,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-03,ABAX,2018-04-04,2018-04-04,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-04,ABAX,2018-04-05,2018-04-05,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-04,ABAX,2018-04-05,2018-04-05,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-05,ABAX,2018-04-06,2018-04-06,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-05,ABAX,2018-04-06,2018-04-06,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-06,ABAX,2018-04-09,2018-04-09,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-06,ABAX,2018-04-09,2018-04-09,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-09,ABAX,2018-04-10,2018-04-10,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-09,ABAX,2018-04-10,2018-04-10,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-10,ABAX,2018-04-11,2018-04-11,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-10,ABAX,2018-04-11,2018-04-11,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-11,ABAX,2018-04-12,2018-04-12,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-11,ABAX,2018-04-12,2018-04-12,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-12,ABAX,2018-04-13,2018-04-13,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-12,ABAX,2018-04-13,2018-04-13,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-13,ABAX,2018-04-16,2018-04-16,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-13,ABAX,2018-04-16,2018-04-16,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-16,ABAX,2018-04-17,2018-04-17,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-16,ABAX,2018-04-17,2018-04-17,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-17,ABAX,2018-04-18,2018-04-18,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-17,ABAX,2018-04-18,2018-04-18,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-18,ABAX,2018-04-19,2018-04-19,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-18,ABAX,2018-04-19,2018-04-19,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-19,ABAX,2018-04-20,2018-04-20,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
2018-04-19,ABAX,2018-04-20,2018-04-20,,,252,,,,,,,,,,,,,UNRESOLVED_TERMINATION,
2018-04-20,ABAX,2018-04-23,2018-04-23,,,120,,,,,,,,,,,UNRESOLVED_TERMINATION,,,
