horizon_sessions,fold,architecture,train_rows,test_rows,rows_scored,score_dates,mean_daily_spearman_ic,median_daily_spearman_ic,positive_month_ic_share,top_decile_return_mean,top_decile_net_return_proxy,universe_return_mean,top_vs_universe_net_spread,top_bottom_return_spread,winner_top_decile_base_rate,winner_top_decile_precision,winner_top_decile_lift,daily_top_set_turnover_proxy
20,WF_2019_2020,DEV_IC_COMPOSITE,294359,111207,111207,487,0.11610911178848397,0.13258539808959297,0.75,0.04348689569371791,0.041486895693717905,0.025274449552251933,0.016212446141465973,0.011224404937771444,0.10252052478710873,0.15028188865398168,1.4658712386232207,0.04194712828770799
20,WF_2019_2020,RIDGE_RANK,294359,111207,111207,487,0.1171401625441438,0.12542886744328313,0.9583333333333334,0.0455289260062889,0.043528926006288896,0.025274449552251933,0.018254476454036963,0.007061886436257533,0.10252052478710873,0.1624383368569415,1.5844469894614415,0.06675463708474981
20,WF_2019_2020,HGB_RANK,294359,111207,111207,487,0.09155634845503566,0.10070173015738196,0.9583333333333334,0.04681674681326148,0.04481674681326148,0.025274449552251933,0.019542297261009544,0.013698790457447936,0.10252052478710873,0.16869274136715998,1.6454533540231346,0.10264656766267073
20,WF_2019_2020,HGB_WINNER,294359,111207,111207,487,-0.01758944807096651,-0.03839724181041784,0.4166666666666667,0.053092501291821706,0.051092501291821704,0.025274449552251933,0.02581805173956977,0.035353235295248475,0.10252052478710873,0.2622343708667666,2.5578719130760907,0.0848767465313359
20,WF_2019_2020,BLEND_RIDGE_HGB,294359,111207,111207,487,0.11353155988885787,0.12117188961889777,0.9166666666666666,0.04682750239096106,0.04482750239096106,0.025274449552251933,0.019553052838709128,0.013665330838052006,0.10252052478710873,0.17013032758013386,1.6594757774935485,0.07298873056924586
20,WF_2021_2022,DEV_IC_COMPOSITE,410689,110678,110678,502,0.08095224157045525,0.10601164162918207,0.782608695652174,0.007108470842109797,0.005108470842109797,0.005078223911930055,3.0246930179742525e-05,0.023087113810686788,0.10288404199569924,0.1283232896136122,1.2472613548656688,0.04161242731927448
20,WF_2021_2022,RIDGE_RANK,410689,110678,110678,502,0.07732544137680024,0.08242338097522908,0.6956521739130435,0.004759802956181541,0.0027598029561815406,0.005078223911930055,-0.002318420955748514,0.00831821265510587,0.10288404199569924,0.1424140375753279,1.3842189207659734,0.05840131331539819
20,WF_2021_2022,HGB_RANK,410689,110678,110678,502,0.054390032726784894,0.04218252281667017,0.5652173913043478,-0.0030426799424352322,-0.005042679942435232,0.005078223911930055,-0.010120903854365287,-0.005565806942972031,0.10288404199569924,0.13343965975544922,1.2969908371312557,0.08436388093378462
20,WF_2021_2022,HGB_WINNER,410689,110678,110678,502,-0.06128567776859944,-0.07661134806950926,0.2608695652173913,-0.0060383755578028294,-0.008038375557802829,0.005078223911930055,-0.013116599469732884,-0.013817970993283168,0.10288404199569924,0.20546002481829462,1.99700576331248,0.06471838930833985
20,WF_2021_2022,BLEND_RIDGE_HGB,410689,110678,110678,502,0.07148004441614245,0.07259579988786116,0.6956521739130435,0.0009321253308797256,-0.0010678746691202743,0.005078223911930055,-0.0061460985810503285,0.005051465650514918,0.10288404199569924,0.1323646673163817,1.2865422542585836,0.04953137203853163
60,WF_2019_2020,DEV_IC_COMPOSITE,284653,102000,102000,487,0.16891493749330713,0.16994281062313854,1.0,0.104878577801274,0.102878577801274,0.055565732992515014,0.04731284480875899,0.04952097841406265,0.10247058823529412,0.14524174980813506,1.4173993953721562,0.04980019404523679
60,WF_2019_2020,RIDGE_RANK,284653,102000,102000,487,0.16190080008321314,0.1763405656472935,0.9545454545454546,0.10529115944551973,0.10329115944551973,0.055565732992515014,0.04772542645300471,0.04624614407098671,0.10247058823529412,0.17753067484662577,1.7325037154951999,0.04883849227649549
60,WF_2019_2020,HGB_RANK,284653,102000,102000,487,0.13436438117848035,0.15062698232723382,0.9545454545454546,0.11019514495214086,0.10819514495214086,0.055565732992515014,0.052629411959625845,0.0535662886419001,0.10247058823529412,0.18521714121368996,1.8075151553574795,0.07828585099519078
60,WF_2019_2020,HGB_WINNER,284653,102000,102000,487,-0.06597895818683479,-0.09423691742694011,0.22727272727272727,0.07697340312486839,0.07497340312486839,0.055565732992515014,0.019407670132353373,0.035407510119515616,0.10247058823529412,0.1851461427886919,1.806822288982642,0.05240927007325238
60,WF_2019_2020,BLEND_RIDGE_HGB,284653,102000,102000,487,0.15808385031604819,0.17830615590827492,0.9545454545454546,0.11406799590309856,0.11206799590309856,0.055565732992515014,0.056502262910583544,0.05788916719859904,0.10247058823529412,0.18731407734382496,1.827978940783596,0.05508880980105948
60,WF_2021_2022,DEV_IC_COMPOSITE,401482,101828,101828,502,0.1222714263524011,0.12635994426457303,0.9090909090909091,0.024944137223341833,0.022944137223341834,0.0054998985934019565,0.01744423862993988,0.04369752566547847,0.10317397965196214,0.13139177239523261,1.2734971825111123,0.043546964042928626
60,WF_2021_2022,RIDGE_RANK,401482,101828,101828,502,0.10343898840986007,0.10288974515514338,0.7727272727272727,0.013274969448011069,0.011274969448011068,0.0054998985934019565,0.005775070854609112,0.038097997905029726,0.10317397965196214,0.13861386138613863,1.3434963142230842,0.035667794845092415
60,WF_2021_2022,HGB_RANK,401482,101828,101828,502,0.09168205920850533,0.08318463584373284,0.7272727272727273,0.004794750980510696,0.0027947509805106956,0.0054998985934019565,-0.002705147612891261,0.030966463632214412,0.10317397965196214,0.140001921783415,1.356949903994059,0.06425
60,WF_2021_2022,HGB_WINNER,401482,101828,101828,502,-0.0707598502057917,-0.0594588749179982,0.22727272727272727,0.009605210994288876,0.007605210994288876,0.0054998985934019565,0.00210531240088692,-0.004235339949318148,0.10317397965196214,0.18885895709062922,1.8304901849062052,0.04392108925094805
60,WF_2021_2022,BLEND_RIDGE_HGB,401482,101828,101828,502,0.10235209447808813,0.09607245999223099,0.7272727272727273,0.011846932005105568,0.009846932005105568,0.0054998985934019565,0.0043470334117036115,0.035838735702052565,0.10317397965196214,0.14442307692307693,1.3998013589304281,0.045001564722991425
120,WF_2019_2020,DEV_IC_COMPOSITE,270211,88542,88542,487,0.21821820964294078,0.21991032652299067,0.9473684210526315,0.20814511282026474,0.20614511282026474,0.08758907063999151,0.11855604218027323,0.19294984299365303,0.10166926430394616,0.18710674467380506,1.8403471880591031,0.08908421303751417
120,WF_2019_2020,RIDGE_RANK,270211,88542,88542,487,0.2175593010971001,0.2254472241367599,1.0,0.23634011306238795,0.23434011306238794,0.08758907063999151,0.14675104242239645,0.1765725974290745,0.10166926430394616,0.22220995694889062,2.1856158640489527,0.08218822687421722
