issuer,origin_ticker,byma_ticker,ratio_a,ratio_b,ratio,source_url
BANCO_COMAFI,BMY,BMY,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BP,BP,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,BPAC11,BPA11,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,BRFS,BRFS,1,3,1:3,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BRK/B,BRKB,22,1,22:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BSBR,BSBR,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,BSN,BSN,20,1,20:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,C,C,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CAAP,CAAP,1,4,1:4,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CAH,CAH,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CAR,CAR,26,1,26:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CAT,CAT,20,1,20:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CBD,CBD,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CCL,CCL,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CDE,CDE,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,CIBR,CIBR,10,1,10:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,CL,CL,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,COIN,COIN,27,1,27:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,COST,COST,48,1,48:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CRM,CRM,18,1,18:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CSCO,CSCO,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,CSNA3,CSNA3,1,1,1:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,CVS,CVS,15,1,15:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CVX,CVX,16,1,16:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,CX,CX,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DAL,DAL,8,1,8:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DD,DD,5,1,5:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DE,DE,40,1,40:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DEO,DEO,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DESP,DESP,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DHR,DHR,54,1,54:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,DIA,DIA,20,1,20:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,DIS,DISN,12,1,12:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DOCU,DOCU,22,1,22:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DOW,DOW,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,DTEA,DTEA,3,1,3:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,E,E,4,1,4:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,EA,EA,14,1,14:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,EBAY,EBAY,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,EBR,EBR,1,4,1:4,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,EEM,EEM,5,1,5:1,https://cajadevalores.com.ar/Servicios/Cedears
BANCO_COMAFI,EFX,EFX,16,1,16:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ELP,ELP,1,3,1:3,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,EOAN,EOAN,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,EQNR,EQNR,6,1,6:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ERIC,ERIC,2,1,2:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
BANCO_COMAFI,ERJ,ERJ,1,1,1:1,https://www.comafi.com.ar/Programas-CEDEARs-2483.note.aspx
CAJA_DE_VALORES,ETHA,ETHA,5,1,5:1,https://cajadevalores.com.ar/Servicios/Cedears
