window_end,window_months,strategy_cagr,benchmark_cagr,cagr_spread,strategy_vol,benchmark_vol,strategy_mdd,benchmark_mdd
2019-02,60,0.2060431308972026,0.10558096907659853,0.10046216182060408,0.17139833021765563,0.11139006835638646,-0.1350275748037546,-0.13532099886114834
2019-03,60,0.23134326344241884,0.10772280365426146,0.12362045978815739,0.16694450483928788,0.11146536206265309,-0.13502757480375482,-0.13532099886114834
2019-04,60,0.23410773824840647,0.11508314521000007,0.1190245930384064,0.16674680951785553,0.11236164468193623,-0.13502757480375438,-0.13532099886114834
2019-05,60,0.19169952606640583,0.09544599332695602,0.09625353273944981,0.17543708793823282,0.1168678278009424,-0.13502757480375438,-0.13532099886114846
2019-06,60,0.2029575600588689,0.10575580077335323,0.09720175928551567,0.17859577918862496,0.11993812822873264,-0.13502757480375438,-0.13532099886114823
2019-07,60,0.20357860702859876,0.11208430619425092,0.09149430083434784,0.17855089927986345,0.11953061814729518,-0.1350275748037546,-0.13532099886114834
2019-08,60,0.1786762052130655,0.09978876185747243,0.07888744335559306,0.17357890239944382,0.11930571608329518,-0.13502757480375438,-0.13532099886114834
2019-09,60,0.19941528971047706,0.10710752687485336,0.0923077628356237,0.1672132588221524,0.11896572092019314,-0.1350275748037546,-0.13532099886114846
2019-10,60,0.198193415728535,0.1067945974422928,0.09139881828624219,0.1673004884653521,0.11893174789566237,-0.1350275748037545,-0.13532099886114823
2019-11,60,0.19772118802329897,0.10866822898248651,0.08905295904081245,0.16734066054005303,0.11926986608487536,-0.1350275748037545,-0.13532099886114834
2019-12,60,0.21023478644930105,0.1156036801407796,0.09463110630852145,0.16732298543930813,0.1194732296084016,-0.1350275748037546,-0.13532099886114823
2020-01,60,0.19072945994890267,0.12224399743128456,0.06848546251761811,0.1704721578148901,0.11822264091449794,-0.1350275748037546,-0.13532099886114823
2020-02,60,0.16721111456995397,0.09187773400708577,0.0753333805628682,0.16967360570350742,0.12292312173494319,-0.1350275748037545,-0.13532099886114846
2020-03,60,0.15706271113388026,0.06650615387111958,0.09055655726276068,0.1725225639511688,0.13618047245820278,-0.14300239652114777,-0.19447688715318667
2020-04,60,0.18073361355808126,0.09017670886696694,0.09055690469111433,0.18733197921293732,0.1465100190356111,-0.14300239652114777,-0.19447688715318678
2020-05,60,0.18396827943324756,0.097564845213308,0.08640343421993957,0.18768009252718013,0.14756159472326977,-0.14300239652114788,-0.19447688715318667
2020-06,60,0.19496319596577405,0.10596030604485507,0.08900288992091898,0.18910616679599482,0.14702075636177536,-0.143002396521148,-0.19447688715318667
2020-07,60,0.21183636511683002,0.1137035928021064,0.09813277231472362,0.19262159878303672,0.14857520274948946,-0.14300239652114777,-0.19447688715318656
2020-08,60,0.23840218175489625,0.1431209864508649,0.09528119530403134,0.19229651360273223,0.1473902589276712,-0.14300239652114788,-0.19447688715318667
2020-09,60,0.23653674244687473,0.14030876769872558,0.09622797474814915,0.19285260028547663,0.14810432043482366,-0.14300239652114788,-0.19447688715318667
2020-10,60,0.21450639971083785,0.11619115182112938,0.09831524788970847,0.19359100500406348,0.14519490448111516,-0.14300239652114777,-0.19447688715318656
2020-11,60,0.24196754475624904,0.13865065517891173,0.10331688957733731,0.20038867933604856,0.1517140975438076,-0.14300239652114777,-0.19447688715318656
2020-12,60,0.26960646969798496,0.15097149073494176,0.1186349789630432,0.20013800176101865,0.15153944231351368,-0.14300239652114788,-0.19447688715318667
2021-01,60,0.29265720179784793,0.16040789257443677,0.13224930922341116,0.194904066641781,0.14923397984586623,-0.14300239652114777,-0.19447688715318667
2021-02,60,0.29216671636156244,0.16698327275792813,0.12518344360363431,0.19492133199857664,0.14922848750891907,-0.14300239652114788,-0.19447688715318667
2021-03,60,0.27134347720528584,0.1621615742977982,0.10918190290748764,0.19233553741968784,0.14795204770639273,-0.14300239652114777,-0.19447688715318656
2021-04,60,0.26262932750680656,0.17328401245727965,0.08934531504952692,0.19164956833403418,0.14892581156479578,-0.14300239652114777,-0.19447688715318667
2021-05,60,0.2883435454698906,0.17086391234609755,0.11747963312379306,0.1893692611938818,0.14896068793332407,-0.14300239652114788,-0.19447688715318667
2021-06,60,0.3030463674939061,0.17525341836728825,0.12779294912661787,0.19124019157552707,0.14892566520967596,-0.143002396521148,-0.19447688715318667
2021-07,60,0.292444199521525,0.17250604786387957,0.11993815165764543,0.19017198169203964,0.1486606339431377,-0.14300239652114777,-0.19447688715318667
2021-08,60,0.3024235055241169,0.1791208042053396,0.1233027013187773,0.1900604511813082,0.1486988736202524,-0.14300239652114788,-0.19447688715318656
2021-09,60,0.2839557895763314,0.16790573519367524,0.11605005438265614,0.19286796835884196,0.15108109973472622,-0.14300239652114788,-0.19447688715318667
2021-10,60,0.28016128401134877,0.18800132771341183,0.09215995629793694,0.19191804151051534,0.1524558371550601,-0.14300239652114788,-0.19447688715318667
2021-11,60,0.28466110635309194,0.17753539100616256,0.10712571534692938,0.19204175531494003,0.15249430769984268,-0.14300239652114788,-0.19447688715318667
2021-12,60,0.2888697404813594,0.18347126602349895,0.10539847445786044,0.19173822493370068,0.15312952174396421,-0.14300239652114788,-0.19447688715318667
2022-01,60,0.24876207791725946,0.16657018170327387,0.0821918962139856,0.20129957586983835,0.1560972288039716,-0.14300239652114788,-0.19447688715318656
2022-02,60,0.2509437180912497,0.1506970349879786,0.10024668310327112,0.20135909525047177,0.15685437095030014,-0.14300239652114788,-0.19447688715318667
2022-03,60,0.2644796312148352,0.15893122428455309,0.10554840693028211,0.2022714506789617,0.15715272778881767,-0.14300239652114788,-0.19447688715318667
2022-04,60,0.2484668986659726,0.13558774033370335,0.11287915833226925,0.20415813709645253,0.16353383277745542,-0.14300239652114777,-0.19447688715318656
2022-05,60,0.24612762660584409,0.13292004911014388,0.1132075774957002,0.2038801114542128,0.1635850381582382,-0.143002396521148,-0.19447688715318667
2022-06,60,0.20349578746234043,0.11217281905325538,0.09132296840908505,0.22227776791200224,0.16889566154142094,-0.20468786476133982,-0.19981330218516336
2022-07,60,0.21124461887032675,0.12734427712401453,0.08390034174631222,0.2257220564850845,0.17278297573837323,-0.20468786476133993,-0.19981330218516324
2022-08,60,0.21713221276959604,0.11733951175380497,0.09979270101579107,0.2255860099351755,0.17431234641839166,-0.20468786476134004,-0.19981330218516336
2022-09,60,0.1891040527057788,0.0915079360907134,0.0975961166150654,0.2315494929871493,0.18022296623048184,-0.20468786476133982,-0.2392718238921986
2022-10,60,0.22048811170705895,0.1035478171464832,0.11694029456057575,0.24392845129329127,0.18301964453736175,-0.20468786476133982,-0.2392718238921987
2022-11,60,0.23070774946325812,0.1088560377998018,0.12185171166345632,0.24394640779375798,0.18394182725113867,-0.20468786476134015,-0.2392718238921988
2022-12,60,0.21262673734719728,0.09313187778973364,0.11949485955746364,0.24626433215615862,0.18640995283587575,-0.20468786476134004,-0.2392718238921986
2023-01,60,0.1901524254760001,0.09447965475027198,0.0956727707257281,0.23619590562609388,0.18677064162698093,-0.20468786476133993,-0.2392718238921987
2023-02,60,0.18400561484660316,0.09701602024533496,0.0869895946012682,0.2366493729081203,0.1862833786215619,-0.20468786476133993,-0.2392718238921987
2023-03,60,0.18615971454888447,0.11119257381928249,0.07496714072960198,0.23641818844902493,0.185939339418276,-0.20468786476133982,-0.2392718238921986
2023-04,60,0.17321486207581982,0.1135716668851876,0.059643195190632214,0.23775588376282172,0.1859420448658064,-0.20468786476133982,-0.23927182389219848
2023-05,60,0.1736858616301653,0.10925660091268763,0.06442926071747768,0.23773662285375857,0.1858516834543538,-0.20468786476133993,-0.2392718238921986
2023-06,60,0.18738324157177577,0.12198619908833463,0.06539704248344114,0.2402107900992035,0.1874396553556785,-0.2046878647613397,-0.2392718238921987
2023-07,60,0.20183890825135076,0.12105124437162895,0.0807876638797218,0.24069943002287592,0.18732804555230823,-0.20468786476133993,-0.2392718238921986
2023-08,60,0.18873017463356723,0.11038371578633033,0.0783464588472369,0.24025061490103425,0.18747347033309647,-0.20468786476133993,-0.2392718238921986
2023-09,60,0.1818624836494913,0.09834093320931458,0.08352155044017673,0.24060019846206226,0.1892323248608604,-0.20468786476133982,-0.23927182389219848
2023-10,60,0.18985499305419973,0.10930413200751099,0.08055086104668874,0.2389521303365494,0.18640296553217833,-0.2046878647613397,-0.2392718238921986
2023-11,60,0.20877941506005993,0.12472533191854107,0.08405408314151885,0.24110727915577315,0.18988322591420656,-0.20468786476133982,-0.2392718238921988
2023-12,60,0.24534309400990306,0.1559255598838729,0.08941753412603015,0.23734116518191276,0.18500302001383653,-0.20468786476133993,-0.23927182389219837
2024-01,60,0.24913306635471288,0.14185852154660838,0.1072745448081045,0.23792336201473677,0.18252016460562426,-0.20468786476133982,-0.2392718238921987
2024-02,60,0.2487647952961849,0.14619874423447454,0.10256605106171035,0.23789586167520296,0.18317222867188454,-0.20468786476133982,-0.2392718238921986
2024-03,60,0.25207361928794736,0.14946786651387178,0.10260575277407558,0.23810756860612767,0.1833741870378367,-0.20468786476133982,-0.2392718238921986
2024-04,60,0.25122334676863267,0.13095229451405976,0.12027105225457291,0.2381455143173015,0.18446186944191256,-0.20468786476133982,-0.2392718238921987
2024-05,60,0.2869514906943553,0.15732064549499647,0.12963084519935886,0.23048245224078684,0.18201780210172114,-0.20468786476133993,-0.2392718238921986
2024-06,60,0.26869001080252963,0.1497994794425539,0.11889053135997574,0.22809581803452247,0.18051244172935,-0.20468786476133993,-0.23927182389219848
2024-07,60,0.2658241975886704,0.14911681552037814,0.11670738206829223,0.22834519276836607,0.18051041338935456,-0.20468786476133993,-0.2392718238921986
2024-08,60,0.2770565621320624,0.15834230112608294,0.11871426100597948,0.2283509675003466,0.180057303415743,-0.20468786476133982,-0.2392718238921987
2024-09,60,0.2821764926836343,0.1586935729248331,0.12348291975880121,0.22799327810671516,0.18006876280138553,-0.20468786476133993,-0.2392718238921986
2024-10,60,0.28146214964847105,0.15157157408002986,0.1298905755684412,0.22805446618964678,0.1803081855158521,-0.20468786476133982,-0.2392718238921986
2024-11,60,0.30714405829710323,0.15673407943151485,0.15040997886558838,0.23052481103794595,0.1812193080188646,-0.20468786476133993,-0.2392718238921987
2024-12,60,0.28400797387400045,0.14453843305335523,0.13946954082064522,0.2325349060953575,0.1818512053043013,-0.20468786476133982,-0.23927182389219848
2025-01,60,0.31832741669858233,0.15071405607283928,0.16761336062574306,0.23089776181481106,0.1818611433681925,-0.2046878647613397,-0.2392718238921986
2025-02,60,0.33031697228431134,0.16686711177634894,0.1634498605079624,0.2295979497862908,0.17737426971935757,-0.20468786476133993,-0.23927182389219848
2025-03,60,0.34424730100666334,0.18475142417906398,0.15949587682759936,0.22664925367711203,0.1688342726488426,-0.2046878647613397,-0.2392718238921986
2025-04,60,0.3049617160637603,0.15474838242083822,0.1502133336429221,0.2147841289527946,0.16133017188545812,-0.20468786476134004,-0.23927182389219848
2025-05,60,0.2984646508361861,0.15807984385368323,0.14038480698250289,0.21458487685343336,0.1621328316921708,-0.20468786476133993,-0.23927182389219848
2025-06,60,0.2923794502715593,0.1656389512950185,0.12674049897654083,0.213846140897903,0.16301271083066912,-0.20468786476134004,-0.2392718238921987
2025-07,60,0.26857072927406156,0.15763470130622914,0.11093602796783242,0.2113170521794606,0.1617857525208445,-0.20468786476133993,-0.2392718238921987
2025-08,60,0.2683870189069262,0.1467678843458109,0.12161913456111528,0.21128086055197814,0.1597769404425779,-0.20468786476133982,-0.2392718238921986
2025-09,60,0.2982394289233363,0.16367153804435608,0.13456789087898025,0.20871813855253504,0.15846546240713205,-0.20468786476133982,-0.2392718238921988
2025-10,60,0.3044713017805467,0.1750863009340753,0.12938500084647142,0.20764777061529377,0.15754294072715896,-0.20468786476133982,-0.2392718238921986
2025-11,60,0.27740760283566424,0.1515164250988026,0.12589117773686165,0.2015879668683957,0.15168278837018034,-0.20468786476133993,-0.2392718238921986
2025-12,60,0.2570635792237319,0.14335098320493112,0.1137125960188008,0.20062464298289853,0.15136880998632724,-0.2046878647613397,-0.2392718238921986
2026-01,60,0.2795095275593056,0.1490529293356293,0.13045659822367628,0.20362171890425088,0.1510300424240105,-0.20468786476133993,-0.23927182389219848
2026-02,60,0.29214171316300797,0.1407853110446795,0.15135640211832846,0.20444477933521418,0.15116241795315916,-0.20468786476133982,-0.2392718238921987
2026-03,60,0.29276494833048794,0.11930624332559714,0.1734587050048908,0.2044119295348429,0.15283353868390828,-0.2046878647613397,-0.2392718238921987
2026-04,60,0.2969095534785131,0.13017901430590073,0.16673053917261238,0.20451632987061308,0.15749155290425876,-0.20468786476133993,-0.2392718238921986
2026-05,60,0.27615027760777466,0.1403379226933119,0.13581235491446275,0.20553193827060776,0.1585554678892627,-0.20468786476133982,-0.2392718238921986
2026-06,60,0.2777511564023889,0.13294399038896243,0.14480716601342647,0.20595920589486247,0.1587942452857604,-0.20468786476133982,-0.2392718238921986
2026-07,60,0.26883158155175146,0.1275704606364354,0.14126112091531606,0.20645681700851776,0.15876055317032414,-0.2046878647613397,-0.2392718238921986
2026-08,60,0.25690765281883543,0.12692143152331803,0.1299862212955174,0.20669525529870178,0.15869524507124042,-0.2046878647613397,-0.23927182389219848
2026-09,60,0.275574452785198,0.1386596492679093,0.13691480351728869,0.20418415001711995,0.1565550129224093,-0.20468786476133982,-0.2392718238921987
2026-09,60,0.2646371986857077,0.12423928047057431,0.14039791821513337,0.20299836468062302,0.15432488012212878,-0.20468786476133993,-0.23927182389219837
