date,nav,net_return,turnover,entry_exit_notional,resize_notional,cost_fraction,holdings,cash_weight,max_name_weight,requested,executed,blocked,execution_l1_error,max_abs_weight_error,max_overweight,inaccessible_target_weight
2019-01-02,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,0.9997012534081768,-0.00029874659182316243,0.29874659182317576,0.29874659182317587,0.0,0.0002987465918231758,17,0.7012534081768242,0.039115326211556806,0.9734228856349436,0.2987465918231758,0.6746762938117679,1.4006588861885592,0.047708256867716584,0.009068377888255149,0.5045878487650028
2019-01-04,1.0116183359673419,0.011920643810875875,0.08614028405823096,0.05887895428145594,0.06332864029847958,0.00012220759457993554,18,0.6428348290398045,0.04155101563410834,0.8071717401892435,0.12220759457993553,0.684964145609308,1.3574400393469304,0.044806354363239896,0.018928428133357877,0.5225634918934808
2019-01-07,1.0165859915758138,0.004910602577919532,0.01920413123253946,0.016396747697240865,0.01219809440906353,2.859484210630439e-05,16,0.6494886766754423,0.041332525327751474,0.71400367241045,0.02859484210630439,0.6854088303041457,1.342919316881777,0.045776596506660126,0.013058814261044976,0.45293566001235414
2019-01-08,1.0194799485062782,0.0028467409097172602,0.04268690407264496,0.057630006902001,0.014583946601657637,7.221395350365865e-05,16,0.6344383755138683,0.04195698839125298,0.7276183207826603,0.07221395350365864,0.6554043672790016,1.2968147671155665,0.04299936782230088,0.0024116647524954904,0.4204139891389176
2019-01-09,1.0260493322111746,0.006443857688934074,0.059102402492075004,0.069469401438814,0.030324703252530883,9.97941046913449e-05,15,0.6487241126682335,0.04184798375428314,0.763282796203442,0.09979410469134489,0.6634886915120971,1.316586028012575,0.05073167894458596,0.008398726162999394,0.40916604216779273
2019-01-10,1.0283278046958357,0.0022206266435074173,0.12414379080882178,0.16300481616239448,0.014126515496168661,0.00017713133165856313,16,0.5760158257888572,0.06435947917934823,0.7536847831807978,0.17713133165856312,0.5765534515222347,1.2398497022578758,0.04084602135340054,0.029126997366352582,0.3328833699641621
2019-01-11,1.028184365617421,-0.0001394876981442028,0.0435005526746901,0.021025463504872388,0.034489895088180386,5.551535859305277e-05,18,0.5445784551769168,0.06437628740685754,0.6794409866816741,0.055515358593052774,0.6239256280886213,1.1668643588775889,0.040283716017701685,0.027236357523231912,0.2919378422622215
2019-01-14,1.027574149766397,-0.0005934887471834571,0.07266390707144268,0.07945973871309077,0.0226955549990248,0.00010215529371211557,18,0.588018704114611,0.04855917734162871,0.6574574496218925,0.10215529371211557,0.5553021559097768,1.1682720752272258,0.04150718699750252,0.02025117921750398,0.2988848230950187
2019-01-15,1.0319776730113035,0.004285358137811723,0.056251015411645164,0.045928388324668105,0.017948638790651925,6.387702711532004e-05,21,0.5368471815264768,0.05011782509219335,0.6702796270761788,0.06387702711532003,0.6064025999608588,1.1441637559727544,0.044519385430651065,0.019408591040547703,0.32560205435320877
2019-01-16,1.0312973884495855,-0.0006592047284637026,0.1100751948388453,0.12153583267887344,0.020353668411207327,0.00014188950109008077,16,0.6153859725304498,0.04222357510467452,0.7169740847009803,0.14188950109008078,0.5750845836108995,1.1843003833270669,0.049060593772929255,0.012862135690808803,0.430195363953481
2019-01-17,1.0356076537472207,0.0041794591413784055,0.015568859320253637,0.006102425880116001,0.011504844466997156,1.7607270347113158e-05,17,0.5992834582860522,0.04277373341249115,0.6058579550061677,0.01760727034711316,0.5882506846590545,1.1613904030390607,0.05114745513216244,0.008302945730878808,0.44967449349746547
2019-01-18,1.0393278636613725,0.0035922966585759664,0.12105558006671045,0.1285601338349314,0.016666560161910864,0.00014522669399684226,20,0.5001671735836952,0.054895398429178136,0.6601109212030885,0.14522669399684227,0.5148842272062462,1.0239080497718795,0.04908082966331546,0.013069048942934855,0.4091728452036706
2019-01-22,1.0293154164989389,-0.009633579077887422,0.0947142067894261,0.08827512122453292,0.046358114183346275,0.0001346332354078792,19,0.5597596275847938,0.051262763297002654,0.6716743088668621,0.1346332354078792,0.5370410734589829,1.0542845291301888,0.04603575038801727,0.007351986031829627,0.44454259886236125
2019-01-23,1.0314265760129941,0.002051032638018757,0.03522931212025091,0.03315871096319748,0.019646989898270774,5.2805700861468254e-05,16,0.5762373176406603,0.051524871813130174,0.6101947647447935,0.052805700861468255,0.5573890638833252,1.121633118342291,0.05727363804463188,0.0027488495817018926,0.44692279474297264
2019-01-24,1.035538046268725,0.003986197710382555,0.07777494088544748,0.09427388183310464,0.027849210519564897,0.00012212309235266956,17,0.6073061386278711,0.04583588085860972,0.751837220805624,0.12212309235266955,0.6297141284529544,1.2636123505239354,0.07509807107987056,0.008145217686255478,0.5209178243191677
2019-01-25,1.0404288470507814,0.004722956147945601,0.05336234867795037,0.027922446987983754,0.03730290656976042,6.522535355774418e-05,19,0.5629125720980312,0.0553368771918189,0.6410977069796857,0.06522535355774418,0.5758723534219415,1.159153213155961,0.04948523634593618,0.004636551373249184,0.4487846040202623
2019-01-28,1.0358278162053893,-0.0044222445950381495,0.15828330512576086,0.19634456427601593,0.030689607059658532,0.00022703417133567444,21,0.4757521595530808,0.0460877651166753,0.6977443786590765,0.22703417133567444,0.470710207323402,0.9864969353787718,0.05300915671153062,0.008284110443221028,0.4044740008676101
2019-01-29,1.0344938847018184,-0.0012877927032869385,0.11670711988588933,0.18801433485183497,0.019990045676861558,0.00020800438052869652,21,0.5016763928297026,0.04578863737635781,0.6968183547479128,0.20800438052869652,0.48881397421921624,1.0595459208590825,0.049480765226201526,0.007396302599588865,0.4749143443832757
2019-01-30,1.0428919107982768,0.008118004582384764,0.015439504478446666,0.012388129552772041,0.008237658065907132,2.0625787618679173e-05,20,0.5078795340105953,0.045328682751429476,0.5738744476964037,0.020625787618679173,0.5532486600777246,1.0623906206308704,0.054571386426721866,0.005262150902542851,0.4837832621516924
2019-01-31,1.0487303262314933,0.005598293910197727,0.07772642181915294,0.0811654411505831,0.0695630549726992,0.0001507284961232823,21,0.5097003256639783,0.08865817174548003,0.6659562607662047,0.1507284961232823,0.5152277646429224,1.0330042532286865,0.05664045498842202,0.011219228360577423,0.4443892611088304
2019-02-01,1.0499622685526973,0.0011746988624146137,0.07089484137952264,0.07089484137952266,0.016218482003194305,8.711332338271696e-05,17,0.5637342935748026,0.08753934895537484,0.6706110462569207,0.08711332338271696,0.5834977228742038,1.153077649350332,0.058079153241712055,0.005530246252008965,0.473396612084553
2019-02-04,1.052540060585745,0.0024551282558000764,0.08790397647752368,0.06591477685265754,0.029359111547361094,9.527388840001862e-05,20,0.48176600108221634,0.0877343785715225,0.6252015746648908,0.09527388840001862,0.5299276862648722,1.0515016919403999,0.06082259316481737,0.015289494807301587,0.4495147555963051
2019-02-05,1.0545390238531045,0.0018991802233609967,0.05760593291803584,0.036309041392541465,0.05499074656906485,9.129978796160632e-05,20,0.5047209511196521,0.05458964121743469,0.629804046493143,0.09129978796160632,0.5385042585315367,1.072134812247243,0.06896728432338782,0.015691191283073974,0.46476988991162593
2019-02-06,1.0531316412962068,-0.001334595045857423,0.05191943650438519,0.030989188115882582,0.041516802625527496,7.250599074141008e-05,22,0.4740259229174629,0.05506230983120572,0.5763722454320422,0.07250599074141008,0.5038662546906322,0.9756666974124487,0.07276567066496101,0.011136750836740199,0.4358084065104054
2019-02-07,1.0489427021904976,-0.003977602553611903,0.13848537224256108,0.19917171316502175,0.02340504140008727,0.00022257675456510904,22,0.5302070007328241,0.05467897981823582,0.7467057440888468,0.22257675456510903,0.5241289895237378,1.1027630821255665,0.07345154010160374,0.012815217390080808,0.5059859851101186
2019-02-08,1.0510565854672103,0.002015251426315645,0.07725559380940623,0.03694711060473714,0.06482558635366607,0.00010177269695840322,24,0.4763483065532744,0.0542948995998471,0.5856303747036026,0.10177269695840321,0.4838576777451994,0.9373495635809346,0.07733191920387515,0.010604707684629577,0.4226630834101689
2019-02-11,1.0526863515020557,0.0015505978054655145,0.05221366912127168,0.050109700469189875,0.004283290282461779,5.439299075165166e-05,22,0.525619303046736,0.054795538594798764,0.5754948510383939,0.05439299075165166,0.5211018602867423,1.0019934328839302,0.07893660239377935,0.007274559069212674,0.43510771249352626
2019-02-12,1.0590334939031096,0.006029471543919307,0.04328132401663971,0.03347694660750522,0.03348524834459422,6.696219495209945e-05,23,0.5028336517745144,0.0553558230836061,0.577060809971537,0.06696219495209946,0.5100986150194375,1.03627441140318,0.06798231716140396,0.005396461582920082,0.4450944334691887
2019-02-13,1.05885890981587,-0.00016485228110785233,0.1362533713793247,0.15050431681190563,0.012575967319874145,0.00016308028413177978,25,0.3934080843142661,0.0641512221394295,0.5891592526267018,0.16308028413177977,0.426078968494922,0.8647158306186464,0.0562039840778299,0.015428002629444042,0.38792427332177415
2019-02-14,1.0616153673711115,0.002603234037781954,0.032513759106371554,0.0,0.049697934679642106,4.969793467964212e-05,25,0.37703752579757266,0.06488727456335087,0.4992080366625385,0.04969793467964211,0.44951010198289637,0.8602221677256617,0.04897234500339342,0.014688717705096499,0.3888001291739407
2019-02-15,1.0673767962076917,0.005427039786403354,0.09349232287993266,0.1479525219984411,0.03262740591217185,0.00018057992791061298,26,0.38133937294707965,0.06907132466474705,0.6480997623589859,0.18057992791061298,0.467519834448373,0.8810891761242726,0.05186770732192739,0.023938449675655997,0.37906015582104224
2019-02-19,1.0692774556149665,0.0017806827111359613,0.107306565106187,0.12846634973344187,0.0290663739358037,0.0001575327236692456,26,0.43768197542660336,0.06898993114624367,0.5944767678543639,0.1575327236692456,0.4369440441851183,0.9144591033599336,0.052849592645713345,0.022507317022777237,0.37732728392990866
2019-02-20,1.0715179270427235,0.002095313443664093,0.09646756681563588,0.07227315402216167,0.0550069319758915,0.00012728008599805315,25,0.5023662679693806,0.06943021018249171,0.5690264472854658,0.12728008599805316,0.4417463612874126,1.026056089034296,0.05145001353142686,0.00386013537280718,0.3918813560310958
2019-02-21,1.0702518560086645,-0.0011815677573899785,0.0439785410779948,0.06089125279723778,0.018419340627209776,7.931059342444755e-05,23,0.4942741711072002,0.06938313854911844,0.5589696712127034,0.07931059342444755,0.4796590777882558,0.9738712365664168,0.05923064997423166,0.0036161291042519986,0.42057054181985776
2019-02-22,1.0767808572141417,0.006100434368622398,0.038624321866889785,0.04339708172985879,0.0168518186040175,6.024890033387629e-05,24,0.4742478246841818,0.06997811955982189,0.49121108018592197,0.06024890033387629,0.43096217985204566,0.8739583507329413,0.06445664450846021,0.005588493014675634,0.381726148430837
2019-02-25,1.0762216376729412,-0.0005193438734111266,0.04811563156737392,0.03670742133839832,0.027748044549264342,6.445546588766266e-05,26,0.44268786937102467,0.06984284527035338,0.5120511518698616,0.06445546588766266,0.44759568598219895,0.9157582243471529,0.05975807382618953,0.010846396086988895,0.3714140362426282
2019-02-26,1.074427664036389,-0.0016669183872117799,0.23525712074081967,0.3228831464999934,0.11198777753648892,0.0004348709240364824,18,0.47887750995871037,0.08668891716670865,0.9420020961001885,0.43487092403648236,0.5071311720637062,1.0501969858441482,0.048592816819440054,0.013984020731321167,0.4307620261542443
2019-02-27,1.0749828810278623,0.000516756046086364,0.09005657435628878,0.08095907710904518,0.011555906260473828,9.251498336951901e-05,21,0.39098772911624846,0.09077817797898327,0.5368127473828482,0.09251498336951901,0.4442977640133292,0.9012421608867361,0.05060004009532154,0.022406734864134394,0.3987475938651745
2019-02-28,1.0695565664873519,-0.005047814840848486,0.2058264980534,0.20991631012512607,0.044424462619815565,0.00025434077274494164,18,0.5501836505777955,0.07755237551847835,0.7280141948651179,0.25434077274494166,0.4736734221201762,1.0800121729188161,0.06766136946002907,0.00765472651294369,0.44110237188895285
2019-03-01,1.068203571691657,-0.0012650053658578297,0.08895289586679117,0.09171610993700634,0.0845749929554069,0.00017629110289241323,20,0.5523980908954349,0.05174038346049809,0.7543890792980918,0.17629110289241323,0.5780979764056786,1.1406497348988072,0.07031273845464196,0.008406181682403792,0.5109537770398545
2019-03-04,1.066689112718553,-0.001417762506359721,0.06704913466429369,0.06491600681859475,0.01192261302700363,7.683861984559838e-05,23,0.49588021686882255,0.05189213501622034,0.6163131426724081,0.07683861984559838,0.5394745228268097,1.0768854558684926,0.062396752382208445,0.017254406110703766,0.4862567914879253
2019-03-05,1.0678994862049902,0.0011347012658191602,0.04375062157310171,0.049086836837977654,0.025448868161371006,7.453570499934867e-05,23,0.5082467979616693,0.05229369728524233,0.5549140239128324,0.07453570499934867,0.4803783189134837,0.9769217078058524,0.04925984071890999,0.022460962429527213,0.4475136669873151
2019-03-06,1.0652599233583968,-0.002471733417508837,0.04897331662184015,0.04289433052590289,0.029388215781635103,7.2282546307538e-05,21,0.5351334199005864,0.052196351772047477,0.6109895675211456,0.072282546307538,0.5387070212136076,1.051852334480282,0.05423953133319538,0.015302635130023425,0.48142147513450073
2019-03-07,1.0613508272805272,-0.003669617144279269,0.016936301371462157,0.012689991401525201,0.011007742602630509,2.3697734004155708e-05,20,0.5472665279506066,0.05190597499201668,0.5473571162434803,0.02369773400415571,0.5236593822393245,1.016208408975285,0.039615423619380696,0.016036044291576373,0.44383885829440434
