capital_usd,pass,pre_exec_cagr,pre_cagr_retention,pre_exec_dd,pre_exec_turnover,pre_median_holdings,pre_p95_exec_l1,pre_mean_inaccessible,hold_exec_cagr,hold_cagr_retention,hold_exec_dd,hold_exec_turnover,hold_median_holdings,hold_p95_exec_l1,hold_mean_inaccessible,current_fit_pass,current_holdings,current_cash,current_l1,current_p95_abs_error,current_max_overweight,current_inaccessible_target_weight,pre_gate_cagr_retention,pre_gate_cagr_shortfall,pre_gate_dd,pre_gate_turnover,pre_gate_tracking,hold_gate_cagr_retention,hold_gate_cagr_shortfall,hold_gate_dd,hold_gate_turnover,hold_gate_tracking
320.42,False,0.1602559860719992,0.4972179401882992,-0.20407016443476245,10.356400472978013,19.0,1.3028013286796956,0.4492958804831657,0.05771274485811784,0.19088624377207813,-0.1388943340001676,10.86389786278299,10.0,1.5005596721153802,0.4736573553913434,False,10,0.5101042588132759,1.0984243410565648,0.0543248626923745,0.032359210680985344,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
500.0,False,0.16184337598327048,0.5021430525744499,-0.2088190405088689,9.824522512819364,21.0,1.2610003330348,0.45016456486415135,0.08929315012448491,0.29533916752257333,-0.1466070817159384,11.776385757137021,12.0,1.4474650092190218,0.47388517958242,False,12,0.43004059369755887,0.9812125619560397,0.0543248626923745,0.020669246963470993,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
750.0,False,0.16181962104234504,0.5020693493507155,-0.2034307010811336,9.365550986919828,22.0,1.2236194592276228,0.4507026870390912,0.10010389884232129,0.33109596994437546,-0.14738698504633052,12.556649580557762,15.0,1.38795506146243,0.4735855339261279,False,13,0.46086681813061015,0.9596773203859689,0.0543248626923745,0.008877736983130623,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
1000.0,False,0.16154922485203227,0.5012304051085847,-0.20119200066930198,9.296650995183006,23.0,1.2190583524108307,0.45110875997322675,0.10021161681958923,0.3314522496555199,-0.15684267705367883,11.642684062964756,16.0,1.338191447784962,0.473343153685838,False,14,0.3319633877217084,0.8040407871306958,0.0491696886495237,0.04014044660881565,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
1500.0,False,0.1602850128829585,0.4973080001698897,-0.20492395001813757,9.203428024307335,23.0,1.2193598328336128,0.4513262644722254,0.11001175677755204,0.36386644013658553,-0.15587663389146522,11.673572791517337,18.0,1.3293853310660952,0.47379774449537976,False,16,0.3630845781461489,0.7812759857471316,0.0491696886495237,0.007593780145599499,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
2000.0,False,0.16159272526972268,0.5013653715994567,-0.2070641361673098,9.188852625897141,24.0,1.2053314301924263,0.4513728058633469,0.13015815908420114,0.43050113358760145,-0.15247226812499282,11.41715328909588,19.0,1.3117104248188602,0.4741642605002643,False,17,0.3549624783403572,0.7575935127935431,0.0491696886495237,0.00864308379890074,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
3000.0,False,0.1611037939023412,0.49984838959247163,-0.2033587384136435,9.123186133743733,24.0,1.2012455822956536,0.45146910517686223,0.14246561011546643,0.47120831366615507,-0.15676446429859292,11.125419051685114,20.0,1.2768680160621928,0.47426180085146674,False,18,0.35130536473171925,0.7322511171652102,0.0491696886495237,0.007593780145599499,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
5000.0,False,0.16004697578077254,0.4965694547929693,-0.20486593928442354,9.11750495124141,24.0,1.2038693751871807,0.4515857806485559,0.13096186058499493,0.4331593949643158,-0.15420318514950637,10.673534673033016,20.0,1.2471015490861286,0.4744385216026346,False,18,0.35307381018890727,0.7124472643911692,0.0491696886495237,0.0038673837256585526,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
7500.0,False,0.1605129757494923,0.4980152887381086,-0.20458591279574734,9.12063007830142,24.0,1.2010021393663397,0.45167074795143336,0.13031560726944735,0.4310218971164245,-0.1552652041010818,10.685611231121053,21.0,1.2528906199703016,0.47470627268827936,False,19,0.35151075202452275,0.7099616747111046,0.0491696886495237,0.004338774171527619,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
10000.0,False,0.16074096856057607,0.4987226702137302,-0.20449122831056166,9.123008706681462,24.0,1.2029184253597218,0.45169723507752,0.13339208965416827,0.44119743404321715,-0.15428164442860526,10.797201594590112,21.0,1.2499195943076309,0.47474168289467306,False,19,0.3514519437656184,0.6990506585516301,0.0491696886495237,0.0013073742284937639,0.33624753948419966,False,False,True,True,False,False,False,True,True,False
