end_month,window_months,strategy_cagr,spy_cagr,spread
2014-10,60,0.11746259262451608,0.13926031592634902,-0.02179772330183294
2014-10,60,0.11936000031436733,0.14268693307856295,-0.023326932764195618
2014-10,60,0.11103825466146477,0.1461238566593812,-0.03508560199791644
2014-10,60,0.12220049596965032,0.14957111766802722,-0.027370621698376896
2014-10,60,0.11515776541552603,0.15302874719696247,-0.03787098178143644
2014-11,60,0.11460292376043468,0.15738158853719075,-0.04277866477675607
2014-11,60,0.1215764234729464,0.1617508624492685,-0.04017443897632211
2014-11,60,0.12457497680351337,0.16613663096840425,-0.04156165416489088
2014-11,60,0.11413420381763495,0.17053895636399696,-0.056404752546362014
2014-11,60,0.09145742886910013,0.17527137068712073,-0.0838139418180206
2014-11,60,0.08898042538832462,0.18002291785943703,-0.0910424924711124
2014-11,60,0.07240774045169429,0.18479367523383394,-0.11238593478213965
2014-11,60,0.05299669649991823,0.18958372047593341,-0.1365870239760152
2014-12,60,0.04608418876757625,0.18733349632564678,-0.14124930755807052
2014-12,60,0.040570642792118417,0.18508752871371015,-0.14451688592159173
2014-12,60,0.03585016639439287,0.18284580958842822,-0.14699564319403535
2014-12,60,0.02690958546416855,0.1806083309133364,-0.15369874544916784
2014-12,60,0.024505895019544255,0.17460708015895943,-0.15010118513941517
2014-12,60,0.010315331416324236,0.16863633487339302,-0.1583210034570688
2014-12,60,0.005506212094974039,0.16269593999169163,-0.1571897278967176
2014-12,60,0.006854364577012939,0.15678574123713185,-0.1499313766601189
2015-01,60,0.014606958513531776,0.14458447215140646,-0.1299775136378747
2015-01,60,0.02084716106008022,0.13251189670530272,-0.1116647356452225
2015-01,60,0.025895866624415342,0.12056665749470441,-0.09467079087028907
2015-01,60,0.03384499498732274,0.10874741143279931,-0.07490241644547657
2015-01,60,0.048109873904355505,0.0976028686661532,-0.04949299476179769
2015-01,60,0.06752369598821262,0.08657034495109328,-0.019046648962880663
2015-01,60,0.08200144554565991,0.0756487143313398,0.0063527312143201176
2015-01,60,0.10367373582344874,0.06483686216812945,0.03883687365531929
2015-02,60,0.09845246243157879,0.07215530363018985,0.026297158801388942
2015-02,60,0.08592519513410846,0.07952404348755948,0.006401151646548975
2015-02,60,0.08251768102548596,0.08694342743249939,-0.004425746407013431
2015-02,60,0.08243388029248111,0.0944138035331532,-0.011979923240672097
2015-02,60,0.04733570412581822,0.10944617008726953,-0.06211046596145131
2015-02,60,0.027270649815253067,0.12468501434066925,-0.09741436452541619
2015-02,60,-0.00044049162558157384,0.14013317237642298,-0.14057366400200455
2015-02,60,-0.022583351974929777,0.15579351923273954,-0.17837687120766932
2015-03,60,-0.03341099696542371,0.15526174073181376,-0.18867273769723747
2015-03,60,-0.02356261816914562,0.1547302069012113,-0.17829282507035693
2015-03,60,-0.03844084581313012,0.1541989176283598,-0.19263976344148992
2015-03,60,-0.04653316462695034,0.15366787280073835,-0.2002010374276887
2015-03,60,-0.01228815440731279,0.14115327480946416,-0.15344142921677695
2015-03,60,0.020620596673075697,0.12877443093475627,-0.10815383426168057
2015-03,60,0.052495008891809025,0.11652986856197911,-0.06403485967017009
2015-03,60,0.08638052548187325,0.1044181310509209,-0.018037605569047654
2015-04,60,0.09910264870353225,0.09804882955437821,0.0010538191491540339
2015-04,60,0.1471458950328266,0.09171626052393034,0.055429634508896264
2015-04,60,0.2222415478334807,0.08542021211938411,0.1368213357140966
2015-04,60,0.23977165422009383,0.07916047372225021,0.16061118049784362
2015-04,60,0.24661548840733705,0.08428305472929631,0.16233243367804073
2015-04,60,0.2625696448316397,0.08942995170863055,0.17313969312300914
2015-04,60,0.27553243993332144,0.09460128008380764,0.1809311598495138
2015-04,60,0.2692501177794324,0.09979715582627735,0.16945296195315507
2015-05,60,0.27286579139148226,0.10567835086741795,0.1671874405240643
2015-05,60,0.2627995380591941,0.11159099575813225,0.15120854230106184
2015-05,60,0.2580274462781318,0.11753525867734127,0.14049218760079052
2015-05,60,0.26927754193262765,0.12351130870330773,0.14576623322931992
2015-05,60,0.2631433587620746,0.12115369379363994,0.14198966496843468
2015-05,60,0.27452883085294766,0.11880102618447475,0.1557278046684729
2015-05,60,0.2898975084415787,0.11645329549422612,0.17344421294735257
2015-05,60,0.28097235884148186,0.11411049136309326,0.1668618674783886
2015-06,60,0.28329073331315113,0.10439380965549128,0.17889692365765986
2015-06,60,0.30043145937979965,0.09476187170009265,0.205669587679707
2015-06,60,0.28992098085620843,0.08521393840676783,0.2047070424494406
2015-06,60,0.2829487534941144,0.07574927713134061,0.2071994763627738
2015-06,60,0.2898686568844602,0.06555192956250444,0.22431672732195573
2015-06,60,0.2943970041184567,0.05545124568626836,0.23894575843218835
2015-06,60,0.2998362179862113,0.04544630919872117,0.2543899087874901
2015-06,60,0.30867891548902615,0.03553621248186811,0.27314270300715804
2015-07,60,0.322565016536178,0.034550149265944574,0.2880148672702334
2015-07,60,0.30211002099837336,0.03356502500382508,0.2685449959945483
2015-07,60,0.2926453203069248,0.03258083880141438,0.2600644815055104
2015-07,60,0.29172781514835444,0.03159758976546878,0.26013022538288566
2015-07,60,0.27324971700309497,0.03674309867343828,0.2365066183296567
2015-07,60,0.2598516139716853,0.04191427288170013,0.2179373410899852
