strategy,one_way_bps,cagr_net,ann_return_net,max_drawdown_net,avg_turnover
FINAL_OPTIMIZER,0.5,0.25225818881571094,0.24515667695877827,-0.20468786476134004,0.15322575111414086
FINAL_OPTIMIZER,5.0,0.25021979824457774,0.24350183884674553,-0.20553710149662152,0.15322575111414086
FINAL_OPTIMIZER,10.0,0.24795830584951917,0.24166312983337584,-0.20647985772032562,0.15322575111414086
FINAL_OPTIMIZER,25.0,0.24119516648235617,0.23614700279326684,-0.2093028263854817,0.15322575111414086
FINAL_OPTIMIZER,50.0,0.2299941032866466,0.2269534577264184,-0.21399014536778316,0.15322575111414086
FULL_ALPHA_CONVICTION,0.5,0.34513666876266536,0.3404938616285121,-0.23128774244220873,0.37767635122256593
FULL_ALPHA_CONVICTION,5.0,0.3398447460515981,0.3364149570353084,-0.23143312052266252,0.37767635122256593
FULL_ALPHA_CONVICTION,10.0,0.33398658788705493,0.33188284082063757,-0.23159463642549716,0.37767635122256593
FULL_ALPHA_CONVICTION,25.0,0.31654874846710235,0.3182864921766252,-0.23560793891786203,0.37767635122256593
FULL_ALPHA_CONVICTION,50.0,0.2879364477391644,0.2956259111032712,-0.2533396095627106,0.37767635122256593
FULL_ALPHA_EQUAL,0.5,0.23679133743190084,0.2302013010062025,-0.19922574440641017,0.24790291408487083
FULL_ALPHA_EQUAL,5.0,0.23353332181993758,0.22752394953408595,-0.20109410529803173,0.24790291408487083
FULL_ALPHA_EQUAL,10.0,0.22992238832266398,0.2245491145650675,-0.2031656494866203,0.24790291408487083
FULL_ALPHA_EQUAL,25.0,0.2191467380379395,0.2156246096580121,-0.20935250127651583,0.24790291408487083
FULL_ALPHA_EQUAL,50.0,0.20137647265833958,0.20075043481291988,-0.2195718473442818,0.24790291408487083
FULL_ALPHA_RISK,0.5,0.3237920555128755,0.316859841980382,-0.21230489507658268,0.39508069315478056
FULL_ALPHA_RISK,5.0,0.31831575182408756,0.3125929704943103,-0.21247666389731135,0.39508069315478056
FULL_ALPHA_RISK,10.0,0.3122547455588187,0.3078520021764529,-0.21266751814256535,0.39508069315478056
FULL_ALPHA_RISK,25.0,0.2942209948212706,0.2936290972228809,-0.21324008087832746,0.39508069315478056
FULL_ALPHA_RISK,50.0,0.2646568754523777,0.269924255633594,-0.2141943521045977,0.39508069315478056
RG_ONLY,0.5,0.23050648526136608,0.23133463216102407,-0.29709957670838594,0.05169266142647645
RG_ONLY,5.0,0.22982693057858117,0.23077635141761815,-0.29758828230649237,0.05169266142647645
RG_ONLY,10.0,0.22907212067189775,0.23015603948050045,-0.29813110257479314,0.05169266142647645
RG_ONLY,25.0,0.22680927447741683,0.2282951036691473,-0.2997583893989081,0.05169266142647645
RG_ONLY,50.0,0.22304313765601913,0.22519354398355867,-0.30246662360114107,0.05169266142647645
RG_SY_EQUAL,0.5,0.21950799650698816,0.2168901537335978,-0.23360346697848589,0.07719041020020817
RG_SY_EQUAL,5.0,0.21850794539825857,0.21605649730343554,-0.23400119254039498,0.07719041020020817
RG_SY_EQUAL,10.0,0.21739751570416987,0.21513021238103314,-0.23444307356844907,0.07719041020020817
RG_SY_EQUAL,25.0,0.21407088455128376,0.21235135761382556,-0.2357684876234145,0.07719041020020817
RG_SY_EQUAL,50.0,0.20854199872580192,0.20771993300181307,-0.2379767476177026,0.07719041020020817
SY_ONLY,0.5,0.2135381429573573,0.21495628261467487,-0.2899387309829654,0.048650845270868576
SY_ONLY,5.0,0.21290738448519608,0.21443085348574947,-0.2903525863645817,0.048650845270868576
SY_ONLY,10.0,0.2122068051491084,0.21384704334249904,-0.29081219934556246,0.048650845270868576
SY_ONLY,25.0,0.21010672954658838,0.2120956129127478,-0.29218960973088204,0.048650845270868576
SY_ONLY,50.0,0.20661213729040262,0.2091765621964957,-0.2944805373982847,0.048650845270868576
TREND_ONLY,0.5,0.2259546553079934,0.22299388482158344,-0.25171016602431495,0.4385979057331421
TREND_ONLY,5.0,0.2202612850098573,0.21825702743966555,-0.25521305452145804,0.4385979057331421
TREND_ONLY,10.0,0.2139635727506055,0.21299385257086784,-0.25908779955223105,0.4385979057331421
TREND_ONLY,25.0,0.19524765062338734,0.19720432796447468,-0.27060318415135376,0.4385979057331421
TREND_ONLY,50.0,0.16463766421712234,0.17088845362048619,-0.28943720246122207,0.4385979057331421
