date,effective_n,top1,top5,top10,n_gt_1pct,n_gt_2pct,n_gt_5pct
2019-01-03,48.69930964131548,0.061994022649327504,0.19209013457025706,0.3283730209725912,34,17,1
2019-01-04,48.06884017031811,0.06281436258070254,0.19606871610101706,0.3302158548340932,38,17,1
2019-01-07,48.00383143484368,0.06580822208171817,0.193920275186352,0.33198855573885755,35,18,1
2019-01-08,48.403519446706,0.06509563689963367,0.1969542848501243,0.33181776342720776,35,16,1
2019-01-09,48.09171884128119,0.05937161181908928,0.20836026347525505,0.34656703606926853,37,14,1
2019-01-10,47.79614796058313,0.06564451969284342,0.20543281268139757,0.3334494683179971,40,15,1
2019-01-11,48.66334244974836,0.06522761716564035,0.21055851028558434,0.3428768486215156,38,10,1
2019-01-14,48.989541244114875,0.06379820376526261,0.21242035904566828,0.3435603869484348,38,13,1
2019-01-15,48.61211820274811,0.06421984090703792,0.2018823745558922,0.3322073988952626,31,15,1
2019-01-16,48.921619045165194,0.054264582829523275,0.197961046854647,0.33470858111792423,34,15,1
2019-01-17,49.79552001325858,0.05479808355109683,0.20036886282390323,0.3351266727907177,37,14,1
2019-01-18,47.06356709058428,0.05421039289967004,0.2014739022540127,0.3457478764895876,32,18,1
2019-01-22,48.867109540416195,0.058787951143438,0.1924830661229605,0.33672751171479975,36,16,1
2019-01-23,50.852626174654254,0.05869844257868357,0.17992972347448577,0.31077463062294763,35,16,1
2019-01-24,52.045909972453046,0.05985050159036589,0.1849922769029316,0.30877936463059813,37,14,1
2019-01-25,51.37770257080925,0.05549394724909053,0.19611305818359143,0.31929510216081697,38,14,1
2019-01-28,49.6744595136962,0.044878388849584075,0.19464327772533838,0.33082860646327045,33,17,0
2019-01-29,55.258200312573706,0.04303817710244765,0.18023332630298797,0.30478792048108677,37,15,0
2019-01-30,56.84126866184595,0.03724786359679513,0.1655460251112919,0.3037080054960486,36,14,0
2019-01-31,54.703993214468184,0.03750917407579174,0.17292501766544408,0.3140990342447505,33,15,0
2019-02-01,51.53116812213459,0.049681823684494225,0.1884554095109669,0.3225971863665216,38,16,0
2019-02-04,50.69553330453602,0.04962801909229685,0.19027754953654755,0.3286484152433141,37,15,0
2019-02-05,51.02733591490177,0.04707259815893469,0.19289946033357602,0.3289272251907535,40,14,0
2019-02-06,49.211496239998915,0.05110146310954456,0.20700243122262216,0.3380924201536876,39,14,1
2019-02-07,50.71856329038934,0.0387793093070569,0.18616706416774906,0.3270278424353541,37,16,0
2019-02-08,49.13836385029058,0.05000131761963255,0.2033789308993259,0.34093751088432733,35,15,1
