sample,cost_bps,baseline_cagr,candidate_cagr,delta_cagr,baseline_max_dd,candidate_max_dd,baseline_turnover,candidate_turnover,baseline_median_holdings,candidate_median_holdings,baseline_p95_max_name,candidate_p95_max_name,baseline_max_name,candidate_max_name
PRE2025_OOF,20.0,0.32230531748574753,0.1771903971361095,-0.14511492034963802,-0.3678858015329515,-0.42724152701080154,15.305390220537522,56.210925356670884,44.0,10.0,0.13203103550412756,0.5214607952648617,0.9403477544689347,0.9403477544689348
PRE2025_OOF,40.0,0.2882790646432414,0.05730331696046109,-0.23097574768278029,-0.3709365081065399,-0.4827344503583578,15.305390220537522,56.210925356670884,44.0,10.0,0.13203103550412756,0.5214607952648617,0.9403477544689347,0.9403477544689348
PRE2025_OOF,60.0,0.2551216216546013,-0.05044335327172089,-0.3055649749263222,-0.3739734982169367,-0.5791263835773652,15.305390220537522,56.210925356670884,44.0,10.0,0.13203103550412756,0.5214607952648617,0.9403477544689347,0.9403477544689348
FINAL_HOLDOUT_POSTHOC,20.0,0.30234103682729474,0.0971238740983369,-0.20521716272895785,-0.2459151937657994,-0.24174839000286352,18.58071085154936,47.54876849133376,39.0,12.0,0.14768603711126063,0.43227945730286577,0.1981612036972169,0.5794271144180554
FINAL_HOLDOUT_POSTHOC,40.0,0.2601369226503205,0.0007659174220115972,-0.2593710052283089,-0.2484354476914845,-0.2488563231077956,18.58071085154936,47.54876849133376,39.0,12.0,0.14768603711126063,0.43227945730286577,0.1981612036972169,0.5794271144180554
FINAL_HOLDOUT_POSTHOC,60.0,0.21929337884752753,-0.08716894938028574,-0.3064623282278133,-0.2509517517386095,-0.3101717410182657,18.58071085154936,47.54876849133376,39.0,12.0,0.14768603711126063,0.43227945730286577,0.1981612036972169,0.5794271144180554
