decile,rows,mean_fwd_return_20d,mean_excess_spy_20d,mean_excess_uew_20d,median_conviction
1,32653,0.026125730064978186,0.012571096403923492,0.009757739037801453,-0.05409394045053612
2,33385,0.012651208253140424,-0.0009817605033351378,-0.0037631644447371653,-0.017457403631472152
3,33128,0.011852519818419267,-0.0016510421502615128,-0.0045012376804426674,0.0019454062309881511
4,33280,0.0084750651459177,-0.005097259351931815,-0.007904159322025348,0.019526778170524464
5,33482,0.010911670202095445,-0.0026521056875886293,-0.005473281479448334,0.03567617115962614
6,33091,0.014637624873844369,0.0009885250815562425,-0.0018221549988417264,0.05342963968831619
7,33147,0.013296979031487325,-0.00027418943582728993,-0.0031090969675699443,0.07627052571360352
8,33261,0.015622352939357381,0.0021173639432114115,-0.0007047468945228825,0.11346433770333801
9,33252,0.021520450928843214,0.007888391990055097,0.005079170904596547,0.17809164990480775
10,33923,0.028743877999594672,0.015135423867274797,0.01233288957100881,0.2874126982955561
