horizon_skill_beta,uncertainty_z,entry_hurdle_bps,sparsity_bps,rebalance_extra_edge_bps,cagr_20bps,robust_excess_cagr_20bps,excess_vs_spy_20bps,excess_vs_qqq_20bps,excess_vs_uew_20bps,cagr_40bps,robust_excess_cagr_40bps,max_drawdown_20bps,annual_turnover_20bps,median_holdings_20bps,max_holdings_20bps,median_max_name_weight_20bps,p95_max_name_weight_20bps,mean_cash_weight_20bps,execution_blocked_rate_20bps,target_deviation_rate_20bps,qualified,return_first_rank
0.0,0.0,0.0,500.0,0.0,0.026050801366013676,-0.22310524563734968,-0.0003152156745616086,0.09931307451760141,-0.22310524563734968,0.012774805127638622,-0.23638124187572473,-0.05364337607850256,6.807861986944559,124.0,155,0.18026872046551132,0.23751913068904712,0.0021178109155725244,0.48406808290207337,0.9674911677420892,False,1
0.0,0.0,100.0,500.0,0.0,0.026050801366013676,-0.22310524563734968,-0.0003152156745616086,0.09931307451760141,-0.22310524563734968,0.012774805127638622,-0.23638124187572473,-0.05364337607850256,6.807861986944559,124.0,155,0.18026872046551132,0.23751913068904712,0.0021178109155725244,0.48406808290207337,0.9674911677420892,False,2
0.0,0.0,250.0,500.0,0.0,0.026050801366013676,-0.22310524563734968,-0.0003152156745616086,0.09931307451760141,-0.22310524563734968,0.012774805127638622,-0.23638124187572473,-0.05364337607850256,6.807861986944559,124.0,155,0.18026872046551132,0.23751913068904712,0.0021178109155725244,0.48406808290207337,0.9674911677420892,False,3
0.0,0.5,0.0,500.0,0.0,0.026050801366013676,-0.22310524563734968,-0.0003152156745616086,0.09931307451760141,-0.22310524563734968,0.012774805127638622,-0.23638124187572473,-0.05364337607850256,6.807861986944559,124.0,155,0.18026872046551132,0.23751913068904712,0.0021178109155725244,0.48406808290207337,0.9674911677420892,False,4
0.0,0.5,100.0,500.0,0.0,0.026050801366013676,-0.22310524563734968,-0.0003152156745616086,0.09931307451760141,-0.22310524563734968,0.012774805127638622,-0.23638124187572473,-0.05364337607850256,6.807861986944559,124.0,155,0.18026872046551132,0.23751913068904712,0.0021178109155725244,0.48406808290207337,0.9674911677420892,False,5
0.0,0.5,250.0,500.0,0.0,0.026050801366013676,-0.22310524563734968,-0.0003152156745616086,0.09931307451760141,-0.22310524563734968,0.012774805127638622,-0.23638124187572473,-0.05364337607850256,6.807861986944559,124.0,155,0.18026872046551132,0.23751913068904712,0.0021178109155725244,0.48406808290207337,0.9674911677420892,False,6
1.5,0.0,0.0,250.0,0.0,0.023376566350957306,-0.22577948065240605,-0.0029894506896179784,0.09663883950254504,-0.22577948065240605,0.011900579291715063,-0.2372554677116483,-0.04263037183556739,6.439604817077233,135.0,165,0.1863293539411847,0.23506953051275958,0.0021106299365678373,0.4847867588921575,0.9688855760490633,False,7
1.5,0.0,100.0,250.0,0.0,0.023376566350957306,-0.22577948065240605,-0.0029894506896179784,0.09663883950254504,-0.22577948065240605,0.011900579291715063,-0.2372554677116483,-0.04263037183556739,6.439604817077233,135.0,165,0.1863293539411847,0.23506953051275958,0.0021106299365678373,0.4847867588921575,0.9688855760490633,False,8
1.5,0.0,250.0,250.0,0.0,0.023376566350957306,-0.22577948065240605,-0.0029894506896179784,0.09663883950254504,-0.22577948065240605,0.011900579291715063,-0.2372554677116483,-0.04263037183556739,6.439604817077233,135.0,165,0.1863293539411847,0.23506953051275958,0.0021106299365678373,0.4847867588921575,0.9688855760490633,False,9
1.5,0.5,0.0,250.0,0.0,0.023376566350957306,-0.22577948065240605,-0.0029894506896179784,0.09663883950254504,-0.22577948065240605,0.011900579291715063,-0.2372554677116483,-0.04263037183556739,6.439604817077233,135.0,165,0.1863293539411847,0.23506953051275958,0.0021106299365678373,0.4847867588921575,0.9688855760490633,False,10
