fold,horizon_sessions,prior_reliability_weight,prior_economic_skill
WF_2019_2020,5,0.16666666666666669,0.0
WF_2019_2020,10,0.16666666666666669,0.0
WF_2019_2020,20,0.16666666666666669,0.0
WF_2019_2020,60,0.16666666666666669,0.0
WF_2019_2020,120,0.16666666666666669,0.0
WF_2019_2020,252,0.16666666666666669,0.0
WF_2021_2022,5,0.2909654339816894,-0.0015505568970437683
WF_2021_2022,10,0.28799901870137923,-0.001969141448379057
WF_2021_2022,20,0.2754577197765505,-0.003791575517553347
WF_2021_2022,60,0.09376881986135523,-0.051024062197568325
WF_2021_2022,120,0.026639549740679065,-0.14258579236899807
WF_2021_2022,252,0.025169457938346754,-0.35174111301226857
WF_2023_2024,5,0.28481726360566084,-0.005091581288881594
WF_2023_2024,10,0.3190744203640805,-0.0018924010960962095
WF_2023_2024,20,0.22317988966407237,-0.012059114274226021
WF_2023_2024,60,0.12115552613706408,-0.030399993427660105
WF_2023_2024,120,0.02588645011456104,-0.11994070076907151
WF_2023_2024,252,0.02588645011456104,-0.23181521090668444
