horizon_sessions,bin,score_center,raw_mean_return,hac_se_return,raw_mean_robust_excess,hac_se_robust_excess,dates,expected_return,expected_robust_excess
5,0,0.025,0.016045846385573916,0.00718825571094803,0.0038618719559949063,0.006364097130606916,1006,0.00428605304758239,-0.0078560357868843
5,1,0.075,0.004636291352389465,0.002452191303483475,-0.007498788126595498,0.0016394131211146473,1002,0.00428605304758239,-0.0078560357868843
5,2,0.125,0.0030626928856806704,0.0019792905057845786,-0.009082409962757866,0.0012481535905331448,1004,0.00428605304758239,-0.0078560357868843
5,3,0.175,0.004208208485356946,0.0017770572321271706,-0.007977227931754788,0.0011761805680668542,1006,0.00428605304758239,-0.0078560357868843
5,4,0.225,0.0015586071781600206,0.0017974724540244713,-0.010587960570137,0.0010604523140807726,1004,0.00428605304758239,-0.0078560357868843
5,5,0.275,0.0021698547204705805,0.0018385150751435773,-0.009977278742471065,0.000990715991068336,1003,0.00428605304758239,-0.0078560357868843
5,6,0.325,0.003721253423767686,0.0018300985994303303,-0.008413826055217278,0.0010257191632614506,1002,0.00428605304758239,-0.0078560357868843
5,7,0.375,0.002711866832494609,0.001857653302729447,-0.009423212646490353,0.0009807837044381877,1002,0.00428605304758239,-0.0078560357868843
5,8,0.425,0.0031710720727257595,0.0018393698300742446,-0.008964007406259203,0.000969840441323108,1002,0.00428605304758239,-0.0078560357868843
5,9,0.475,0.004477317186548916,0.00183420221304991,-0.007657762292436049,0.0009513573299133836,1002,0.00428605304758239,-0.0078560357868843
5,10,0.525,0.0038140697537768905,0.001912164712841847,-0.008321009725208073,0.0009648281760890477,1002,0.00428605304758239,-0.0078560357868843
5,11,0.575,0.0038495611139394486,0.001874413863743364,-0.008285518365045517,0.0008869796914398438,1002,0.00428605304758239,-0.0078560357868843
5,12,0.625,0.0035103301248004815,0.0019377543540098235,-0.008624749354184481,0.0008327831682552961,1002,0.00428605304758239,-0.0078560357868843
5,13,0.675,0.004613225740353895,0.0019856831759694654,-0.00752185373863107,0.0008252150108232478,1002,0.00428605304758239,-0.0078560357868843
5,14,0.725,0.0038468445120491516,0.0021601934222818175,-0.008288234966935811,0.0008738683156489058,1002,0.00428605304758239,-0.0078560357868843
5,15,0.775,0.004167086231003759,0.002269628215241095,-0.007967993247981205,0.0008708583715640062,1002,0.00428605304758239,-0.0078560357868843
5,16,0.825,0.0054022685388530845,0.002382837988667051,-0.00673281094013188,0.0010392204834160869,1002,0.00428605304758239,-0.0078560357868843
5,17,0.875,0.0036729748434641027,0.0022651221466645243,-0.00846210463552086,0.001091910547855691,1002,0.00428605304758239,-0.0078560357868843
5,18,0.925,0.0027589998113652973,0.002616313802887265,-0.009376079667619665,0.0014509494476866976,1002,0.00428605304758239,-0.0078560357868843
5,19,0.975,0.01574449080231712,0.0059319940605681585,0.003606462499487279,0.005191704674481715,1004,0.01574449080231712,0.003606462499487279
10,0,0.025,0.027187659178910206,0.00911731845596273,0.008607068748212605,0.008002720121863436,1001,0.008115905485774724,-0.01045620147606896
10,1,0.075,0.00506028869300635,0.004561906054916451,-0.013554772222697702,0.0026437652857672304,1001,0.008115905485774724,-0.01045620147606896
10,2,0.125,0.007853587629540259,0.0037908803635657716,-0.01102588111584987,0.0023312987567116954,1007,0.008115905485774724,-0.01045620147606896
10,3,0.175,0.005494948547830025,0.0031937322002707574,-0.013068368879450676,0.0018353914664257065,999,0.008115905485774724,-0.01045620147606896
10,4,0.225,0.010623996731602157,0.006259830367868347,-0.007901175329393583,0.0049367631866971615,997,0.008115905485774724,-0.01045620147606896
10,5,0.275,0.006461080569037027,0.0033320990837534697,-0.012064091491958712,0.0017573859662529398,997,0.008115905485774724,-0.01045620147606896
10,6,0.325,0.006131001499202658,0.003394895830909537,-0.012401817905626316,0.0018391983558058592,998,0.008115905485774724,-0.01045620147606896
10,7,0.375,0.006051249966963497,0.0035014810071253826,-0.012543877426718492,0.001858939638255263,999,0.008115905485774724,-0.01045620147606896
10,8,0.425,0.006922007508977049,0.0036081094152053757,-0.011603164552018694,0.0018783236522593482,997,0.008115905485774724,-0.01045620147606896
10,9,0.475,0.008330963370046079,0.0037611558430110234,-0.010194208690949664,0.001810818835278494,997,0.008115905485774724,-0.01045620147606896
10,10,0.525,0.009211314628013098,0.0037912801015726294,-0.009313857432982645,0.0016123466876456544,997,0.008115905485774724,-0.01045620147606896
10,11,0.575,0.0072608270688675714,0.0037661216780600234,-0.01126434499212817,0.001558472412954031,997,0.008115905485774724,-0.01045620147606896
10,12,0.625,0.007389961637465021,0.0037586810593866543,-0.01121436149829398,0.0015366634480439615,998,0.008115905485774724,-0.01045620147606896
10,13,0.675,0.005851716166400536,0.0038123906977558584,-0.012743960910166816,0.001574438169077472,998,0.008115905485774724,-0.01045620147606896
10,14,0.725,0.006433488769432333,0.004030002357217255,-0.01209168329156341,0.0015802601597378228,997,0.008115905485774724,-0.01045620147606896
10,15,0.775,0.005462485955558875,0.004156276953552506,-0.013138094339645754,0.0017724087879060098,998,0.008115905485774724,-0.01045620147606896
10,16,0.825,0.007343758333614793,0.004631803894757045,-0.011181413727380952,0.001958730473863436,997,0.008115905485774724,-0.01045620147606896
10,17,0.875,0.006974820631025212,0.004940081591876337,-0.011551538136580062,0.0020099007099906386,1000,0.008115905485774724,-0.01045620147606896
10,18,0.925,0.008964214203934234,0.005524903484282151,-0.009574274456604692,0.0025913050321312893,998,0.008964214203934234,-0.009574274456604692
10,19,0.975,0.012810217490804326,0.006851880670162801,-0.005714954570191417,0.0045527636283720346,997,0.012810217490804326,-0.005714954570191417
20,0,0.025,0.03549659304424276,0.01457631934186854,0.004299706836602926,0.011782044986495665,1004,0.014971477524105641,-0.016028518558795224
20,1,0.075,0.014186232655714587,0.01061214738077783,-0.017309225092871663,0.0068465989059198,995,0.014971477524105641,-0.016028518558795224
20,2,0.125,0.016156793330527615,0.00671768167052214,-0.015081771858956941,0.0038381756012739812,1001,0.014971477524105641,-0.016028518558795224
20,3,0.175,0.013437244038011588,0.0061940313876462354,-0.01739314734456021,0.0038901556616442443,989,0.014971477524105641,-0.016028518558795224
20,4,0.225,0.01148839310008,0.006680795744583574,-0.019410286747890127,0.003409192507643376,987,0.014971477524105641,-0.016028518558795224
20,5,0.275,0.010646303833750436,0.005913414526683828,-0.020252376014219687,0.003421009761869824,987,0.014971477524105641,-0.016028518558795224
20,6,0.325,0.009616056728220405,0.006230728269823291,-0.021282623119749714,0.003350269256615442,987,0.014971477524105641,-0.016028518558795224
20,7,0.375,0.012835774434441073,0.006976003606131551,-0.01806290541352905,0.0030938310626731384,987,0.014971477524105641,-0.016028518558795224
20,8,0.425,0.015513430097240094,0.00712608788669647,-0.015460684943480824,0.0032888933857696,988,0.014971477524105641,-0.016028518558795224
20,9,0.475,0.014745989929331495,0.007216413237457688,-0.016152689918638625,0.003293878187232259,987,0.014971477524105641,-0.016028518558795224
20,10,0.525,0.014638982802313754,0.007024168926259918,-0.016259697045656368,0.0032884363713682335,987,0.014971477524105641,-0.016028518558795224
20,11,0.575,0.01385161740361321,0.006844021576244277,-0.017212758243976802,0.002801882937236986,997,0.014971477524105641,-0.016028518558795224
20,12,0.625,0.014247530515569031,0.007066545787225846,-0.016627533780930546,0.003065185650529228,988,0.014971477524105641,-0.016028518558795224
20,13,0.675,0.012393024163822769,0.007555833993489209,-0.018529118399081442,0.003028809195063357,988,0.014971477524105641,-0.016028518558795224
20,14,0.725,0.018077950653958084,0.007959090986347459,-0.01276185811996388,0.0028047863066956824,988,0.017469948328814298,-0.013353385833025557
20,15,0.775,0.016861946003670518,0.008403204406140464,-0.013944913546087232,0.0024670199817518603,988,0.017469948328814298,-0.013353385833025557
20,16,0.825,0.023253417110661975,0.010404311769003636,-0.007752286170753499,0.004315010817187097,991,0.01852136732178818,-0.012489387285342225
20,17,0.875,0.01774161973186664,0.010634553726346248,-0.013129871215344677,0.004665628356957883,990,0.01852136732178818,-0.012489387285342225
20,18,0.925,0.014576240205220607,0.012317560803496278,-0.016578398477542625,0.006701874873823618,993,0.01852136732178818,-0.012489387285342225
20,19,0.975,0.027229335150864377,0.017407588989841603,-0.004005997877370768,0.013007089578682303,1000,0.027229335150864377,-0.004005997877370768
60,0,0.025,0.1008950781925351,0.06139840427012018,0.02968453594555598,0.045945219479781634,977,0.04377410671887812,-0.027780913714228715
60,1,0.075,0.07008415054971401,0.0393385045840575,-0.0016783239478674818,0.026053694810094393,975,0.04377410671887812,-0.027780913714228715
60,2,0.125,0.06283621910700302,0.037250938257484684,-0.009336938947554368,0.023971181053524093,979,0.04377410671887812,-0.027780913714228715
60,3,0.175,0.039395463451368615,0.024415527130096554,-0.0330737722636448,0.012054282142785132,978,0.04377410671887812,-0.027780913714228715
60,4,0.225,0.03339798513365409,0.02093968581662865,-0.038619002510043667,0.013717146436047333,975,0.04377410671887812,-0.027780913714228715
60,5,0.275,0.03665915965493838,0.02044936310136998,-0.03518552127094889,0.0111588775183299,980,0.04377410671887812,-0.027780913714228715
60,6,0.325,0.04173703853194807,0.020094981649558332,-0.03015692174558403,0.013361314048481654,985,0.04377410671887812,-0.027780913714228715
60,7,0.375,0.02688527925845228,0.018149799355996584,-0.044756044524900465,0.010198754926390524,973,0.04377410671887812,-0.027780913714228715
60,8,0.425,0.025802347676028174,0.019766306609597033,-0.04548071724987793,0.010562548663253617,961,0.04377410671887812,-0.027780913714228715
60,9,0.475,0.03126181699500386,0.019456183942463113,-0.039927413029993274,0.010476975417649853,950,0.04377410671887812,-0.027780913714228715
60,10,0.525,0.03622644409410124,0.019422902809092906,-0.035017929657439786,0.010626065914655092,948,0.04377410671887812,-0.027780913714228715
60,11,0.575,0.04014205382955396,0.01869546345766243,-0.031095592072869434,0.009767022519433757,948,0.04377410671887812,-0.027780913714228715
60,12,0.625,0.03979405779243516,0.020211427041194423,-0.031456200274305575,0.009546212930780564,950,0.04377410671887812,-0.027780913714228715
60,13,0.675,0.043440025057015504,0.020809889088960115,-0.02784052974122148,0.008929106436830396,947,0.04377410671887812,-0.027780913714228715
60,14,0.725,0.04169457728547444,0.020856721566995546,-0.02960349096844431,0.008229076974335699,948,0.04377410671887812,-0.027780913714228715
60,15,0.775,0.03173613595960401,0.021537794337057017,-0.03954441883863296,0.009215442738135349,947,0.04377410671887812,-0.027780913714228715
60,16,0.825,0.04051582919535986,0.022917493232779657,-0.030764725602877113,0.012060359864374724,947,0.04377410671887812,-0.027780913714228715
60,17,0.875,0.048251714273493534,0.026279004761629452,-0.023028840524743445,0.011772312669201361,947,0.048251714273493534,-0.023028840524743445
60,18,0.925,0.0608522373183871,0.028161406430839083,-0.010428317479849875,0.011508766404810383,947,0.05970841349473993,-0.011572141303497046
60,19,0.975,0.05856458967109277,0.034938986909613105,-0.012715965127144216,0.019895655555782377,947,0.05970841349473993,-0.011572141303497046
120,0,0.025,0.11888559737516195,0.10841576745386196,-0.023635197212319096,0.07982067629272104,949,0.05701485103701027,-0.08162403973494645
120,1,0.075,0.007732903017178866,0.04750729036726791,-0.12910115618382054,0.027618288280986773,974,0.05701485103701027,-0.08162403973494645
120,2,0.125,0.04584204508957525,0.030851016892700586,-0.09078848200060859,0.019129177822542587,959,0.05701485103701027,-0.08162403973494645
120,3,0.175,0.0697925420189908,0.032513927655582225,-0.06787742237630287,0.02045931578589915,980,0.0697925420189908,-0.06787742237630287
120,4,0.225,0.08337936520319925,0.030142952538029847,-0.05307097824422672,0.022080448393301293,931,0.07315545959953057,-0.06380781125399455
120,5,0.275,0.07726933431406,0.03158874713892471,-0.05924267603330127,0.02487789257451204,922,0.07315545959953057,-0.06380781125399455
120,6,0.325,0.05831549460085534,0.027523770390185706,-0.0790143724971559,0.02361537400458753,897,0.07315545959953057,-0.06380781125399455
120,7,0.375,0.07327518817010831,0.02514818381659683,-0.06444095113118892,0.02428150766876871,892,0.07327518817010831,-0.06380781125399455
120,8,0.425,0.08134864847158708,0.027159487563288474,-0.056378932260292614,0.021729590591482165,889,0.08134864847158708,-0.056378932260292614
120,9,0.475,0.08562286989669896,0.02964495954261397,-0.052095535102792946,0.02220026992520999,889,0.08402366866215295,-0.05377085366751898
120,10,0.525,0.08243341150609997,0.030184053631443476,-0.05543680244161456,0.02038884336771171,894,0.08402366866215295,-0.05377085366751898
120,11,0.575,0.08883753382482995,0.03086118960283952,-0.04868691001693314,0.018828105366164978,895,0.08883753382482995,-0.04868691001693314
120,12,0.625,0.10038610730310213,0.03844436950571963,-0.03733242795295254,0.017714841097919445,891,0.0996779749390456,-0.03799381148736045
120,13,0.675,0.09897063644535234,0.03676311983009748,-0.03865445356040692,0.01623242969695694,892,0.0996779749390456,-0.03799381148736045
120,14,0.725,0.11722956240271067,0.049587215054384716,-0.02055132622313476,0.020624284195382123,891,0.10513340491811686,-0.03272719773586714
120,15,0.775,0.09623551495093392,0.04678484581744378,-0.041473968643287715,0.015319629345457107,890,0.10513340491811686,-0.03272719773586714
120,16,0.825,0.1155358130722257,0.06035698970196867,-0.02295568539868128,0.02767143856103751,909,0.10513340491811686,-0.03272719773586714
120,17,0.875,0.09137436216944061,0.04557697592764259,-0.046075108489769,0.019318275505134135,895,0.10513340491811686,-0.03272719773586714
120,18,0.925,0.14657286102819975,0.06232465079916557,0.008480742221681877,0.031282606024106145,891,0.14563814452544546,0.007370146023192812
120,19,0.975,0.14473583422863712,0.07265627579482374,0.006298053701574441,0.03742650590854263,923,0.14563814452544546,0.007370146023192812
252,0,0.025,0.351390383479471,0.18672984542893253,0.05159722958115201,0.1410373461388193,961,0.1482330321538006,-0.15507329148238586
252,1,0.075,0.07036588525312927,0.04405025840459819,-0.22600427352552177,0.04947441148376654,912,0.1482330321538006,-0.15507329148238586
252,2,0.125,0.08186118478768398,0.03268452196809482,-0.21694976547694492,0.0537290189574205,894,0.1482330321538006,-0.15507329148238586
252,3,0.175,0.10597927813793447,0.0394007497346199,-0.20548878933908682,0.04685156136060017,938,0.1482330321538006,-0.15507329148238586
252,4,0.225,0.1253012116771671,0.042835739772762275,-0.1741175007804156,0.04981719735526587,954,0.1482330321538006,-0.15507329148238586
252,5,0.275,0.14446125687006692,0.05634059696013696,-0.16977780457822278,0.04101435100694664,894,0.1482330321538006,-0.15507329148238586
252,6,0.325,0.18736790160387237,0.05879142407163866,-0.13733062504969282,0.050994423947885135,800,0.18219534218229466,-0.14465007596070803
252,7,0.375,0.1977674961207297,0.061164591249909826,-0.1295496212706404,0.05225840073529478,779,0.18219534218229466,-0.14465007596070803
252,8,0.425,0.1613111888378748,0.05385241587652846,-0.16726729666979007,0.045818288814854544,779,0.18219534218229466,-0.14465007596070803
252,9,0.475,0.19145617271147236,0.061451918459206833,-0.13362721726165164,0.046335953637462464,786,0.19145617271147236,-0.13362721726165164
252,10,0.525,0.2133791780524284,0.06885520238904805,-0.10825694470874642,0.03644578427407579,792,0.2133791780524284,-0.10825694470874642
252,11,0.575,0.22630355665560248,0.06945934574147636,-0.09698827838251957,0.03495514145798719,796,0.22630355665560248,-0.09698827838251957
252,12,0.625,0.23031302573883197,0.07976403432093924,-0.0957508428585048,0.03824799579092297,799,0.23031302573883197,-0.0957508428585048
252,13,0.675,0.23654874600820658,0.07914139577267372,-0.09296762394450397,0.04091848514726765,792,0.23654874600820658,-0.09296762394450397
252,14,0.725,0.2520046334456795,0.09695080213890453,-0.07229860716889736,0.04490935085697808,788,0.2520046334456795,-0.07229860716889736
252,15,0.775,0.2665163409937082,0.1043812153553412,-0.0626724866186523,0.04259283202165946,778,0.2665163409937082,-0.0626724866186523
252,16,0.825,0.2932323972444859,0.10863656294195854,-0.036370140953503854,0.03819502930052654,786,0.2932323972444859,-0.036370140953503854
252,17,0.875,0.3850066527012139,0.11583366071914732,0.05003145672809145,0.04809960712321848,760,0.3850066527012139,0.05003145672809145
252,18,0.925,0.46947652304386406,0.16234522526476772,0.13582799923741629,0.09849044618871299,773,0.46947652304386406,0.13582799923741629
252,19,0.975,0.5996004064831849,0.23356545600624756,0.2619137062230295,0.16379993710802712,760,0.5996004064831849,0.2619137062230295
