fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,median_holdings,max_holdings,mean_cash_weight,median_max_name_weight,p95_max_name_weight,execution_blocked_rate,target_deviation_rate,spy_cagr,excess_cagr_vs_spy,qqq_cagr,excess_cagr_vs_qqq,uew_cagr,excess_cagr_vs_uew
WF_2019_2020,20.0,505,1.4687370020933121,0.5698162640520472,-0.36788580153295125,23.446008097562416,47.0,62,0.05141647479660096,0.06608718297557827,0.09907451820024718,0.04953198741550034,0.04953198741550034,0.2455684354298897,0.3242478286221575,0.43503321875238155,0.13478304529966567,0.6256468036644802,-0.055830539612433006
WF_2021_2022,20.0,503,0.04107794536915099,0.020373103048916263,-0.33326429245495304,11.351215139416636,44.0,54,0.022554094794695695,0.07211613796745664,0.10528062332668439,0.0,2.1610468851821953e-17,0.026366017040575285,-0.005992913991659021,-0.07326227315158773,0.093635376200504,0.24915604700336336,-0.2287829439544471
WF_2023_2024,20.0,502,1.0752453209816273,0.4426677852278793,-0.12207582888269974,11.078175156605718,41.0,49,0.029026850407331304,0.0742158388280085,0.16773390154902,0.0,0.0,0.2564324046154183,0.18623538061246103,0.3963556052188031,0.04631218000907622,0.36457764088728317,0.07809014434059613
WF_2019_2020,40.0,505,1.2761465807616261,0.507462265277443,-0.37093650810653955,23.446008097562416,47.0,62,0.05141647479660096,0.06608718297557827,0.09907451820024718,0.04953198741550034,0.04953198741550034,0.2455684354298897,0.26189382984755327,0.43503321875238155,0.07242904652506144,0.6256468036644802,-0.11818453838703724
WF_2021_2022,40.0,503,0.0013062198740236841,0.0006541952299445875,-0.34355559508731015,11.351215139416636,44.0,54,0.022554094794695695,0.07211613796745664,0.10528062332668439,0.0,2.1610468851821953e-17,0.026366017040575285,-0.025711821810630697,-0.07326227315158773,0.07391646838153232,0.24915604700336336,-0.24850185177341877
WF_2023_2024,40.0,502,1.00179435574004,0.41680528226306124,-0.12351697556351282,11.078175156605718,41.0,49,0.029026850407331304,0.0742158388280085,0.16773390154902,0.0,0.0,0.2564324046154183,0.16037287764764296,0.3963556052188031,0.020449677044258152,0.36457764088728317,0.05222764137577807
WF_2019_2020,60.0,505,1.098536524966423,0.4475698765570393,-0.3739734982169367,23.446008097562416,47.0,62,0.05141647479660096,0.06608718297557827,0.09907451820024718,0.04953198741550034,0.04953198741550034,0.2455684354298897,0.20200144112714957,0.43503321875238155,0.012536657804657736,0.6256468036644802,-0.17807692710744094
WF_2021_2022,60.0,503,-0.036952018258536556,-0.018686647637633502,-0.35456844933994214,11.351215139416636,44.0,54,0.022554094794695695,0.07211613796745664,0.10528062332668439,0.0,2.1610468851821953e-17,0.026366017040575285,-0.04505266467820879,-0.07326227315158773,0.05457562551395423,0.24915604700336336,-0.26784269464099686
WF_2023_2024,60.0,502,0.9309329256910492,0.39140273080565335,-0.12640278518237802,11.078175156605718,41.0,49,0.029026850407331304,0.0742158388280085,0.16773390154902,0.0,0.0,0.2564324046154183,0.13497032619023508,0.3963556052188031,-0.004952874413149733,0.36457764088728317,0.026825089918370182
