horizon_sessions,fold,expert,train_rows,test_rows,selected_features,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift,loser_avoidance,residual_tail_spread,broad20_robust_excess
5,WF_2017_2018,RIDGE_RESIDUAL_RANK,147437,148752,36,0.0010655121553127104,0.00018280879956205544,0.03788190019605382,1.0,0.8433395992177074,1.187616965768304,0.0009633616388939005,0.0003724900896151279
5,WF_2017_2018,HGB_RESIDUAL_RANK,147437,148752,36,0.0020664298274022334,0.001046855374432553,0.040664666800078866,1.0,1.1330608744349169,0.9941393212996189,0.0018243785859649044,0.002548213797113082
5,WF_2017_2018,HGB_RESIDUAL_RETURN,147437,148752,36,0.0038458427573625723,0.0018877046308602267,0.027744997492828515,1.0,1.6562906504569637,0.754895847920104,0.002694196725035045,0.001322741987230608
5,WF_2017_2018,HGB_UPSIDE_TAIL,147437,148752,36,0.0035042222377138894,-0.0008814227416801039,-0.04222413985215154,0.6666666666666666,2.4883402383095445,0.5110878870055354,0.00010653605145902535,0.0015304716763974108
5,WF_2017_2018,HGB_DOWNSIDE_AVOID,147437,148752,36,0.0036039608888352,0.0006248205705098076,0.04773976438748203,1.0,0.20188052182045507,3.1994755570325206,0.0023520253310779665,0.00031297141200464
5,WF_2019_2020,RIDGE_RESIDUAL_RANK,298019,114672,36,0.0020603932075062403,0.0015610493107842843,0.05390656268986181,1.0,0.9608427624006893,1.2417221743382765,0.003164256110659029,0.0013240399697248978
5,WF_2019_2020,HGB_RESIDUAL_RANK,298019,114672,36,0.004412543141248015,0.000963246805837803,0.03849064389527886,1.0,1.293282751807658,0.9130596097914188,0.0015861693917634005,0.002816101518079226
5,WF_2019_2020,HGB_RESIDUAL_RETURN,298019,114672,36,0.017622053265985965,0.010738842029142761,0.020627985747912244,1.0,2.039445426330049,0.6849729211181576,0.011955820156949412,0.00483128582271414
5,WF_2019_2020,HGB_UPSIDE_TAIL,298019,114672,36,0.03277722272441138,0.022308358687225395,-0.02556848361619372,1.0,2.711748641771057,0.5135331960817625,0.023161062019595658,0.011277031818905022
5,WF_2019_2020,HGB_DOWNSIDE_AVOID,298019,114672,36,-0.005851713662343112,-0.006344498970449224,0.033890932573491656,0.0,0.24953724890647758,2.5625870806673445,-0.0023123563726919734,-0.004103955214060279
5,WF_2021_2022,RIDGE_RESIDUAL_RANK,264581,114008,36,-0.0006077703042246727,-0.0014708349224523331,0.035523755785630114,0.3333333333333333,1.1734106934841395,0.9496909710555917,0.0011310555224138777,0.0006300525763554997
5,WF_2021_2022,HGB_RESIDUAL_RANK,264581,114008,36,0.00036171452100923224,-0.0007660128644342022,0.03653051549426503,0.6666666666666666,1.3489668452262973,0.9040292105240317,0.002278202268782374,0.0005048681279280432
