horizon_sessions,fold,expert,economic_score,worst_cut_robust_excess,positive_cut_share,winner_lift,mean_rank_ic
5,WF_2021_2022,META_BLEND,-1.4763277130856641e-05,-0.00013677898924195536,0.3333333333333333,1.5555927931683562,-0.020801205970105627
10,WF_2021_2022,META_BLEND,-0.0031919486331404303,-0.0041341802013413155,0.0,1.4193637436512059,0.025170989247260255
20,WF_2021_2022,META_BLEND,-0.008779708476765987,-0.014057181240651632,0.0,1.4184248347694695,0.02805805456883549
60,WF_2021_2022,META_BLEND,-0.007353274412365642,-0.009905238195333973,0.0,1.2951915486388956,0.0019113362168159398
120,WF_2021_2022,META_BLEND,-0.03336780216027712,-0.035843106608422846,0.0,1.3338200796430877,-0.03771315486635894
252,WF_2021_2022,META_BLEND,-0.11036370586154866,-0.17201448413452655,0.0,0.8351511085877197,-0.16737003426652144
