benchmark,n,alpha_ann,beta,r2,corr,up_days,up_strategy_mean_ann,up_bench_mean_ann,up_capture_ratio,down_days,down_strategy_mean_ann,down_bench_mean_ann,down_capture_ratio
SPY,1510,0.060541890765270896,1.2369629447214463,0.7933798869429995,0.8907187473849418,839,2.6058213299536246,2.0348185923599793,1.280616041025749,669,-2.6359175354747433,-2.150576116077539,1.2256797217121633
QQQ,1510,0.04046936753507995,1.0160605132125688,0.8054469447534663,0.8974669602572936,854,2.5782411743883786,2.6211567728471232,0.9836272294342283,655,-2.714260143703277,-2.872962187489066,0.9447601348611928
UEW,1510,-0.013701681815182894,0.7908014456494009,0.5434350925846201,0.7371805020377434,848,2.592903524679481,2.4955946532334705,1.038992258346094,662,-2.6816727592361045,-2.34826301503128,1.1419814314114993
