horizon_sessions,period,test_start,test_end,architecture,train_rows,test_rows,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,rich_dates
20,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_ROBUST_EXCESS,142862,145092,0.011607316829868701,0.009413036529079153,0.06081825766725311,1.0,501
20,EVIDENCE_2017_2018,2017-01-03,2019-01-02,BLEND_RIDGE_HGB,142862,145092,0.005203081465549799,0.0015391765541550716,0.07025839119297202,1.0,501
20,OUTER_2019_2020,2019-01-02,2021-01-04,IC_COMPOSITE,294359,111207,-0.008562047826810977,-0.01090140500539277,0.04362256286846631,0.0,487
20,OUTER_2019_2020,2019-01-02,2021-01-04,RIDGE_RANK,294359,111207,0.0127274488178558,0.004818030638448891,0.10529261892790079,1.0,487
20,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_RANK,294359,111207,0.015820525420361647,0.0063072508764532315,0.074064245041956,1.0,487
20,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_ROBUST_EXCESS,294359,111207,0.013687437008376421,0.007704115083641746,0.040824898058910666,1.0,487
20,OUTER_2019_2020,2019-01-02,2021-01-04,BLEND_RIDGE_HGB,294359,111207,0.014583338609497598,0.0075818768218864655,0.09972144052796826,1.0,487
20,OUTER_2021_2022,2021-01-04,2023-01-03,IC_COMPOSITE,410689,110678,-0.004185199320401237,-0.005058581331705973,0.05299308839729681,0.0,502
20,OUTER_2021_2022,2021-01-04,2023-01-03,RIDGE_RANK,410689,110678,-0.010799482104696695,-0.012997482869363733,0.018317940386261056,0.0,502
20,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_RANK,410689,110678,-0.007555227490692883,-0.008441011720864788,0.032964946003485,0.0,502
20,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_ROBUST_EXCESS,410689,110678,-0.012863181090583008,-0.015008365547785908,-0.008685974439872096,0.0,502
20,OUTER_2021_2022,2021-01-04,2023-01-03,BLEND_RIDGE_HGB,410689,110678,-0.009970271968201246,-0.010992685771125612,0.028021841050083422,0.0,502
60,EVIDENCE_2017_2018,2017-01-03,2019-01-02,IC_COMPOSITE,130731,135386,0.0031343353220345065,-0.001605718775238661,0.09570322771199478,0.6666666666666666,501
60,EVIDENCE_2017_2018,2017-01-03,2019-01-02,RIDGE_RANK,130731,135386,0.007739008501163925,0.0014575795641625596,0.10127899649006417,1.0,501
60,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_RANK,130731,135386,0.011560843955257603,0.005379868824671117,0.08928053611855749,1.0,501
60,EVIDENCE_2017_2018,2017-01-03,2019-01-02,HGB_ROBUST_EXCESS,130731,135386,0.001248186241248577,-0.0018575403317927014,0.07432752483147279,0.6666666666666666,501
60,EVIDENCE_2017_2018,2017-01-03,2019-01-02,BLEND_RIDGE_HGB,130731,135386,0.011580748948036746,0.005424576915399478,0.10392553851091298,1.0,501
60,OUTER_2019_2020,2019-01-02,2021-01-04,IC_COMPOSITE,284653,102000,-0.023312298033146984,-0.031054034925567787,0.08683929391548004,0.0,487
60,OUTER_2019_2020,2019-01-02,2021-01-04,RIDGE_RANK,284653,102000,0.018390546793393008,0.0026449329516982914,0.1737985597264136,1.0,487
60,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_RANK,284653,102000,0.004929321884053923,-0.004118766683299974,0.10883875460442197,0.6666666666666666,487
60,OUTER_2019_2020,2019-01-02,2021-01-04,HGB_ROBUST_EXCESS,284653,102000,-0.00040815348370111006,-0.012360515169196017,0.08318361357385204,0.6666666666666666,487
60,OUTER_2019_2020,2019-01-02,2021-01-04,BLEND_RIDGE_HGB,284653,102000,0.013764014382874277,0.0009164585689021609,0.15585363923813483,1.0,487
60,OUTER_2021_2022,2021-01-04,2023-01-03,IC_COMPOSITE,401482,101828,-0.007141376116601656,-0.009659937763987641,0.06661006943072463,0.0,502
60,OUTER_2021_2022,2021-01-04,2023-01-03,RIDGE_RANK,401482,101828,-0.01927093841544077,-0.03518732607124743,-0.016356336543868408,0.0,502
60,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_RANK,401482,101828,-0.023230324146395892,-0.024588362629489918,0.025996107767550465,0.0,502
60,OUTER_2021_2022,2021-01-04,2023-01-03,HGB_ROBUST_EXCESS,401482,101828,-0.04321260334534169,-0.06412502601382189,-0.008083496907102786,0.0,502
60,OUTER_2021_2022,2021-01-04,2023-01-03,BLEND_RIDGE_HGB,401482,101828,-0.028331856042621877,-0.035638540528057476,0.007605441834262027,0.0,502
120,EVIDENCE_2017_2018,2017-01-03,2019-01-02,IC_COMPOSITE,112696,120944,-0.01240500129335857,-0.014305758182213205,0.05078651434171082,0.0,501
