role,horizon_sessions,mean_weight,median_weight,p10_weight,p90_weight
POLICY_SELECTION_2021_2022,5,0.2005006258812103,0.20050062588121018,0.20050062588121018,0.20050062588121018
POLICY_SELECTION_2021_2022,10,0.1989632908394041,0.19896329083940403,0.19896329083940403,0.19896329083940403
POLICY_SELECTION_2021_2022,20,0.2212519870869483,0.22125198708694835,0.22125198708694835,0.22125198708694835
POLICY_SELECTION_2021_2022,60,0.20854916767982704,0.20854916767982715,0.20854916767982715,0.20854916767982715
POLICY_SELECTION_2021_2022,120,0.13393287937007625,0.13393287937007628,0.13393287937007628,0.13393287937007628
POLICY_SELECTION_2021_2022,252,0.036802049142533995,0.036802049142533995,0.036802049142533995,0.036802049142533995
VALIDATION_2023_2024,5,0.2005006258812103,0.20050062588121018,0.20050062588121018,0.20050062588121018
VALIDATION_2023_2024,10,0.19896329083940406,0.19896329083940403,0.19896329083940403,0.19896329083940403
VALIDATION_2023_2024,20,0.2212519870869483,0.22125198708694835,0.22125198708694835,0.22125198708694835
VALIDATION_2023_2024,60,0.20854916767982704,0.20854916767982715,0.20854916767982715,0.20854916767982715
VALIDATION_2023_2024,120,0.13393287937007625,0.13393287937007628,0.13393287937007628,0.13393287937007628
VALIDATION_2023_2024,252,0.03680204914253399,0.036802049142533995,0.036802049142533995,0.036802049142533995
