date,nav,net_return,turnover,cost_fraction,holdings,cash_weight,max_name_weight,rebalance_scheduled,requested_trade_notional,executed_trade_notional,blocked_requested_notional,target_deviation_notional,blocked_trade_names,partial_execution,full_skip,expected_incremental_return
2021-01-04,1.0,0.0,0.0,0.0,0,1.0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0.05465487631031739
2021-01-05,0.999,-0.0010000000000000009,0.4999999999999999,0.0009999999999999998,113,2.220446049250313e-16,0.1324859613288309,1,0.9999999999999998,0.9999999999999998,0.0,0.0,0,0,0,0.0009196475456490685
2021-01-06,0.9932528102874999,-0.0057529426551552465,0.05042740240440183,0.00010085480480880366,107,1.1102230246251565e-16,0.12793491822504074,1,0.10085480480880366,0.10085480480880366,0.0,0.0,0,0,0,0.0009071322583430743
2021-01-07,1.0009046038689908,0.007703772395344144,0.06208665179320068,0.00012417330358640137,115,0.0,0.1215016466819738,1,0.12417330358640136,0.12417330358640136,0.0,0.0,0,0,0,0.0004925625495190679
2021-01-08,1.0068066231990993,0.005896685165893256,0.06872868682718737,0.00013745737365437476,110,1.1102230246251565e-16,0.12978694896338686,1,0.13745737365437474,0.13745737365437474,0.0,0.0,0,0,0,0.002281413866448653
2021-01-11,1.002491841477581,-0.0042856111810312125,0.0802527122966616,0.0001605054245933232,109,0.0,0.12180156380317485,1,0.1605054245933232,0.1605054245933232,0.0,0.0,0,0,0,0.0001378906373686955
2021-01-12,1.0039618861727129,0.0014663906820080452,0.050093037883287526,0.00010018607576657505,115,0.0,0.11974274461986203,1,0.10018607576657505,0.10018607576657505,0.0,0.0,0,0,0,0.0009024458801549896
2021-01-13,1.0059528222506047,0.0019830793432622507,0.04808372247600524,9.616744495201047e-05,115,1.1102230246251565e-16,0.11555833516822368,1,0.09616744495201048,0.09616744495201048,0.0,0.0,0,0,0,0.00019716127283207646
2021-01-14,1.00672047550256,0.0007631105902541346,0.06362654056549646,0.00012725308113099292,116,0.0,0.12778215043138375,1,0.12725308113099293,0.12725308113099293,0.0,0.0,0,0,0,0.0019031700183969554
2021-01-15,1.0042874998577012,-0.0024167340429271933,0.0781561203593557,0.00015631224071871138,111,1.1102230246251565e-16,0.10959141823581942,1,0.1563122407187114,0.1563122407187114,0.0,0.0,0,0,0,0.000644054690038296
2021-01-19,1.0088570131516208,0.004550005147497149,0.07726629253525595,0.0001545325850705119,115,1.1102230246251565e-16,0.12209544575311632,0,0.15453258507051187,0.1545325850705119,0.0,2.0856661666832088e-16,0,0,0,1.4367752081147927e-05
2021-01-20,1.017733766191548,0.008798821759881115,0.0,0.0,115,1.1005395730819132e-16,0.12135660888921343,0,0.0,0.0,0.0,0.0,0,0,0,-0.000367130288750125
2021-01-21,1.0162217568471692,-0.0014856629450714642,0.0,0.0,115,1.1021770366641937e-16,0.12111727904693104,0,0.0,0.0,0.0,0.0,0,0,0,-0.0007293854541435829
2021-01-22,1.0158168012866493,-0.00039849133104197243,0.0,0.0,115,1.1026164197489282e-16,0.12144561206186782,0,0.0,0.0,0.0,0.0,0,0,0,-0.0006982520281665154
2021-01-25,1.0154415761911506,-0.00036938264362573747,0.0,0.0,115,1.1030238576174372e-16,0.12144378864861306,0,0.0,0.0,0.0,0.0,0,0,0,-0.0008211625373901309
2021-01-26,1.014279615852351,-0.0011442906869718605,0.0,0.0,115,1.1042874835005463e-16,0.12158291484576596,0,0.0,0.0,0.0,0.0,0,0,0,-0.00044665169057486113
2021-01-27,0.998151619638306,-0.015900936942809252,0.0,0.0,115,1.122130408365576e-16,0.12326243835474018,0,0.0,0.0,0.0,0.0,0,0,0,-0.0007077068191168667
2021-01-28,1.0068891409417184,0.008753701473307895,0.0,0.0,115,1.1123928534058203e-16,0.1229940098649507,0,0.0,0.0,0.0,0.0,0,0,0,0.00011621547582406235
2021-01-29,0.9995802485398521,-0.00725888492056892,0.0,0.0,115,1.1205266272434135e-16,0.12322077809451046,0,0.0,0.0,0.0,0.0,0,0,0,0.0003543715898974456
2021-02-01,1.0054602223041458,0.005882442928302201,0.0,0.0,115,1.1139737402925153e-16,0.1220703507353847,0,0.0,0.0,0.0,0.0,0,0,0,-0.00032401566955117783
2021-02-02,1.0134399990598664,0.007936442017998369,0.0,0.0,115,1.1052023657982033e-16,0.1212039459999795,0,0.0,0.0,0.0,0.0,0,0,0,0.00022153581020409167
2021-02-03,1.0096596735709427,-0.0037301917157706033,0.0,0.0,115,1.1093404182362778e-16,0.12146751926394266,0,0.0,0.0,0.0,0.0,0,0,0,-0.00047945049576329524
