window_sessions,ticker,target_weight,correlation_to_focus_factor,beta_to_focus_factor,observations
60,GOOGL,0.0207533058329905,0.07993019734557193,0.10936575368707929,60
60,FDX,0.0893457980848914,0.21179281792389584,0.2281346822836716,60
60,NKE,0.0634412928907998,-0.10481528265486266,-0.13271258198069866,60
60,TTWO,0.0564075729577276,-0.032403263673704295,-0.044338617534006024,60
60,ZTS,0.0522421524270214,-0.14429106923105012,-0.17749860040689605,60
60,NUE,0.0497354372361492,0.23036162196285084,0.32667882552422284,60
60,MPWR,0.046097224872026,0.3463738793338921,0.8139833849603508,60
60,STLD,0.0435410525713299,0.3024386265693764,0.4825303482845948,60
60,OXY,0.0422388603943087,0.1681716354748789,0.2130814425511812,60
60,DOW,0.0374667717983052,0.220055099355983,0.30671424054881313,60
60,HON,0.0317332531891169,0.07415178029315575,0.09624481145283709,60
60,MDB,0.0283513054893302,-0.2249418028444256,-0.5700028170735598,60
60,NXPI,0.0269556326686798,0.3151486704092248,0.5520505946432768,60
60,ADSK,0.0264867380627547,-0.3895926225743979,-0.6995054654621012,60
60,MELI,0.0252164199273556,-0.10478017332196962,-0.14091519173632924,60
60,UPS,0.0224855231580329,0.1196624204313035,0.13711466485081972,60
60,LAR,0.0222553588180592,0.4542694575072073,1.153686540979512,60
60,ON,0.0164049542491225,0.2222697316133677,0.6564145268476989,60
60,AMD,0.0152354165673102,0.3820560188536836,1.0413611079437455,60
60,MCHP,0.015013352268419,0.25991450336712674,0.5968163547947646,60
60,KMB,0.0144467072578633,-0.23535338576558013,-0.23674652133297072,60
60,FCX,0.0105398134384801,0.4434926078629257,0.8128028483937006,60
60,CAT,0.0096995816602459,0.2947284088363332,0.4890146512617694,60
60,AMAT,0.0077868256006078,0.34477621982029344,1.0706256310211353,60
60,MU,0.0073107102034688,0.397997203093351,1.4691458258749301,60
60,KEEL,0.0069983337028542,0.4050279549764417,1.742878009002977,60
60,DDOG,0.0022620307597557,-0.11134277268564069,-0.2788974226489385,60
