horizon_sessions,fold,base_economic_score,newinfo_economic_score,incremental_economic_score
5,WF_2019_2020,0.004604131502990982,0.0033059244516143982,-0.001298207051376584
5,WF_2021_2022,-0.002485258589939268,-1.4763277130856641e-05,0.0024704953128084116
5,WF_2023_2024,0.0018307897869271484,4.781829546051462e-05,-0.0017829714914666338
10,WF_2019_2020,0.009120873729534967,0.007778399523202187,-0.0013424742063327796
10,WF_2021_2022,-0.006500073070314229,-0.0031919486331404303,0.0033081244371737984
10,WF_2023_2024,-0.001388377566682019,0.0009108589725707097,0.0022992365392527285
20,WF_2019_2020,0.022184849775264026,0.016737829913180232,-0.005447019862083794
20,WF_2021_2022,-0.012315471931092982,-0.008779708476765987,0.0035357634543269952
20,WF_2023_2024,-3.3758061479431115e-05,0.005118006027425524,0.005151764088904955
60,WF_2019_2020,0.022803727600820334,0.03277038584564156,0.009966658244821229
60,WF_2021_2022,-0.025255839628605736,-0.007353274412365642,0.017902565216240094
60,WF_2023_2024,-0.004544717167423272,0.012952711071660678,0.01749742823908395
120,WF_2019_2020,0.009441920891635834,0.0158650847379851,0.0064231638463492675
120,WF_2021_2022,-0.02151465571075536,-0.03336780216027712,-0.011853146449521759
120,WF_2023_2024,0.024972948221179486,0.0514635697931351,0.026490621571955614
252,WF_2019_2020,-0.08281675718777474,-0.13140819762459352,-0.048591440436818775
252,WF_2021_2022,-0.007012369223673082,-0.11036370586154866,-0.10335133663787557
252,WF_2023_2024,0.1116137174098105,0.13943361326027923,0.02781989585046872
