signal_gamma,return_z_gate,alpha_z_gate,alpha_tilt,cagr_20bps,robust_excess_cagr_20bps,excess_vs_spy_20bps,excess_vs_qqq_20bps,excess_vs_uew_20bps,cagr_40bps,robust_excess_cagr_40bps,max_drawdown_20bps,annual_turnover_20bps,median_holdings_20bps,max_holdings_20bps,median_max_name_weight_20bps,p95_max_name_weight_20bps,mean_cash_weight_20bps,execution_blocked_rate_20bps,target_deviation_rate_20bps,qualified,return_first_rank
0.0,0.0,-99.0,0.5,0.026171782423086265,-0.2229842645802771,-0.0001942346174890197,0.099434055574674,-0.2229842645802771,0.011245558972895253,-0.2379104880304681,-0.047917436110259004,6.8067083590591215,131.0,163,0.18152124910249107,0.23769965252680886,0.0021094516093702236,0.4836957044997807,0.9667372638505652,False,1
0.0,0.5,-99.0,0.5,0.026171782423086265,-0.2229842645802771,-0.0001942346174890197,0.099434055574674,-0.2229842645802771,0.011245558972895253,-0.2379104880304681,-0.047917436110259004,6.8067083590591215,131.0,163,0.18152124910249107,0.23769965252680886,0.0021094516093702236,0.4836957044997807,0.9667372638505652,False,2
1.5,0.0,-99.0,0.5,0.025125872614026656,-0.2240301743893367,-0.0012401444265486283,0.09838814576561439,-0.2240301743893367,-0.0008850628982739472,-0.2500411099016373,-0.07377039684269893,11.892421917031509,114.0,143,0.17062047301158165,0.2847291430898552,0.0023277148277095266,0.45251548497198407,0.9046449857921316,False,3
1.5,0.5,-99.0,0.5,0.025125872614026656,-0.2240301743893367,-0.0012401444265486283,0.09838814576561439,-0.2240301743893367,-0.0008850628982739472,-0.2500411099016373,-0.07377039684269893,11.892421917031509,114.0,143,0.17062047301158165,0.2847291430898552,0.0023277148277095266,0.45251548497198407,0.9046449857921316,False,4
1.5,1.0,-99.0,0.5,0.025125872614026656,-0.2240301743893367,-0.0012401444265486283,0.09838814576561439,-0.2240301743893367,-0.0008850628982739472,-0.2500411099016373,-0.07377039684269893,11.892421917031509,114.0,143,0.17062047301158165,0.2847291430898552,0.0023277148277095266,0.45251548497198407,0.9046449857921316,False,5
1.5,0.0,-99.0,0.0,0.023827929800558145,-0.2253281172028052,-0.0025380872400171395,0.09709020295214588,-0.2253281172028052,0.012315566687131962,-0.2368404803162314,-0.03256997462354139,5.391109486637663,143.0,171,0.19540150841494275,0.2327217303825017,0.0020221365764122546,0.4882356613185893,0.9757143841968572,False,6
1.5,0.5,-99.0,0.0,0.023827929800558145,-0.2253281172028052,-0.0025380872400171395,0.09709020295214588,-0.2253281172028052,0.012315566687131962,-0.2368404803162314,-0.03256997462354139,5.391109486637663,143.0,171,0.19540150841494275,0.2327217303825017,0.0020221365764122546,0.4882356613185893,0.9757143841968572,False,7
1.5,1.0,-99.0,0.0,0.023827929800558145,-0.2253281172028052,-0.0025380872400171395,0.09709020295214588,-0.2253281172028052,0.012315566687131962,-0.2368404803162314,-0.03256997462354139,5.391109486637663,143.0,171,0.19540150841494275,0.2327217303825017,0.0020221365764122546,0.4882356613185893,0.9757143841968572,False,8
0.75,0.0,-99.0,0.5,0.023712442456118366,-0.225443604547245,-0.002653574584456919,0.0969747156077061,-0.225443604547245,0.005399217600309036,-0.24375682940305432,-0.060495842637379726,10.273659261960875,118.0,150,0.1648261390798468,0.25427247022244504,0.0020386779239078695,0.46657080413255686,0.932581128973013,False,9
0.75,0.5,-99.0,0.5,0.023712442456118366,-0.225443604547245,-0.002653574584456919,0.0969747156077061,-0.225443604547245,0.005399217600309036,-0.24375682940305432,-0.060495842637379726,10.273659261960875,118.0,150,0.1648261390798468,0.25427247022244504,0.0020386779239078695,0.46657080413255686,0.932581128973013,False,10
0.75,1.0,-99.0,0.5,0.023712442456118366,-0.225443604547245,-0.002653574584456919,0.0969747156077061,-0.225443604547245,0.005399217600309036,-0.24375682940305432,-0.060495842637379726,10.273659261960875,118.0,150,0.1648261390798468,0.25427247022244504,0.0020386779239078695,0.46657080413255686,0.932581128973013,False,11
0.0,0.0,-99.0,0.0,0.02205325270159486,-0.2271027943017685,-0.004312764338980424,0.09531552585318259,-0.2271027943017685,0.011560946919696669,-0.2375951000836667,-0.03242160335545008,3.9086729455594127,145.0,170,0.14793685536867937,0.24490160566455338,0.0020612286996438637,0.49331738429308214,0.9858321943051541,False,12
0.0,0.5,-99.0,0.0,0.02205325270159486,-0.2271027943017685,-0.004312764338980424,0.09531552585318259,-0.2271027943017685,0.011560946919696669,-0.2375951000836667,-0.03242160335545008,3.9086729455594127,145.0,170,0.14793685536867937,0.24490160566455338,0.0020612286996438637,0.49331738429308214,0.9858321943051541,False,13
0.75,0.0,-99.0,0.0,0.02051157791192426,-0.2286444690914391,-0.005854439128651023,0.09377385106351199,-0.2286444690914391,0.012573169060664302,-0.23658287794269905,-0.03142707451543869,4.870923741255752,144.0,173,0.19715393866136646,0.22977217837960087,0.0020223575358158208,0.4895242700706861,0.9782518007326116,False,14
0.75,0.5,-99.0,0.0,0.02051157791192426,-0.2286444690914391,-0.005854439128651023,0.09377385106351199,-0.2286444690914391,0.012573169060664302,-0.23658287794269905,-0.03142707451543869,4.870923741255752,144.0,173,0.19715393866136646,0.22977217837960087,0.0020223575358158208,0.4895242700706861,0.9782518007326116,False,15
0.75,1.0,-99.0,0.0,0.02051157791192426,-0.2286444690914391,-0.005854439128651023,0.09377385106351199,-0.2286444690914391,0.012573169060664302,-0.23658287794269905,-0.03142707451543869,4.870923741255752,144.0,173,0.19715393866136646,0.22977217837960087,0.0020223575358158208,0.4895242700706861,0.9782518007326116,False,16
0.0,1.0,-99.0,0.0,0.017308548074543628,-0.23184749892881973,-0.009057468966031657,0.09057082122613136,-0.23184749892881973,0.010704535236503387,-0.23845151176685997,-0.030372507403744198,3.5815052546629595,143.0,166,0.1913420373267766,0.22985107550535544,0.002033192511259813,0.4949397008208639,0.9890308479194968,False,17
0.0,1.0,-99.0,0.5,0.014697009135922423,-0.23445903786744093,-0.011669007904652862,0.08795928228751015,-0.23445903786744093,0.0036842185362984115,-0.24547182846706495,-0.05268634954404616,6.217617501281019,128.0,161,0.15768037390434694,0.2560108339284352,0.0020227068706298425,0.4855218694845338,0.9704471147575988,False,18
0.0,1.0,-99.0,1.0,-0.07216132676886078,-0.32131737377222414,-0.09852734380943606,0.0011009463827269528,-0.32131737377222414,-0.11434102880696606,-0.3634970758103294,-0.43528503599242463,26.90279971593895,36.0,48,0.12130716665802808,0.20098495273095934,0.0019880715705765865,0.0,8.514867915637111e-17,False,19
0.75,0.0,-99.0,1.0,-0.07898949052761017,-0.32814553753097353,-0.10535550756818546,-0.005727217376022442,-0.32814553753097353,-0.17166754577695242,-0.4208235927803158,-0.38176756750929064,30.850577055582296,41.0,51,0.15885012692356962,0.3332337264231881,0.002022474243527622,0.0,4.679920448128806e-17,False,20
0.75,0.5,-99.0,1.0,-0.07898949052761017,-0.32814553753097353,-0.10535550756818546,-0.005727217376022442,-0.32814553753097353,-0.17166754577695242,-0.4208235927803158,-0.38176756750929064,30.850577055582296,41.0,51,0.15885012692356962,0.3332337264231881,0.002022474243527622,0.0,4.679920448128806e-17,False,21
0.75,1.0,-99.0,1.0,-0.07898949052761017,-0.32814553753097353,-0.10535550756818546,-0.005727217376022442,-0.32814553753097353,-0.17166754577695242,-0.4208235927803158,-0.38176756750929064,30.850577055582296,41.0,51,0.15885012692356962,0.3332337264231881,0.002022474243527622,0.0,4.679920448128806e-17,False,22
0.0,0.0,-99.0,1.0,-0.0965913400481494,-0.34574738705151276,-0.12295735708872468,-0.023329066896561668,-0.34574738705151276,-0.13347810282791406,-0.3826341498312774,-0.4179897563683538,33.353919653560006,39.0,51,0.13045864638253077,0.24598651738252708,0.0020019278602263603,0.0,5.581760991987792e-17,False,23
0.0,0.5,-99.0,1.0,-0.0965913400481494,-0.34574738705151276,-0.12295735708872468,-0.023329066896561668,-0.34574738705151276,-0.13347810282791406,-0.3826341498312774,-0.4179897563683538,33.353919653560006,39.0,51,0.13045864638253077,0.24598651738252708,0.0020019278602263603,0.0,5.581760991987792e-17,False,24
1.5,0.0,-99.0,1.0,-0.10596136346893725,-0.3551174104723006,-0.13232738050951254,-0.03269909031734952,-0.3551174104723006,-0.13894869120542408,-0.38810473820878744,-0.40172588721996905,13.176997751673042,40.0,55,0.10273770269019417,0.21307191529322325,0.002030460133546258,0.0,4.4657769095427026e-17,False,25
1.5,0.5,-99.0,1.0,-0.10596136346893725,-0.3551174104723006,-0.13232738050951254,-0.03269909031734952,-0.3551174104723006,-0.13894869120542408,-0.38810473820878744,-0.40172588721996905,13.176997751673042,40.0,55,0.10273770269019417,0.21307191529322325,0.002030460133546258,0.0,4.4657769095427026e-17,False,26
1.5,1.0,-99.0,1.0,-0.10596136346893725,-0.3551174104723006,-0.13232738050951254,-0.03269909031734952,-0.3551174104723006,-0.13894869120542408,-0.38810473820878744,-0.40172588721996905,13.176997751673042,40.0,55,0.10273770269019417,0.21307191529322325,0.002030460133546258,0.0,4.4657769095427026e-17,False,27
1.5,0.0,0.0,0.0,-0.1448123380959203,-0.39396838509928367,-0.1711783551364956,-0.07155006494433258,-0.39396838509928367,-0.21001884473354115,-0.4591748917369045,-0.4841818517813634,20.73166033182789,18.0,27,0.2627922328692607,0.4875930755167461,0.0020456689272467282,0.0,4.0864513762005354e-17,False,28
1.5,0.5,0.0,0.0,-0.1448123380959203,-0.39396838509928367,-0.1711783551364956,-0.07155006494433258,-0.39396838509928367,-0.21001884473354115,-0.4591748917369045,-0.4841818517813634,20.73166033182789,18.0,27,0.2627922328692607,0.4875930755167461,0.0020456689272467282,0.0,4.0864513762005354e-17,False,29
1.5,1.0,0.0,0.0,-0.1448123380959203,-0.39396838509928367,-0.1711783551364956,-0.07155006494433258,-0.39396838509928367,-0.21001884473354115,-0.4591748917369045,-0.4841818517813634,20.73166033182789,18.0,27,0.2627922328692607,0.4875930755167461,0.0020456689272467282,0.0,4.0864513762005354e-17,False,30
0.75,0.0,0.0,0.5,-0.15246548884911182,-0.4016215358524752,-0.1788315058896871,-0.07920321569752409,-0.4016215358524752,-0.2805834276828676,-0.529739474686231,-0.5369243137646647,34.074625707330185,13.0,19,0.2761313264394556,0.5818589073519672,0.0021072937008224336,0.0,3.1617300056202323e-17,False,31
0.75,0.5,0.0,0.5,-0.15246548884911182,-0.4016215358524752,-0.1788315058896871,-0.07920321569752409,-0.4016215358524752,-0.2805834276828676,-0.529739474686231,-0.5369243137646647,34.074625707330185,13.0,19,0.2761313264394556,0.5818589073519672,0.0021072937008224336,0.0,3.1617300056202323e-17,False,32
0.75,1.0,0.0,0.5,-0.15246548884911182,-0.4016215358524752,-0.1788315058896871,-0.07920321569752409,-0.4016215358524752,-0.2805834276828676,-0.529739474686231,-0.5369243137646647,34.074625707330185,13.0,19,0.2761313264394556,0.5818589073519672,0.0021072937008224336,0.0,3.1617300056202323e-17,False,33
1.5,0.0,0.0,0.5,-0.15887963844410624,-0.4080356854474696,-0.18524565548468153,-0.08561736529251851,-0.4080356854474696,-0.22943902556710727,-0.4785950725704706,-0.5149509358056039,21.54381501634604,18.0,27,0.24621862482365603,0.47048746450115925,0.0020401639494568792,0.0,3.9968039194560573e-17,False,34
1.5,0.5,0.0,0.5,-0.15887963844410624,-0.4080356854474696,-0.18524565548468153,-0.08561736529251851,-0.4080356854474696,-0.22943902556710727,-0.4785950725704706,-0.5149509358056039,21.54381501634604,18.0,27,0.24621862482365603,0.47048746450115925,0.0020401639494568792,0.0,3.9968039194560573e-17,False,35
1.5,1.0,0.0,0.5,-0.15887963844410624,-0.4080356854474696,-0.18524565548468153,-0.08561736529251851,-0.4080356854474696,-0.22943902556710727,-0.4785950725704706,-0.5149509358056039,21.54381501634604,18.0,27,0.24621862482365603,0.47048746450115925,0.0020401639494568792,0.0,3.9968039194560573e-17,False,36
