year,benchmark,n,alpha_ann,beta,r2
2019,SPY,252,0.05710111353668374,1.0408337198879203,0.7942304456653072
2019,QQQ,252,0.07220082166569403,0.8063023223528397,0.7982639401304594
2019,UEW,252,0.047643726789446054,0.5860556951558108,0.41737389815515635
2020,SPY,253,0.3986897510657628,1.0889393723240584,0.8564170448494858
2020,QQQ,253,0.18371050532379787,1.0029069132874588,0.8268964627272044
2020,UEW,253,0.14512129029980106,0.9095232640776709,0.7915391537179219
2021,SPY,252,-0.005310365703372885,1.4290471960517104,0.6428882659275087
2021,QQQ,252,0.06793712069542751,1.1577568550026642,0.8301336534198623
2021,UEW,252,-0.06174483375660584,1.241872421340232,0.654809818916139
2022,SPY,251,0.017664449072687483,1.432325558031965,0.8223528693331824
2022,QQQ,251,0.15508803654111614,1.11594752396686,0.8779268768117965
2022,UEW,251,-0.3257353082534709,0.5461404946391192,0.30314936632826806
2023,SPY,250,0.26865936374859195,1.1270293544947592,0.655554170342173
2023,QQQ,250,0.20171277922191255,0.7456165546906433,0.5356667318468402
2023,UEW,250,0.21212411342390386,1.0651632388567627,0.7484467314142486
2024,SPY,252,-0.025124568997848134,1.0720362029143637,0.7063027622656644
2024,QQQ,252,0.04321473784028075,0.7312508703676549,0.674518629531504
2024,UEW,252,0.016359958304035544,0.6096975645530706,0.4140580453466286
