horizon_sessions,fold,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift,loser_avoidance,residual_tail_spread,broad20_robust_excess
5,WF_2017_2018,0.0020434419322146735,0.0005136052849532903,0.038230184054906025,1.0,1.0121230899804814,1.0325640923496788,0.0012512051267515806,0.0010003387591483695
5,WF_2019_2020,-0.0012636089283178228,-0.0019705897784663266,0.038418774886517355,0.0,0.7088184312791971,1.3741627833867316,0.0003723084871408695,-0.0007555373822111842
5,WF_2021_2022,-0.0002961201479974925,-0.0006636985975405052,0.0069832888952730595,0.0,1.6106448827287587,0.7496756700776456,0.001826581960929263,0.00013196894450071163
5,WF_2023_2024,-6.008795847316004e-05,-0.001315261884946232,0.04436083251682551,0.3333333333333333,1.228123896159898,1.0055062454163863,0.001663916733074024,-0.001482922150436875
10,WF_2017_2018,0.0030301535657913034,0.0016492890075223976,0.02618438182652432,1.0,1.1892122615757632,1.026523386627051,0.0035338594482297566,0.00041774361298222
10,WF_2019_2020,0.009786014234486788,0.007388192520016448,0.03327107817077644,1.0,1.697985883718316,0.8716236673975153,0.00971004532336995,0.003462750201897495
10,WF_2021_2022,-0.005186886794278061,-0.005452081467235217,0.020030168149163374,0.0,1.5331994605517507,0.7558113673991049,0.00038263397618376995,-0.0011269497852452054
10,WF_2023_2024,0.0008902841239987972,-0.0019366601819049535,0.06871481726216053,0.6666666666666666,1.3094139607944288,1.0270752650883312,0.003727800063928955,-0.003434315261569691
20,WF_2017_2018,0.007154260837496742,0.0037673601606741667,0.04519844810154177,1.0,1.1091369522670809,1.130368622873949,0.006524740668756816,0.0014138219553587585
20,WF_2019_2020,0.03654671693938521,0.02068771159832678,0.0631540599838353,1.0,1.9031016512270966,0.8683457788831465,0.025972850751888706,0.010963162420679752
20,WF_2021_2022,-0.023957228351223433,-0.028743029622565922,0.009457566858734681,0.0,1.5739303509431566,0.6730568190284816,-0.005532225936479391,-0.004333403667737908
20,WF_2023_2024,2.2746615604518454e-06,-0.002678452394409866,0.031833733410818174,0.6666666666666666,1.5969872509283112,0.9944784699033483,0.007601372689201194,-0.007467118793964973
60,WF_2017_2018,0.013284435423316227,0.007654130416479378,0.08365773777296273,1.0,1.099589768144159,1.2800650183473803,0.013088783268085723,0.00861957211370724
60,WF_2019_2020,0.009224574846916753,-0.010617376173422736,-0.0057536144696829885,0.6666666666666666,1.975614698360135,0.6409519508080753,0.007522489915452936,-0.008688496990961013
60,WF_2021_2022,-0.060448675908808175,-0.07611626115286532,-0.021320820180189045,0.0,1.3062456332725094,0.6179632072901686,-0.02416117007363596,-0.013709516545105048
60,WF_2023_2024,0.009060509518570611,-0.002825660461378719,0.12263815796956433,0.6666666666666666,1.5809813060309699,1.322467635887742,0.03224300839931992,-0.014372125609439469
120,WF_2017_2018,-0.0014700237829862834,-0.005607057675628239,0.046797491860053456,0.6666666666666666,0.810022474299389,1.4381170112574728,0.018023974707496986,0.014480352318483205
120,WF_2019_2020,0.009546069139461698,-0.04176976993718003,-0.021131244182699932,0.6666666666666666,2.0570507862146625,0.6683192400510333,0.04492331094052685,-0.049720654857165585
120,WF_2021_2022,-0.09298806715290653,-0.10705852426327413,-0.016052979200529775,0.0,1.0950680494953535,0.6744043828373165,-0.02738031978149395,-0.010556212686871732
120,WF_2023_2024,0.06169286763696961,0.02559621611822357,0.08977468351866513,1.0,2.005297791678906,1.4247132865862249,0.07370642596159055,-0.009731438738371373
252,WF_2017_2018,-0.06431262204091692,-0.08809950670023994,-0.04453720172990473,0.0,0.644079840121877,1.511655460970779,0.03116806708023428,-0.008738969980506101
252,WF_2019_2020,-0.1873521677594808,-0.18887067260721802,0.10942193689972064,0.0,2.322374487235854,1.9785695477115943,0.21680768769682704,-0.00987042341153433
252,WF_2021_2022,-0.24659613210200662,-0.3251514134645262,-0.16486460239290915,0.0,0.4386918204597475,0.5173084405980468,-0.129591554330957,-0.12196717004927118
252,WF_2023_2024,0.04546899210284503,0.0319686437082164,0.12226918862498044,1.0,2.1903330928546465,1.7672327113262443,0.1561443974884871,0.010402373730886904
