horizon_sessions,fold,router,economic_score,worst_cut_robust_excess,positive_cut_share,winner_lift,mean_rank_ic
5,WF_2019_2020,RIDGE_REGIME,-0.0067742378767714105,-0.007904225192856525,0.29124916499666,1.0238492796511298,0.023096064646846076
5,WF_2019_2020,HGB_REGIME,-0.0024919801088187075,-0.005094297034026575,0.3453573814295257,1.1817540908463577,0.011634248516996152
5,WF_2019_2020,BLEND_REGIME,-0.0015505568970437683,-0.00491664681309891,0.32531730126920505,1.1001425627127406,0.028572802414752407
5,WF_2021_2022,RIDGE_REGIME,-0.007204611863545321,-0.007708415449745344,0.34594953519256305,1.1338350306110272,-0.0014768195705405858
5,WF_2021_2022,HGB_REGIME,-0.008886238350331501,-0.009140256757551264,0.34130146082337315,1.1042894042772573,0.0019726487379351978
5,WF_2021_2022,BLEND_REGIME,-0.00863260568071942,-0.00893825830205242,0.33134130146082336,1.082908457240469,0.0009627058092561534
5,WF_2023_2024,RIDGE_REGIME,-0.007795047511352321,-0.008199509027571552,0.32865731462925846,1.3978961706068185,-0.011298797097482624
5,WF_2023_2024,HGB_REGIME,-0.008198839744415863,-0.00875185735094156,0.32531730126920505,1.225028937953454,-0.010100893074252703
5,WF_2023_2024,BLEND_REGIME,-0.008266062123201376,-0.009315165410678766,0.3219772879091516,1.379582931137046,-0.009675480671469911
10,WF_2019_2020,RIDGE_REGIME,-0.002848040172603212,-0.005793768427151499,0.40350877192982454,1.751381821580176,0.028684591697773966
10,WF_2019_2020,HGB_REGIME,-0.004983722691341303,-0.0071982077620865404,0.3549257759784075,1.455069560463435,0.015097254824916096
10,WF_2019_2020,BLEND_REGIME,-0.001969141448379057,-0.005638471637317317,0.407557354925776,1.6406447770646027,0.030688962996201767
10,WF_2021_2022,RIDGE_REGIME,-0.004408034231367216,-0.007809619368049342,0.4063745019920319,1.4357996684973688,0.01642231811713859
10,WF_2021_2022,HGB_REGIME,-0.008040153092127312,-0.010476188100958137,0.34993359893758297,1.3160091950672925,0.001582330646076666
10,WF_2021_2022,BLEND_REGIME,-0.0018156607438133618,-0.00690071557141718,0.3911022576361221,1.4380195366265243,0.011315580672106938
10,WF_2023_2024,RIDGE_REGIME,-0.008625971951208244,-0.011149592198455283,0.35270541082164325,1.6337590230864647,-0.012421842147174292
10,WF_2023_2024,HGB_REGIME,-0.011205676558723267,-0.013264912392922932,0.2899131596526386,1.4597719562610278,-0.025911661311479747
10,WF_2023_2024,BLEND_REGIME,-0.009260919021824975,-0.012212296568697413,0.3299933199732799,1.6007005920075923,-0.022266830682671105
20,WF_2019_2020,RIDGE_REGIME,-0.0014006484232486217,-0.007397621909005044,0.3908281998631074,1.4890527803609304,0.008667990927163137
20,WF_2019_2020,HGB_REGIME,-0.00992220359462159,-0.013224987776279647,0.3169062286105407,1.2865435938719412,0.010619228096464072
20,WF_2019_2020,BLEND_REGIME,-0.003791575517553347,-0.008620998064678273,0.3716632443531827,1.4956349533095337,0.015951657158446434
20,WF_2021_2022,RIDGE_REGIME,-0.020326653030898697,-0.0221562379094203,0.3632138114209827,1.22357792002928,0.03135675191854475
20,WF_2021_2022,HGB_REGIME,-0.03184415393991212,-0.03585072966900645,0.2350597609561753,1.1224910856725043,-0.010617890829505849
20,WF_2021_2022,BLEND_REGIME,-0.022515636304726416,-0.023621722925452546,0.3054448871181939,1.2378693793337645,0.019294417718279902
20,WF_2023_2024,RIDGE_REGIME,-0.014783107860969853,-0.017318101202190222,0.301937207748831,0.8341570503928356,-0.0046774922782245295
20,WF_2023_2024,HGB_REGIME,-0.015041373269253746,-0.016268358851611653,0.334001336005344,1.0916798597878195,0.019334342169097907
20,WF_2023_2024,BLEND_REGIME,-0.015580659648470085,-0.01643788957024589,0.3193052772211089,0.8911567804933864,0.006574268212893986
60,WF_2019_2020,RIDGE_REGIME,-0.05068936627573667,-0.054336661249555086,0.2594113620807666,1.2061541894014018,-0.02069990025691653
60,WF_2019_2020,HGB_REGIME,-0.04897223988705326,-0.04916308399108927,0.2546201232032855,1.0807389482556513,-0.013831215471774358
60,WF_2019_2020,BLEND_REGIME,-0.051024062197568325,-0.052040188745160094,0.243668720054757,1.1251034071248192,-0.020383594268254847
60,WF_2021_2022,RIDGE_REGIME,-0.04539276327991534,-0.05583181887528077,0.37450199203187245,1.1293312321642122,0.025846240045691696
60,WF_2021_2022,HGB_REGIME,-0.009775924657751884,-0.010834782751480658,0.3871181938911022,1.381910347984289,0.03575914687966215
60,WF_2021_2022,BLEND_REGIME,-0.0243705088935891,-0.028237923334369475,0.3818061088977423,1.278595450551314,0.030702192090154713
60,WF_2023_2024,RIDGE_REGIME,-0.03815128757774997,-0.040866110665444814,0.2999331997327989,1.1273713002163008,-0.012190200231006178
60,WF_2023_2024,HGB_REGIME,-0.0344930772357633,-0.03734049065315111,0.31262525050100204,1.0798813370445053,8.538389193606252e-05
60,WF_2023_2024,BLEND_REGIME,-0.03809215168686118,-0.04119591232028316,0.3152972611890448,1.098959406751063,-0.013274248664110345
120,WF_2019_2020,RIDGE_REGIME,-0.13561596195762085,-0.14045794883530277,0.19096509240246407,0.878472213203707,0.01632688738052414
120,WF_2019_2020,HGB_REGIME,-0.14168527102593265,-0.14400195704801297,0.1273100616016427,0.9981321852818459,-0.01586582635878896
120,WF_2019_2020,BLEND_REGIME,-0.14258579236899807,-0.1472657372195194,0.14510609171800137,0.9182851551973382,-0.006995538861888025
120,WF_2021_2022,RIDGE_REGIME,-0.09729560916914497,-0.10704901196133665,0.25697211155378485,0.7659334307846604,-0.0042502005048223185
120,WF_2021_2022,HGB_REGIME,-0.09588539102189175,-0.09806954423762919,0.2549800796812749,0.8119177734589802,0.013999106225390431
120,WF_2021_2022,BLEND_REGIME,-0.09218313118284678,-0.09672731886544163,0.2749003984063745,0.8344458183171505,0.008969012851322615
120,WF_2023_2024,RIDGE_REGIME,0.0023052852571038944,-0.018797313397325727,0.5210420841683366,1.4988829080277675,0.06060132021462429
120,WF_2023_2024,HGB_REGIME,-0.040014886375156176,-0.04225567442833276,0.35270541082164325,0.9750524008572231,0.007251310180370683
120,WF_2023_2024,BLEND_REGIME,-0.02771458065133128,-0.03698605990721364,0.43353373413493657,1.192436851798732,0.03708768710870347
252,WF_2019_2020,RIDGE_REGIME,-0.25047986527522753,-0.28264728471153094,0.27173169062286107,1.7319562467641667,0.23206213717027613
252,WF_2019_2020,HGB_REGIME,-0.3863192278762475,-0.3941777530280017,0.06160164271047228,0.8294241214816712,0.004324175830347212
252,WF_2019_2020,BLEND_REGIME,-0.35174111301226857,-0.3583434954655906,0.11225188227241613,1.038776199373739,0.11649866546411247
252,WF_2021_2022,RIDGE_REGIME,-0.1118893088011003,-0.13094066138238777,0.27954847277556444,1.2756770887294009,-0.06051913339317985
252,WF_2021_2022,HGB_REGIME,-0.046804731078751986,-0.05010811172332926,0.3771580345285525,1.2191565691528605,0.028536399561403508
252,WF_2021_2022,BLEND_REGIME,-0.06719032129111795,-0.0778694969350237,0.3061088977423639,1.2783547400233581,-0.009902623422694806
252,WF_2023_2024,RIDGE_REGIME,-0.10856893251788673,-0.11007159302072989,0.17568470273881096,0.8037119273881336,-0.019511242762475352
252,WF_2023_2024,HGB_REGIME,-0.09113920794774137,-0.09205876640792321,0.19438877755511022,0.7836951301093024,0.05779914903244593
252,WF_2023_2024,BLEND_REGIME,-0.1085926104164312,-0.11994992659298351,0.12090848363393453,0.7684673755223946,0.01025363716124038
