uncertainty_z,entry_hurdle_bps,rebalance_extra_edge_bps,cagr_20bps,spy_cagr,qqq_cagr,universe_equal_weight_cagr,excess_cagr_vs_spy_20bps,excess_cagr_vs_qqq_20bps,excess_cagr_vs_uew_20bps,robust_excess_cagr_20bps,max_drawdown_20bps,annual_turnover_20bps,median_holdings_20bps,min_holdings_20bps,max_holdings_20bps,median_max_name_weight_20bps,p95_max_name_weight_20bps,mean_cash_weight_20bps,scheduled_rebalances_20bps,execution_skip_rate_20bps,partial_execution_days_20bps,unfilled_trade_notional_20bps,cagr_40bps,robust_excess_cagr_40bps,max_drawdown_40bps,annual_turnover_40bps,qualified,return_first_rank
1.0,50.0,50.0,0.035170379035939,0.026366017040575285,-0.07326227315158773,0.2507783634214187,0.008804361995363719,0.10843265218752673,-0.21560798438547968,-0.21560798438547968,-0.0955705506752832,29.44871750146121,69.0,0,86,0.19999966793438811,0.43542389992105224,0.0020226993864603574,383,0.7545490423984369,380,265.6492598661545,-0.024088351308984568,-0.27486671473040325,-0.16040789981535641,29.44871750146121,False,1
0.0,0.0,50.0,0.015596008077440437,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.010770008963134847,0.08885828122902817,-0.23518235534397824,-0.23518235534397824,-0.052265137001269446,7.821480374759262,131.0,0,156,0.15063549088143596,0.28422064870990293,0.0021884612552846815,417,0.9703528270614892,415,264.52156140460227,-0.00017081133934249149,-0.2509491747607612,-0.06670881891614477,7.821480374759262,False,2
0.0,50.0,50.0,0.015596008077440437,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.010770008963134847,0.08885828122902817,-0.23518235534397824,-0.23518235534397824,-0.052265137001269446,7.821480374759262,131.0,0,156,0.15063549088143596,0.28422064870990293,0.0021884612552846815,417,0.9703528270614892,415,264.52156140460227,-0.00017081133934249149,-0.2509491747607612,-0.06670881891614477,7.821480374759262,False,3
0.5,0.0,50.0,0.015596008077440437,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.010770008963134847,0.08885828122902817,-0.23518235534397824,-0.23518235534397824,-0.052265137001269446,7.821480374759262,131.0,0,156,0.15063549088143596,0.28422064870990293,0.0021884612552846815,417,0.9703528270614892,415,264.52156140460227,-0.00017081133934249149,-0.2509491747607612,-0.06670881891614477,7.821480374759262,False,4
0.5,50.0,50.0,0.015596008077440437,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.010770008963134847,0.08885828122902817,-0.23518235534397824,-0.23518235534397824,-0.052265137001269446,7.821480374759262,131.0,0,156,0.15063549088143596,0.28422064870990293,0.0021884612552846815,417,0.9703528270614892,415,264.52156140460227,-0.00017081133934249149,-0.2509491747607612,-0.06670881891614477,7.821480374759262,False,5
0.0,0.0,0.0,0.015116733556319595,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.01124928348425569,0.08837900670790733,-0.2356616298650991,-0.2356616298650991,-0.04958608895783534,7.794760606224491,132.0,0,156,0.16442061550277465,0.2689939627763163,0.0020570215250927124,425,0.9723864685221477,415,294.0918366366084,-0.00020951409983727132,-0.25098787752125595,-0.06331628705127168,7.633053511888346,False,6
0.0,50.0,0.0,0.015116733556319595,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.01124928348425569,0.08837900670790733,-0.2356616298650991,-0.2356616298650991,-0.04958608895783534,7.794760606224491,132.0,0,156,0.16442061550277465,0.2689939627763163,0.0020570215250927124,425,0.9723864685221477,415,294.0918366366084,-0.00020951409983727132,-0.25098787752125595,-0.06331628705127168,7.633053511888346,False,7
0.5,0.0,0.0,0.015116733556319595,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.01124928348425569,0.08837900670790733,-0.2356616298650991,-0.2356616298650991,-0.04958608895783534,7.794760606224491,132.0,0,156,0.16442061550277465,0.2689939627763163,0.0020570215250927124,425,0.9723864685221477,415,294.0918366366084,-0.00020951409983727132,-0.25098787752125595,-0.06331628705127168,7.633053511888346,False,8
0.5,50.0,0.0,0.015116733556319595,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.01124928348425569,0.08837900670790733,-0.2356616298650991,-0.2356616298650991,-0.04958608895783534,7.794760606224491,132.0,0,156,0.16442061550277465,0.2689939627763163,0.0020570215250927124,425,0.9723864685221477,415,294.0918366366084,-0.00020951409983727132,-0.25098787752125595,-0.06331628705127168,7.633053511888346,False,9
1.0,50.0,0.0,0.009277342786975451,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.017088674253599834,0.08253961593856318,-0.24150102063444323,-0.24150102063444323,-0.10080097578075353,34.23499505685707,71.0,0,90,0.21494234822540112,0.4605975793629611,0.0022992710333196863,418,0.6930395797188563,402,240.2445085362791,-0.05764214965824843,-0.3084205130796671,-0.1688372036529947,33.983739647611564,False,10
1.0,0.0,0.0,-0.011950767119052852,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.03831678415962814,0.06131150603253488,-0.26272913054047153,-0.26272913054047153,-0.08297752034389361,17.611155725238582,89.0,0,111,0.25016951426373557,0.294271192864164,0.002122829280043612,423,0.8885977248066396,414,332.3973589209485,-0.049625968877287874,-0.30040433229870656,-0.12855797969280014,19.409268141348672,False,11
1.0,0.0,50.0,-0.01278591290312281,0.026366017040575285,-0.07326227315158773,0.2507783634214187,-0.039151929943698094,0.06047636024846492,-0.2635642763245415,-0.2635642763245415,-0.08170963554614763,19.373619326778268,88.0,0,111,0.17477968944784217,0.3267096538142315,0.002282799034990187,419,0.8501007510929147,415,273.455844867109,-0.052105845963113295,-0.302884209384532,-0.13136913774803194,19.38627562723221,False,12
