horizon_sessions,economic_score,worst_fold,worst_cut,mean_ic,winner_lift,loser_avoidance,positive_cut_share,broad20_excess
5,0.00010590622435654953,-0.0012636089283178228,-0.0019705897784663266,0.031998270088380486,1.1399275750370839,1.0404771978076106,0.3333333333333333,-0.0002765379572497445
10,0.002129891282499707,-0.005186886794278061,-0.005452081467235217,0.03705011135215616,1.4324528916600647,0.9202584216280005,0.6666666666666666,-0.00017019280798379532
20,0.004936506021804742,-0.023957228351223433,-0.028743029622565922,0.037410952088732484,1.5457890513414112,0.9165624226722313,0.6666666666666666,0.0001441154785839073
60,-0.007219789030001146,-0.060448675908808175,-0.07611626115286532,0.044805365273163755,1.4906078514519434,0.9653619530833416,0.5833333333333333,-0.007037641757949572
120,-0.005804788539865378,-0.09298806715290653,-0.10705852426327413,0.024846987998872222,1.491859775422078,1.0513884801830118,0.5833333333333333,-0.013881988490981371
252,-0.11319798244988982,-0.24659613210200662,-0.3251514134645262,0.005572330350471801,1.3988698101680312,1.4436915401516661,0.25,-0.03254354742760618
