fold,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,median_holdings,max_holdings,mean_cash_weight,median_max_name_weight,p95_max_name_weight,execution_blocked_rate,target_deviation_rate,spy_cagr,excess_cagr_vs_spy,qqq_cagr,excess_cagr_vs_qqq,uew_cagr,excess_cagr_vs_uew
WF_2019_2020,20.0,505,1.3008939634452599,0.5156188180668211,-0.3803779964295638,36.62952072884605,110.0,122,0.015643626147510154,0.05816572843327126,0.0836321511324572,0.04573339676058336,0.04573339676058337,0.2455684354298897,0.2700503826369314,0.43503321875238155,0.08058559931443954,0.6256468036644802,-0.11002798559765914
WF_2021_2022,20.0,503,-0.012271587418119845,-0.006166932329573327,-0.33307546235453445,21.459459512295,112.0,121,0.0030681526743006394,0.06499868408330979,0.09460054261688745,0.0,2.233939521760766e-16,0.026366017040575285,-0.03253294937014861,-0.07326227315158773,0.0670953408220144,0.24915604700336336,-0.2553229793329367
WF_2023_2024,20.0,502,0.879734121912056,0.37275875232989786,-0.13576369339504613,22.239020987863203,100.0,115,0.0019946559980101443,0.05859019702381875,0.08400673369921856,0.0,2.1244817813525281e-16,0.2564324046154183,0.11632634771447958,0.3963556052188031,-0.02359685288890523,0.36457764088728317,0.008181111442614686
WF_2019_2020,40.0,505,0.9922221393339785,0.4104981049563079,-0.384858132470978,36.62952072884605,110.0,122,0.015643626147510154,0.05816572843327126,0.0836321511324572,0.04573339676058336,0.04573339676058337,0.2455684354298897,0.1649296695264182,0.43503321875238155,-0.02453511379607365,0.6256468036644802,-0.21514869870817233
WF_2021_2022,40.0,503,-0.09288526091340876,-0.04766657709097166,-0.35952723401790143,21.459459512295,112.0,121,0.0030681526743006394,0.06499868408330979,0.09460054261688745,0.0,2.233939521760766e-16,0.026366017040575285,-0.07403259413154695,-0.07326227315158773,0.02559569606061607,0.24915604700336336,-0.296822624094335
WF_2023_2024,40.0,502,0.722020833753027,0.3136794211899292,-0.13832326832309916,22.239020987863203,100.0,115,0.0019946559980101443,0.05859019702381875,0.08400673369921856,0.0,2.1244817813525281e-16,0.2564324046154183,0.05724701657451092,0.3963556052188031,-0.08267618402887389,0.36457764088728317,-0.050898219697353975
WF_2019_2020,60.0,505,0.724876711362832,0.31263692011644273,-0.3893077254906354,36.62952072884605,110.0,122,0.015643626147510154,0.05816572843327126,0.0836321511324572,0.04573339676058336,0.04573339676058337,0.2455684354298897,0.06706848468655302,0.43503321875238155,-0.12239629863593882,0.6256468036644802,-0.3130098835480375
WF_2021_2022,60.0,503,-0.16693601637689248,-0.08744230656521779,-0.38493445328785314,21.459459512295,112.0,121,0.0030681526743006394,0.06499868408330979,0.09460054261688745,0.0,2.233939521760766e-16,0.026366017040575285,-0.11380832360579307,-0.07326227315158773,-0.014180033413630055,0.24915604700336336,-0.33659835356858114
WF_2023_2024,60.0,502,0.5775083458762322,0.2571300237089158,-0.14320382862583514,22.239020987863203,100.0,115,0.0019946559980101443,0.05859019702381875,0.08400673369921856,0.0,2.1244817813525281e-16,0.2564324046154183,0.0006976190934975257,0.3963556052188031,-0.1392255815098873,0.36457764088728317,-0.10744761717836737
WF_2019_2020,80.0,505,0.4933358033442681,0.22153609852587475,-0.40683697631420224,36.62952072884605,110.0,122,0.015643626147510154,0.05816572843327126,0.0836321511324572,0.04573339676058336,0.04573339676058337,0.2455684354298897,-0.02403233690401496,0.43503321875238155,-0.2134971202265068,0.6256468036644802,-0.4041107051386055
WF_2021_2022,80.0,503,-0.2349568296806116,-0.125565365222026,-0.40933818736669125,21.459459512295,112.0,121,0.0030681526743006394,0.06499868408330979,0.09460054261688745,0.0,2.233939521760766e-16,0.026366017040575285,-0.15193138226260128,-0.07326227315158773,-0.05230309207043826,0.24915604700336336,-0.37472141222538935
WF_2023_2024,80.0,502,0.445094366635129,0.20300275622796682,-0.15437271218137638,22.239020987863203,100.0,115,0.0019946559980101443,0.05859019702381875,0.08400673369921856,0.0,2.1244817813525281e-16,0.2564324046154183,-0.053429648387451456,0.3963556052188031,-0.19335284899083627,0.36457764088728317,-0.16157488465931635
WF_2019_2020,100.0,505,0.2928138695958884,0.1367306486513702,-0.4438480502311144,36.62952072884605,110.0,122,0.015643626147510154,0.05816572843327126,0.0836321511324572,0.04573339676058336,0.04573339676058337,0.2455684354298897,-0.10883778677851952,0.43503321875238155,-0.29830257010101136,0.6256468036644802,-0.48891615501311003
WF_2021_2022,100.0,503,-0.2974375004142604,-0.16210406819052858,-0.4327778959922113,21.459459512295,112.0,121,0.0030681526743006394,0.06499868408330979,0.09460054261688745,0.0,2.233939521760766e-16,0.026366017040575285,-0.18847008523110387,-0.07326227315158773,-0.08884179503894085,0.24915604700336336,-0.41126011519389194
WF_2023_2024,100.0,502,0.3237684293800087,0.15119438622896375,-0.16714145733335617,22.239020987863203,100.0,115,0.0019946559980101443,0.05859019702381875,0.08400673369921856,0.0,2.1244817813525281e-16,0.2564324046154183,-0.10523801838645452,0.3963556052188031,-0.24516121898983934,0.36457764088728317,-0.21338325465831942
