rebalance_every_sessions,days,total_return,cagr,max_drawdown,annual_turnover,median_holdings,max_holdings,mean_cash_weight,median_max_name_weight,p95_max_name_weight,execution_blocked_rate,target_deviation_rate,spy_cagr,excess_cagr_vs_spy,qqq_cagr,excess_cagr_vs_qqq,uew_cagr,excess_cagr_vs_uew
1,1510,3.271993432967524,0.27421967926719826,-0.38037799642956394,26.792056052092033,109.0,122,0.006916973053421817,0.060087384196028736,0.08700413273951729,0.02132362220960086,0.02132362220960098,0.1711653713660084,0.10305430790118986,0.22929847464373498,0.04492120462346327,0.40488066509133414,-0.13066098582413588
5,1510,3.8792217678474623,0.30279789069869345,-0.37598110871824875,10.224163101490026,109.0,121,0.00971300097470425,0.06051796984052679,0.0859400834117635,0.012482983645897795,0.012482983645897866,0.1711653713660084,0.13163251933268505,0.22929847464373498,0.07349941605495847,0.40488066509133414,-0.10208277439264068
10,1510,3.617336473534399,0.29085834113657594,-0.361310982408103,6.715088779704777,110.0,121,0.012846479526068605,0.060961392664511546,0.08417682481644251,0.009361770442570428,0.009361770442570484,0.1711653713660084,0.11969296977056754,0.22929847464373498,0.06155986649284095,0.40488066509133414,-0.1140223239547582
20,1510,3.4647633619365124,0.2836398299315195,-0.3468238848832458,4.420419309648584,109.0,118,0.019752311418334854,0.05990181168363539,0.08424069963141012,0.00773385097998914,0.007733850979989191,0.1711653713660084,0.11247445856551108,0.22929847464373498,0.0543413552877845,0.40488066509133414,-0.12124083515981465
