period,cost_bps,days,total_return,cagr,max_drawdown,annual_turnover,trade_days,median_holdings,max_holdings,mean_cash_weight,median_max_name_weight,p95_max_name_weight,scheduled_rebalances,partial_execution_days,full_execution_skip_days,blocked_trade_names,requested_trade_notional,executed_trade_notional,blocked_requested_notional,target_deviation_notional,execution_blocked_requested_rate,target_deviation_rate,spy_cagr,excess_cagr_vs_spy,qqq_cagr,excess_cagr_vs_qqq,universe_equal_weight_cagr,excess_cagr_vs_universe_equal_weight,robust_excess_cagr
SELECTION_2021_2022,20.0,503,0.05292057558071095,0.026171782423086265,-0.047917436110259004,6.8067083590591215,450,131.0,163,0.0021094516093702236,0.18152124910249107,0.23769965252680886,451,413,0,2400,345.55144046791713,27.172811941323317,167.1417474380432,334.0574540775757,0.4836957044997807,0.9667372638505652,0.026366017040575285,-0.0001942346174890197,-0.07326227315158773,0.099434055574674,0.24915604700336336,-0.2229842645802771,-0.2229842645802771
SELECTION_2021_2022,40.0,503,0.022572201685834292,0.011245558972895253,-0.056714021944502924,6.659459563864544,445,130.0,163,0.002131335642943762,0.18148576527763774,0.23769965252680886,446,413,0,2400,344.96361392837053,26.584985401776713,167.1417474380432,334.0574540775757,0.4845199339567132,0.9683846080848996,0.026366017040575285,-0.015120458067680032,-0.07326227315158773,0.08450783212448298,0.24915604700336336,-0.2379104880304681,-0.2379104880304681
VALIDATION_2023_2024,20.0,502,0.25887702726700557,0.12251156492556459,-0.044635310696430563,8.078076135499682,501,136.0,186,4.024779400531178e-06,0.17880940956115104,0.35798827304145225,502,501,0,3640,477.71139720616026,32.18408111127651,235.13481208827025,469.62253126285805,0.4922110158213284,0.9830674629271795,0.2564324046154183,-0.1339208396898537,0.3963556052188031,-0.2738440402932385,0.36457764088728317,-0.24206607596171859,-0.2738440402932385
VALIDATION_2023_2024,40.0,502,0.21900052521257374,0.10451919794891418,-0.050912019825254506,8.078076135499682,501,136.0,186,4.024779400531178e-06,0.17880940956115104,0.35798827304145225,502,501,0,3640,477.71139720616026,32.18408111127651,235.13481208827025,469.62253126285805,0.4922110158213284,0.9830674629271795,0.2564324046154183,-0.1519132066665041,0.3963556052188031,-0.2918364072698889,0.36457764088728317,-0.260058442938369,-0.2918364072698889
