horizon_sessions,fold,expert,train_rows,test_rows,selected_features,economic_score,worst_cut_robust_excess,mean_rank_ic,positive_cut_share,winner_lift
5,WF_2017_2018,RIDGE_RANK_DECAY,147437,148752,40,0.0005513564268173911,0.0003097481704626817,0.05621398485446795,1.0,0.9702647505488174
5,WF_2017_2018,HGB_RANK_DECAY,147437,148752,40,0.0013619906728748387,0.0010883452023508346,0.06051208896544527,1.0,1.2326920622744373
5,WF_2017_2018,HGB_ABS_RETURN_DECAY,147437,148752,40,0.003356598782029485,0.0015546969597166377,0.03799520023162285,1.0,1.6028978643436151
5,WF_2017_2018,HGB_BENCH_EXCESS_DECAY,147437,148752,40,0.0034506045000185725,0.001975309251274036,0.04868968303625491,1.0,1.8252439912044496
5,WF_2017_2018,HGB_WINNER_DECAY,147437,148752,40,0.0006372676497773184,0.00043551307740757715,-0.03657988490402149,1.0,2.496806151952728
5,WF_2019_2020,RIDGE_RANK_DECAY,298019,114672,40,0.004899417938004591,0.0036439299103371257,0.061841224760597065,1.0,1.022932841086908
5,WF_2019_2020,HGB_RANK_DECAY,298019,114672,40,-0.0011949251870701748,-0.0016421300668967528,0.03760860402815477,0.0,0.9075534962942013
5,WF_2019_2020,HGB_ABS_RETURN_DECAY,298019,114672,40,0.0044985117442836965,0.0013785812590282054,0.043117956112247,1.0,1.317593382219517
5,WF_2019_2020,HGB_BENCH_EXCESS_DECAY,298019,114672,40,0.005086252144722904,0.00290478617691551,0.02491590094020705,1.0,1.1195678102254776
5,WF_2019_2020,HGB_WINNER_DECAY,298019,114672,40,0.022387825268770162,0.011529301085828272,-0.012308221645731364,1.0,2.7065443485808385
5,WF_2021_2022,RIDGE_RANK_DECAY,341060,114008,40,-0.0015770977613494862,-0.0021304724626556534,0.023124919994485047,0.0,1.1664876240416253
5,WF_2021_2022,HGB_RANK_DECAY,341060,114008,40,-0.0019121008188943253,-0.0023397894617842286,0.03094986423511865,0.0,1.355245025235018
5,WF_2021_2022,HGB_ABS_RETURN_DECAY,341060,114008,40,-0.002131619832636952,-0.002285395327825348,-0.0013698186898100089,0.0,1.615471740396162
5,WF_2021_2022,HGB_BENCH_EXCESS_DECAY,341060,114008,40,-0.0018543019029115266,-0.002023861702208137,0.008680855660088901,0.0,1.800953172286229
5,WF_2021_2022,HGB_WINNER_DECAY,341060,114008,40,-0.004304359618265666,-0.007852153545472395,-0.047737817893031505,0.0,2.359467514917411
