fold,rows,mean_active_horizons,median_active_horizons,p10_active_horizons,all_six_row_coverage,at_least_one_row_coverage,at_least_three_row_coverage,max_weight_sum_error
WF_2019_2020,114672,5.137496511790149,6.0,3.0,0.5161591321333892,1.0,0.9697833821682712,4.440892098500626e-16
WF_2021_2022,114008,5.156804785629078,6.0,3.0,0.5250859588800786,1.0,0.9707915234018666,4.440892098500626e-16
WF_2023_2024,107087,5.145741313137916,6.0,3.0,0.5191946734897793,1.0,0.9704445917805149,4.440892098500626e-16
