horizon_sessions,fold,expert,weight
60,WF_2023_2024,HGB_RESIDUAL_RETURN,0.10375477184571916
60,WF_2023_2024,HGB_UPSIDE_TAIL,0.23150020181045697
60,WF_2023_2024,HGB_DOWNSIDE_AVOID,0.09399235410365234
120,WF_2017_2018,RIDGE_RESIDUAL_RANK,0.2
120,WF_2017_2018,HGB_RESIDUAL_RANK,0.2
120,WF_2017_2018,HGB_RESIDUAL_RETURN,0.2
120,WF_2017_2018,HGB_UPSIDE_TAIL,0.2
120,WF_2017_2018,HGB_DOWNSIDE_AVOID,0.2
120,WF_2019_2020,RIDGE_RESIDUAL_RANK,0.11243924744812454
120,WF_2019_2020,HGB_RESIDUAL_RANK,0.18019507383946096
120,WF_2019_2020,HGB_RESIDUAL_RETURN,0.21686582408387808
120,WF_2019_2020,HGB_UPSIDE_TAIL,0.37839332133065234
120,WF_2019_2020,HGB_DOWNSIDE_AVOID,0.11210653329788421
120,WF_2021_2022,RIDGE_RESIDUAL_RANK,0.20867635480738106
120,WF_2021_2022,HGB_RESIDUAL_RANK,0.19130598812471172
120,WF_2021_2022,HGB_RESIDUAL_RETURN,0.21115646506749622
120,WF_2021_2022,HGB_UPSIDE_TAIL,0.3337875505013094
120,WF_2021_2022,HGB_DOWNSIDE_AVOID,0.05507364149910147
120,WF_2023_2024,RIDGE_RESIDUAL_RANK,0.12529452983151354
120,WF_2023_2024,HGB_RESIDUAL_RANK,0.15251685791328087
120,WF_2023_2024,HGB_RESIDUAL_RETURN,0.1442449926132157
120,WF_2023_2024,HGB_UPSIDE_TAIL,0.5291660800415108
120,WF_2023_2024,HGB_DOWNSIDE_AVOID,0.04877753960047924
252,WF_2017_2018,RIDGE_RESIDUAL_RANK,0.2
252,WF_2017_2018,HGB_RESIDUAL_RANK,0.2
252,WF_2017_2018,HGB_RESIDUAL_RETURN,0.2
252,WF_2017_2018,HGB_UPSIDE_TAIL,0.2
252,WF_2017_2018,HGB_DOWNSIDE_AVOID,0.2
252,WF_2019_2020,RIDGE_RESIDUAL_RANK,0.5357617969056583
252,WF_2019_2020,HGB_RESIDUAL_RANK,0.04531428941016452
252,WF_2019_2020,HGB_RESIDUAL_RETURN,0.09948474462856087
252,WF_2019_2020,HGB_UPSIDE_TAIL,0.22281456154922036
252,WF_2019_2020,HGB_DOWNSIDE_AVOID,0.0966246075063959
252,WF_2021_2022,RIDGE_RESIDUAL_RANK,0.2784219158832094
252,WF_2021_2022,HGB_RESIDUAL_RANK,0.11526367718279865
252,WF_2021_2022,HGB_RESIDUAL_RETURN,0.186455023567763
252,WF_2021_2022,HGB_UPSIDE_TAIL,0.3165988641836245
252,WF_2021_2022,HGB_DOWNSIDE_AVOID,0.10326051918260457
252,WF_2023_2024,RIDGE_RESIDUAL_RANK,0.14592305127522032
252,WF_2023_2024,HGB_RESIDUAL_RANK,0.10909468943056241
252,WF_2023_2024,HGB_RESIDUAL_RETURN,0.05345554855942923
252,WF_2023_2024,HGB_UPSIDE_TAIL,0.6617850372358264
252,WF_2023_2024,HGB_DOWNSIDE_AVOID,0.029741673498961757
